dataset,model,lambda,rp3_beta,graph_source,normalise,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.1,overall,5957,0.10777440271605744,0.08632622614142245,0.49991606513345643,0.1236539755409019,0.14622569130380667,0.6724861507470203
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.1,q1,5787,0.11716216199302357,0.11657214043792562,0.49904959391740106,0.1390622621009704,0.19213852810696083,0.667530672196302
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.1,q2,4520,0.009709332316782874,0.01804544627111339,0.04115044247787611,0.016364451659823316,0.03895770350325233,0.09579646017699114
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.1,q3,3059,0.0022782323884099,0.004767353165522501,0.007518796992481203,0.004441374527741869,0.01210672859059192,0.01896044458973521
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.1,q4,1767,0.00016359073362642211,0.0005659309564233164,0.0005659309564233164,0.0002438787369461698,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.1,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.3,overall,5957,0.10906252056511342,0.08737742690298583,0.4985731072687594,0.12481731783448533,0.1477831901577552,0.670639583683062
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.3,q1,5787,0.11878637188620476,0.1184762523942046,0.4987039917055469,0.14073834450681644,0.19505563007075377,0.6677034733022291
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.3,q2,4520,0.009406627479209376,0.017062596806797222,0.03982300884955752,0.015980395550687775,0.03767672975458891,0.09026548672566372
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.3,q3,3059,0.0021491964386478103,0.004440448948458102,0.007191892775416803,0.004189300704749604,0.01138753931305024,0.018306636155606407
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.3,q4,1767,0.00017036219335822366,0.0005659309564233164,0.0005659309564233164,0.0002506501966779713,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,0.3,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
