dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_SLIM_stat,wilcoxon_vs_SLIM_p,wilcoxon_vs_SLIM_n_pairs,wilcoxon_vs_SLIM_sign,wilcoxon_vs_SLIM_mean_diff,wilcoxon_vs_SLIM_median_diff,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,SLIM,0.0,,,0.0001,0.5,429.4711492061615,0.34816859918237913,0.21760642591850077,0.8608058608058609,0.20962870121157337,0.5076112412177985,0.7919533945485502,2.589730521036402,0.34864962954410744,0.19232058075053765,0.9177489177489178,0.3105068159697668,0.6545667447306791,0.792844930859242,2.7361322457426835,0.34816859918237913,0.21760642591850077,0.8608058608058609,0.20962870121157337,0.5076112412177985,0.7919533945485502,2.589730521036402,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.0001,0.9,433.47308325767517,0.3493563049926764,0.21871180496038772,0.8613053613053613,0.21023022604589314,0.502927400468384,0.7901829447231079,2.59132306072971,0.3499559366247054,0.19326591070565693,0.9204129204129204,0.3119607715511741,0.6451990632318502,0.7905763700908892,2.735928996157932,0.3493563049926764,0.21871180496038772,0.8613053613053613,0.21023022604589314,0.502927400468384,0.7901829447231079,2.59132306072971,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.5,413.3512592315674,0.3530867954893027,0.22206122232411915,0.865967365967366,0.21300845262048518,0.4338407494145199,0.7710258028071795,2.565897931147762,0.35492465672708706,0.19728003219971085,0.9240759240759241,0.31686352507371873,0.5427400468384075,0.7664903956166094,2.7057873908099572,0.3530867954893027,0.22206122232411915,0.865967365967366,0.21300845262048518,0.4338407494145199,0.7710258028071795,2.565897931147762,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.9,436.7614848613739,0.35312069685621184,0.22211954787989366,0.8666333666333667,0.21337330358126216,0.41247072599531615,0.7632745536932903,2.560663675805637,0.3544844975989855,0.19692079606586066,0.9250749250749251,0.3170174434868789,0.5108313817330211,0.7564721811140149,2.6978135049072858,0.35312069685621184,0.22211954787989366,0.8666333666333667,0.21337330358126216,0.41247072599531615,0.7632745536932903,2.560663675805637,,,0,0,,,,,0,0,,
ml-1m,EASE,0.0,,,,,145.33545923233032,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544,0.3984192037470726,0.7506592966181505,2.5499964162059165,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,6040633.0,2.879441942450767e-06,6006,1,0.007099274215066296,0.0,,,0,0,,
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,69.11445188522339,0.3636574129871958,0.2319736813430124,0.8694638694638694,0.2198110725940812,0.2625878220140515,0.7787135569744266,2.273827397018227,0.36285716485690694,0.20478096623657568,0.9237429237429238,0.32343833628285346,0.34543325526932084,0.7684785976735129,2.4375111029908094,0.3636574129871958,0.2319736813430124,0.8694638694638694,0.2198110725940812,0.2625878220140515,0.7787135569744266,2.273827397018227,5089111.0,4.9281012727527455e-21,6006,1,0.010536716130983883,0.0,5812650.0,0.017006167206193502,6006,1,0.003437441915917587,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,83.08633017539978,0.3632980259859545,0.23172059398462458,0.8686313686313686,0.2192671213321016,0.2590749414519906,0.7799794931998321,2.263616096155951,0.36259705127156533,0.20460368967887663,0.9237429237429238,0.323056260307933,0.3436768149882904,0.7707675912957004,2.42842171258242,0.3632980259859545,0.23172059398462458,0.8686313686313686,0.2192671213321016,0.2590749414519906,0.7799794931998321,2.263616096155951,5214313.0,1.2234306346324845e-18,6006,1,0.010177329129742613,0.0,5851835.5,0.038886055718655214,6006,1,0.0030780549146763175,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,75.58095502853394,0.36280774564676804,0.23173463341688963,0.8687978687978688,0.21831204849235392,0.25117096018735363,0.7842844800886759,2.2375472561441154,0.3616309505054905,0.2040468071538348,0.9245754245754245,0.3218628401283517,0.33430913348946134,0.7740005907694174,2.403936482896965,0.36280774564676804,0.23173463341688963,0.8687978687978688,0.21831204849235392,0.25117096018735363,0.7842844800886759,2.2375472561441154,5431195.5,5.501816107491703e-16,6006,1,0.009687048790556157,0.0,5839769.5,0.10281393887648231,6006,1,0.0025877745754898608,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,70.35245060920715,0.35982234784391953,0.22985414568110143,0.8643023643023643,0.21504867838222322,0.22950819672131148,0.7937585798555187,2.172684192373954,0.35733029982485326,0.2012714352052952,0.9214119214119214,0.3160996005950522,0.3018149882903981,0.7792922887006302,2.3362084758237014,0.35982234784391953,0.22985414568110143,0.8643023643023643,0.21504867838222322,0.22950819672131148,0.7937585798555187,2.172684192373954,5971148.5,1.545999604265768e-07,6006,1,0.00670165098770759,0.0,6029531.5,0.515081984545803,6006,-1,-0.0003976232273587048,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,70.26291728019714,0.34824654378439374,0.22067438390638502,0.8519813519813519,0.2053908671375076,0.18559718969555036,0.8013292175752744,2.066154572944567,0.3439792663309322,0.1914955938068258,0.9129204129204129,0.30062416462044794,0.25234192037470726,0.789532856934249,2.2278617260368936,0.34824654378439374,0.22067438390638502,0.8519813519813519,0.2053908671375076,0.18559718969555036,0.8013292175752744,2.066154572944567,6551532.5,0.035589904812478174,6006,-1,-0.004874153071818125,0.0,5619182.5,8.821132394999297e-15,6006,-1,-0.01197342728688442,0.0
