dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,0.0001,0.5,overall,6008,0.3507524371061109,0.21155108302565634,0.8686750998668442,0.3513119417393001,0.3135667559382741,0.9242676431424767
ml-1m,SLIM,0.0,,,0.0001,0.5,q1,5945,0.35860442715249075,0.261666019917688,0.8625735912531539,0.373329667043523,0.3853811021242253,0.920605550883095
ml-1m,SLIM,0.0,,,0.0001,0.5,q2,4408,0.02720026795867782,0.04343473174041065,0.11138838475499092,0.03992485324972519,0.08223035471927083,0.2028130671506352
ml-1m,SLIM,0.0,,,0.0001,0.5,q3,2895,0.010553463027362311,0.01854576482814825,0.03212435233160622,0.014805626983317091,0.03255313992837854,0.05872193436960276
ml-1m,SLIM,0.0,,,0.0001,0.5,q4,1659,0.003906310836244341,0.006530038175607796,0.007836045810729355,0.005010623985354324,0.01078963230861965,0.013261000602772756
ml-1m,SLIM,0.0,,,0.0001,0.5,q5,693,0.00041712096149767373,0.001443001443001443,0.001443001443001443,0.00041712096149767373,0.001443001443001443,0.001443001443001443
ml-1m,SLIM,0.0,,,0.0001,0.9,overall,6008,0.3515118380289119,0.21285583149972226,0.8698402130492676,0.3520850989091226,0.3151290481189891,0.9257656458055925
ml-1m,SLIM,0.0,,,0.0001,0.9,q1,5945,0.3593574349176976,0.2633326192292062,0.864255677039529,0.3740012083833524,0.3869247110489695,0.9219512195121952
ml-1m,SLIM,0.0,,,0.0001,0.9,q2,4408,0.02757637828506437,0.04423261280612026,0.11252268602540835,0.040361693498981006,0.0832821001771849,0.20394736842105263
ml-1m,SLIM,0.0,,,0.0001,0.9,q3,2895,0.010390286169086781,0.017845871744835477,0.03143350604490501,0.014955913241232629,0.03277255524323972,0.06044905008635579
ml-1m,SLIM,0.0,,,0.0001,0.9,q4,1659,0.0034313516804574634,0.005927265420936306,0.007233273056057866,0.004860688135473532,0.01139240506329114,0.013863773357444244
ml-1m,SLIM,0.0,,,0.0001,0.9,q5,693,0.000434386718129843,0.001443001443001443,0.001443001443001443,0.000434386718129843,0.001443001443001443,0.001443001443001443
ml-1m,SLIM,0.0,,,0.001,0.5,overall,6008,0.3548033276524703,0.2153047425772019,0.8716711051930759,0.3564618257585577,0.32104229904977266,0.931757656458056
ml-1m,SLIM,0.0,,,0.001,0.5,q1,5945,0.36312720379785635,0.266366149081221,0.8672834314550042,0.3791464552630738,0.3943080154330616,0.9276703111858705
ml-1m,SLIM,0.0,,,0.001,0.5,q2,4408,0.028587169725068584,0.04775573378532665,0.1132032667876588,0.041599872334422125,0.08738212398505853,0.20394736842105263
ml-1m,SLIM,0.0,,,0.001,0.5,q3,2895,0.010043498481593026,0.018012557693495787,0.0307426597582038,0.01467744422505241,0.03331888397132466,0.05699481865284974
ml-1m,SLIM,0.0,,,0.001,0.5,q4,1659,0.001682133978475385,0.0030138637733574444,0.003616636528028933,0.0031542827085216823,0.008579465541490859,0.0108499095840868
ml-1m,SLIM,0.0,,,0.001,0.5,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM,0.0,,,0.001,0.9,overall,6008,0.3546095060848209,0.21494702686471018,0.8728362183754993,0.35659192813414203,0.321434979058835,0.9324234354194407
ml-1m,SLIM,0.0,,,0.001,0.9,q1,5945,0.3636340614383922,0.2665668448437705,0.8687973086627419,0.3800059642916375,0.39568214742175967,0.9290159798149705
ml-1m,SLIM,0.0,,,0.001,0.9,q2,4408,0.027524570524222875,0.04672206186520005,0.10821234119782214,0.04086465926998447,0.08763786971422664,0.2016787658802178
ml-1m,SLIM,0.0,,,0.001,0.9,q3,2895,0.009091545249635308,0.015849700401104817,0.027633851468048358,0.014095097474731828,0.03307057681887243,0.054922279792746116
ml-1m,SLIM,0.0,,,0.001,0.9,q4,1659,0.0012372890835171942,0.002109704641350211,0.0024110910186859553,0.0020328658866766744,0.005063291139240506,0.006630500301386378
ml-1m,SLIM,0.0,,,0.001,0.9,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EASE,0.0,,,,,overall,6008,0.36335613906888853,0.22513923250602305,0.8856524633821571,0.365349054583525,0.3316665455941842,0.9375832223701731
ml-1m,EASE,0.0,,,,,q1,5945,0.38252110455244315,0.2876387189881096,0.888309503784693,0.39968237328814027,0.41903344037096796,0.9384356602186712
ml-1m,EASE,0.0,,,,,q2,4408,0.012626192907159342,0.022839371364254565,0.05603448275862069,0.02414023651256659,0.05792954937917536,0.1338475499092559
ml-1m,EASE,0.0,,,,,q3,2895,0.0013700256733331871,0.0024179620034542313,0.0037996545768566492,0.003034474686236767,0.008136235286494355,0.014162348877374784
ml-1m,EASE,0.0,,,,,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,EASE,0.0,,,,,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,overall,6008,0.36534329175994806,0.22078667645690817,0.8746671105193076,0.36573186014283454,0.32810662026043735,0.9350865512649801
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q1,5945,0.38524217702543767,0.2835077458781384,0.8772077375946173,0.4021573198484474,0.4184368567259991,0.9382674516400337
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q2,4408,0.01003952057542087,0.019733130212262123,0.041742286751361164,0.01808307245520898,0.04497179165298266,0.09346642468239565
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q3,2895,0.001274857833559222,0.0023891767415083476,0.0037996545768566492,0.002175885825684413,0.005331180046205953,0.009671848013816925
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00036269417850579337,0.0009041591320072332,0.0012055455093429777
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,overall,6008,0.365468342202951,0.22087310025062784,0.8738348868175766,0.36567559816982215,0.3275089000120931,0.9345872170439414
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q1,5945,0.3856594610093171,0.2839250936507734,0.8767031118587048,0.40235211304665675,0.4179853726111348,0.9380992430613961
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q2,4408,0.009539318607138627,0.018574686165887044,0.03924682395644283,0.017597536087972748,0.04385981379418084,0.09097096188747732
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q3,2895,0.0012334690147995432,0.0023028209556706964,0.0034542314335060447,0.001961916612594177,0.004525192711721209,0.008635578583765112
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00036269417850579337,0.0009041591320072332,0.0012055455093429777
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,overall,6008,0.3651706683687836,0.22076074967687,0.8746671105193076,0.3649999667372268,0.32692995400695646,0.9344207723035952
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q1,5945,0.3855592286535435,0.28404060179702195,0.8778805719091674,0.40218723305011106,0.4182235411940368,0.9384356602186712
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q2,4408,0.008863113666863735,0.016981740771898093,0.03584392014519056,0.01590425755452918,0.039225405460115464,0.08030852994555354
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q3,2895,0.0010829307103526803,0.001957397812320092,0.0031088082901554403,0.001824446320430944,0.004323695878100023,0.008290155440414507
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.0003566723225814353,0.0009041591320072332,0.0012055455093429777
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,overall,6008,0.36230836036700914,0.21910372647063892,0.8726697736351531,0.3603341143105537,0.3203805296219034,0.9297603195739015
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q1,5945,0.38347412710230505,0.28251984943059805,0.8782169890664424,0.39855737105760786,0.41249516864173286,0.9350714886459209
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q2,4408,0.006474912952807745,0.011626805505139823,0.02631578947368421,0.01192503869194679,0.02890041168557808,0.05784936479128856
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q3,2895,0.0008855977008635576,0.0016695451928612549,0.0024179620034542313,0.0013473458849479027,0.002902376840200674,0.0065630397236614854
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q4,1659,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,overall,6008,0.35033958824920536,0.2088903568091021,0.8606857523302264,0.3472625055847082,0.306696379851818,0.9231025299600533
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,q1,5945,0.37175226783535786,0.2707420542839735,0.8677880571909168,0.38563317961644705,0.3974413300657551,0.9298570227081581
