seed,dataset,graph_source,normalise,slim_alpha,slim_l1_ratio,gamma,EASE_NDCG@10,SLIM_NDCG@10,SLIM_Lap_NDCG@10,SLIM_Lap_vs_EASE_diff,SLIM_vs_EASE_diff,within_seed_wil_stat,within_seed_wil_p,within_seed_wil_n_pairs,within_seed_wil_sign,within_seed_wil_mean_diff,within_seed_wil_median_diff
0,ml-1m,rp3beta,sym,0.001,0.5,1.0,0.36335613906888853,0.35480427847580004,0.365468342202951,0.0021122031340624625,-0.00855186059308849,5949812.5,0.2102369389477976,6008,1,0.0021122031340624348,0.0
1,ml-1m,rp3beta,sym,0.001,0.5,1.0,0.3623488874914095,0.3538823781797814,0.3636755994661811,0.0013267119747716327,-0.008466509311628068,5946997.0,0.27723890572182575,6006,1,0.001326711974771638,0.0
2,ml-1m,rp3beta,sym,0.001,0.5,1.0,0.35886470515172914,0.3529122661253495,0.3629174453207253,0.0040527401689961495,-0.005952439026379652,5800462.5,0.0007676886215704033,6004,1,0.004052740168996158,0.0
3,ml-1m,rp3beta,sym,0.001,0.9,1.0,0.35706225986659396,0.3494264457350088,0.35932562926257444,0.0022633693959804857,-0.00763581413158515,5880545.0,0.1645750062433995,6013,1,0.002263369395980468,0.0
4,ml-1m,rp3beta,sym,0.001,0.9,1.0,0.3602199710712781,0.35313789521505795,0.3632980259859545,0.003078054914676387,-0.007082075856220171,5851835.5,0.038886055718655214,6006,1,0.0030780549146763175,0.0
pooled,ml-1m,rp3beta,sym,,,1.0,0.3603703925299798,0.35283265274619946,0.3629370084476773,0.0025666159176974237,-0.007537739783780306,147139491.0,4.346529919663705e-05,30037,1,0.0025664160375588447,0.0
