dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,0.0001,0.5,overall,6006,0.34816859918237913,0.20962870121157337,0.8608058608058609,0.34864962954410744,0.3105068159697668,0.9177489177489178
ml-1m,SLIM,0.0,,,0.0001,0.5,q1,5939,0.3578547751115858,0.26046148561161186,0.8531739350058932,0.37158750033259247,0.38156894840618416,0.9110961441320088
ml-1m,SLIM,0.0,,,0.0001,0.5,q2,4417,0.02693907101030751,0.04527357137898149,0.11274620783337107,0.04106992539749878,0.08809409743369657,0.2112293411817976
ml-1m,SLIM,0.0,,,0.0001,0.5,q3,2931,0.008278946742606114,0.015068287790908057,0.0283179802115319,0.012548908385053317,0.02903329546584947,0.05424769703172978
ml-1m,SLIM,0.0,,,0.0001,0.5,q4,1676,0.0041789768731030534,0.006499318104330037,0.008949880668257757,0.005485373933510764,0.01121292192294579,0.016109785202863963
ml-1m,SLIM,0.0,,,0.0001,0.5,q5,710,0.000423985909385889,0.0014084507042253522,0.0014084507042253522,0.000423985909385889,0.0014084507042253522,0.0014084507042253522
ml-1m,SLIM,0.0,,,0.0001,0.9,overall,6006,0.3493563049926764,0.21023022604589314,0.8613053613053613,0.3499559366247054,0.3119607715511741,0.9204129204129204
ml-1m,SLIM,0.0,,,0.0001,0.9,q1,5939,0.3588522087515887,0.26082325458252237,0.8535106920356963,0.3729109572447725,0.3833029125999195,0.9136218218555312
ml-1m,SLIM,0.0,,,0.0001,0.9,q2,4417,0.02738855222525543,0.04592334906229842,0.11455739189495133,0.041462137540760925,0.08818158523553872,0.21349332125877293
ml-1m,SLIM,0.0,,,0.0001,0.9,q3,2931,0.00846304565008996,0.015516087176783185,0.02968270214943705,0.012590143866213776,0.02911148266020862,0.05458887751620607
ml-1m,SLIM,0.0,,,0.0001,0.9,q4,1676,0.004190242752002314,0.006499318104330037,0.008949880668257757,0.005363697127986809,0.010616263211728606,0.015513126491646777
ml-1m,SLIM,0.0,,,0.0001,0.9,q5,710,0.00040713355819420826,0.0014084507042253522,0.0014084507042253522,0.00040713355819420826,0.0014084507042253522,0.0014084507042253522
ml-1m,SLIM,0.0,,,0.001,0.5,overall,6006,0.3530867954893027,0.21300845262048518,0.865967365967366,0.35492465672708706,0.31686352507371873,0.9240759240759241
ml-1m,SLIM,0.0,,,0.001,0.5,q1,5939,0.363190567863497,0.264074289902777,0.8563731267890217,0.3789424166295383,0.3902735534663475,0.9181680417578717
ml-1m,SLIM,0.0,,,0.001,0.5,q2,4417,0.027692334685307195,0.04652626260756048,0.11410459587955626,0.042024186460505854,0.08953930047572904,0.21439891328956306
ml-1m,SLIM,0.0,,,0.001,0.5,q3,2931,0.008760472612038677,0.01662944697745107,0.0283179802115319,0.012245414488105415,0.027743308300734362,0.05083589218696691
ml-1m,SLIM,0.0,,,0.001,0.5,q4,1676,0.003052643728207572,0.0062649164677804296,0.007756563245823389,0.003583461401981813,0.008223945902943515,0.011336515513126491
ml-1m,SLIM,0.0,,,0.001,0.5,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM,0.0,,,0.001,0.9,overall,6006,0.35312069685621184,0.21337330358126216,0.8666333666333667,0.3544844975989855,0.3170174434868789,0.9250749250749251
ml-1m,SLIM,0.0,,,0.001,0.9,q1,5939,0.3635817252926482,0.2645674285203784,0.8577201549082337,0.3790806069489127,0.3906229568398382,0.9190099343323792
