dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,0.0001,0.5,overall,6004,0.3479591594462858,0.20913244910169546,0.8630912724850099,0.3480438662174366,0.30996598704849226,0.9210526315789473
ml-1m,SLIM,0.0,,,0.0001,0.5,q1,5935,0.3570609519975546,0.2604727026967717,0.857961246840775,0.3707194070031101,0.3845567614755499,0.9169334456613311
ml-1m,SLIM,0.0,,,0.0001,0.5,q2,4474,0.026874108500555324,0.042656022780494275,0.1048278945015646,0.03884448481238898,0.07770754915345897,0.19266875279392043
ml-1m,SLIM,0.0,,,0.0001,0.5,q3,2899,0.009952862500604103,0.017030117366440233,0.029320455329423938,0.014326115901374939,0.03146104403434517,0.053811659192825115
ml-1m,SLIM,0.0,,,0.0001,0.5,q4,1585,0.0032486999848363447,0.006203995793901156,0.008201892744479496,0.004155680364584057,0.009437434279705573,0.012618296529968454
ml-1m,SLIM,0.0,,,0.0001,0.5,q5,666,0.00195349849198796,0.003003003003003003,0.0045045045045045045,0.002347867163214977,0.0045045045045045045,0.006006006006006006
ml-1m,SLIM,0.0,,,0.0001,0.9,overall,6004,0.3489616353659186,0.21003837971598807,0.8640906062624917,0.34876209012634257,0.31050991579271003,0.9220519653564291
ml-1m,SLIM,0.0,,,0.0001,0.9,q1,5935,0.3579377704904185,0.26151454525551227,0.8586352148272957,0.3713058023497027,0.3849992997087581,0.917944397641112
ml-1m,SLIM,0.0,,,0.0001,0.9,q2,4474,0.027168869427890374,0.04268924288886626,0.10616897630755476,0.03940419026133089,0.07874280536675032,0.1969155118462226
ml-1m,SLIM,0.0,,,0.0001,0.9,q3,2899,0.010324874794544242,0.018064956966302257,0.030355294929285962,0.014573466945424666,0.032103027860185505,0.054501552259399795
ml-1m,SLIM,0.0,,,0.0001,0.9,q4,1585,0.0032427768450420513,0.005993690851735016,0.007570977917981073,0.004414296829121818,0.010173501577287067,0.0138801261829653
ml-1m,SLIM,0.0,,,0.0001,0.9,q5,666,0.0023875297627355394,0.0045045045045045045,0.006006006006006006,0.0023875297627355394,0.0045045045045045045,0.006006006006006006
ml-1m,SLIM,0.0,,,0.001,0.5,overall,6004,0.3529003869029777,0.21267647862918201,0.8680879413724184,0.35365543930958,0.31675949697044536,0.9263824117255163
ml-1m,SLIM,0.0,,,0.001,0.5,q1,5935,0.36263094162212867,0.2655840717330969,0.8633529907329401,0.37691367706369383,0.39205827584494857,0.922156697556866
ml-1m,SLIM,0.0,,,0.001,0.5,q2,4474,0.027501580606379528,0.043856536843400296,0.10706303084488154,0.04078748730789216,0.08382826637131754,0.20295037997317836
ml-1m,SLIM,0.0,,,0.001,0.5,q3,2899,0.009294338775343932,0.016914575210539334,0.028630562262849258,0.013679734685354154,0.03179844952870134,0.05346671265953777
ml-1m,SLIM,0.0,,,0.001,0.5,q4,1585,0.002301993859101236,0.00473186119873817,0.005047318611987382,0.0029730306870282,0.00694006309148265,0.008832807570977918
ml-1m,SLIM,0.0,,,0.001,0.5,q5,666,0.0013573198983313113,0.003003003003003003,0.0045045045045045045,0.0013573198983313113,0.003003003003003003,0.0045045045045045045
ml-1m,SLIM,0.0,,,0.001,0.9,overall,6004,0.35251808244623334,0.21252225067918226,0.8657561625582945,0.35308660126323066,0.3165259080781565,0.9275483011325782
ml-1m,SLIM,0.0,,,0.001,0.9,q1,5935,0.36306815425127864,0.2659106120426265,0.8623420387531592,0.3770276976621751,0.3922552107311104,0.9229991575400168
ml-1m,SLIM,0.0,,,0.001,0.9,q2,4474,0.02655231170131788,0.0429883502697107,0.10035762181493071,0.04020231622051528,0.08377419586525453,0.19982118909253466
ml-1m,SLIM,0.0,,,0.001,0.9,q3,2899,0.008367604162747292,0.015814579043278595,0.026905829596412557,0.01235419098851274,0.029689095159947172,0.047602621593652986
ml-1m,SLIM,0.0,,,0.001,0.9,q4,1585,0.001614211275159806,0.0031545741324921135,0.0031545741324921135,0.0024950438244458447,0.006309148264984227,0.007570977917981073
