dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,0.0001,0.5,overall,6013,0.344932866787555,0.2058125919458043,0.8528188923998005,0.3439298778641905,0.3039796973152587,0.9118576417761517
ml-1m,SLIM,0.0,,,0.0001,0.5,q1,5943,0.3557602583780332,0.2585495305753221,0.8482248022884066,0.3681101617438515,0.37786013093167287,0.9088002692242975
ml-1m,SLIM,0.0,,,0.0001,0.5,q2,4400,0.02610799033041144,0.041085859002530166,0.10204545454545455,0.03900674928103168,0.07897494907234584,0.19636363636363635
ml-1m,SLIM,0.0,,,0.0001,0.5,q3,2896,0.00748027067070254,0.013593462246777162,0.02382596685082873,0.011535913726587138,0.027393023068092125,0.04834254143646409
ml-1m,SLIM,0.0,,,0.0001,0.5,q4,1678,0.0035336028203195495,0.007335830637380101,0.010131108462455305,0.0039954522455722995,0.008732050627163857,0.012514898688915376
ml-1m,SLIM,0.0,,,0.0001,0.5,q5,698,0.004386255460809242,0.0057306590257879654,0.0057306590257879654,0.004386255460809242,0.0057306590257879654,0.0057306590257879654
ml-1m,SLIM,0.0,,,0.0001,0.9,overall,6013,0.3460480208085987,0.20695011978285932,0.8549808747713288,0.3448655045609688,0.30489671703761617,0.9115250291036089
ml-1m,SLIM,0.0,,,0.0001,0.9,q1,5943,0.3569654575688141,0.2603394891511959,0.850748780077402,0.36901035292699635,0.3788150338523456,0.9082954736664984
ml-1m,SLIM,0.0,,,0.0001,0.9,q2,4400,0.02628698200564011,0.041163664992836156,0.10363636363636364,0.03926673938131809,0.0795236791075301,0.19545454545454546
ml-1m,SLIM,0.0,,,0.0001,0.9,q3,2896,0.007430860843583501,0.01338314080026787,0.023480662983425413,0.011819617564716138,0.028408380868670924,0.04903314917127072
ml-1m,SLIM,0.0,,,0.0001,0.9,q4,1678,0.003638389413699015,0.007037856859072591,0.009535160905840286,0.004205140509755723,0.008732050627163857,0.012514898688915376
ml-1m,SLIM,0.0,,,0.0001,0.9,q5,698,0.004386255460809242,0.0057306590257879654,0.0057306590257879654,0.004717742872212908,0.0071633237822349575,0.0071633237822349575
ml-1m,SLIM,0.0,,,0.001,0.5,overall,6013,0.34910693975079343,0.20932598496133029,0.8578080824879428,0.34893522482122036,0.3111461346104189,0.9195077332446366
ml-1m,SLIM,0.0,,,0.001,0.5,q1,5943,0.36055349180248625,0.2631712114348698,0.8542823489819956,0.37356565914882484,0.3860874972409605,0.9160356722194178
ml-1m,SLIM,0.0,,,0.001,0.5,q2,4400,0.027278268696815364,0.04361376559265596,0.10568181818181818,0.04097490544993578,0.08365375176997294,0.20113636363636364
ml-1m,SLIM,0.0,,,0.001,0.5,q3,2896,0.00667105450923712,0.012742534859247567,0.02037292817679558,0.01099759249338062,0.027469894286192623,0.04523480662983426
ml-1m,SLIM,0.0,,,0.001,0.5,q4,1678,0.0026863523810470367,0.005696974856688802,0.0077473182359952325,0.0030977216288259305,0.007023667631534138,0.010131108462455305
ml-1m,SLIM,0.0,,,0.001,0.5,q5,698,0.0013814657405512762,0.0028653295128939827,0.0028653295128939827,0.0024703634783671087,0.0071633237822349575,0.0071633237822349575
