dataset,source,normalise,ease_lambda,gamma,rp3_beta,topK,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_median_diff
ml-1m,p3alpha,sym,500,30.0,0.6,200,141.7181043624878,0.12108955175635282,0.05901464257387061,0.5153600805774718,0.0882734988953076,0.13419637146278482,0.054842482597045855,0.6745005875440658,0.14819748592577717,0.12108955175635282,0.05901464257387061,0.5153600805774718,0.0882734988953076,2243428.5,7.525851300217647e-13,5957,0,0.0
ml-1m,p3alpha,sym,500,100.0,0.6,200,142.0306453704834,0.12106645932470413,0.0593909146079362,0.5088131609870741,0.08208860549203324,0.13291694627999656,0.05454476892764418,0.663924794359577,0.13870217759885456,0.12106645932470413,0.0593909146079362,0.5088131609870741,0.08208860549203324,2740951.0,6.93139719755862e-08,5957,0,0.0
ml-1m,itemknn,sym,500,0.3,0.6,200,138.8850793838501,0.11371884562356137,0.05450813792835383,0.5076380728554641,0.0891405530702999,0.13038422052169837,0.052547847067432686,0.6818868557998993,0.15407019352541854,0.11371884562356137,0.05450813792835383,0.5076380728554641,0.0891405530702999,173418.5,0.00031553083543552903,5957,0,0.0
ml-1m,itemknn,sym,500,1.0,0.6,200,139.17123985290527,0.11459827151201445,0.05507058530516827,0.5076380728554641,0.08937672050136396,0.13123044512174023,0.052981034617418654,0.6817189860668121,0.1545228906360146,0.11459827151201445,0.05507058530516827,0.5076380728554641,0.08937672050136396,646382.0,1.2544464367733245e-06,5957,0,0.0
ml-1m,itemknn,sym,500,3.0,0.6,200,140.30916810035706,0.11665863250156662,0.05624904928273015,0.5126741648480779,0.0903081941282016,0.13256713525549027,0.053744337721891515,0.6820547255329864,0.1547448248606539,0.11665863250156662,0.05624904928273015,0.5126741648480779,0.0903081941282016,1268355.5,3.4378304440319937e-10,5957,0,0.0
ml-1m,itemknn,sym,500,10.0,0.6,200,139.55295753479004,0.11841247158375232,0.05768847189395844,0.5118348161826423,0.08930008968116401,0.13377316887039326,0.054672081560971406,0.6797045492697666,0.15348157399990378,0.11841247158375232,0.05768847189395844,0.5118348161826423,0.08930008968116401,1822648.0,7.085502044704643e-10,5957,0,0.0
ml-1m,itemknn,sym,500,30.0,0.6,200,139.04273462295532,0.12110785532982211,0.05923919382474543,0.5131777740473392,0.08856649627363106,0.13436396713102366,0.05512823874856839,0.6731576296793688,0.14844762356881797,0.12110785532982211,0.05923919382474543,0.5131777740473392,0.08856649627363106,2226795.0,6.754918057402425e-13,5957,0,0.0
ml-1m,itemknn,sym,500,100.0,0.6,200,138.88852787017822,0.12152140357201262,0.05978251300271414,0.5062951149907672,0.08297111519721569,0.13293733384562956,0.05473828559729287,0.6603995299647474,0.13981392477739787,0.12152140357201262,0.05978251300271414,0.5062951149907672,0.08297111519721569,2663179.5,6.090199079050239e-09,5957,0,0.0
ml-1m,binary,sym,500,0.3,0.6,200,139.90696001052856,0.11384712949006535,0.054569633171008505,0.5081416820547255,0.08923301268092831,0.13036178675996676,0.05255329341086452,0.6818868557998993,0.15378323222714188,0.11384712949006535,0.054569633171008505,0.5081416820547255,0.08923301268092831,168817.0,1.7353923966398073e-05,5957,0,0.0
ml-1m,binary,sym,500,1.0,0.6,200,140.4730565547943,0.11456439225517144,0.0550365595662845,0.5071344636562027,0.0892100420892614,0.1312798617663702,0.052913207730592174,0.6825583347322478,0.15455819734915963,0.11456439225517144,0.0550365595662845,0.5071344636562027,0.0892100420892614,647381.0,7.485161965687168e-07,5957,0,0.0
ml-1m,binary,sym,500,3.0,0.6,200,141.89717364311218,0.11658974874713089,0.05607318435180015,0.5133456437804264,0.09042527107295424,0.13256690314702527,0.05357688520054332,0.6828940741984221,0.15480091615052757,0.11658974874713089,0.05607318435180015,0.5133456437804264,0.09042527107295424,1249778.5,1.4700346102960917e-10,5957,0,0.0
ml-1m,binary,sym,500,10.0,0.6,200,139.5794095993042,0.11890063439541038,0.05772268330886343,0.5146886016451234,0.08984674877103765,0.1343761020091524,0.05474622419792036,0.6835655531307705,0.15419468623470778,0.11890063439541038,0.05772268330886343,0.5146886016451234,0.08984674877103765,1808210.0,3.831133698265536e-12,5957,0,0.0
ml-1m,binary,sym,500,30.0,0.6,200,140.12730193138123,0.12139267252984544,0.0592008423156752,0.5165351687090818,0.08819885885503198,0.13451534130492201,0.05504569671512973,0.6755078059425885,0.14791987795097505,0.12139267252984544,0.0592008423156752,0.5165351687090818,0.08819885885503198,2252522.0,1.0722899708179211e-13,5957,0,0.0
ml-1m,binary,sym,500,100.0,0.6,200,140.23812317848206,0.12153015524772234,0.0597782365064604,0.5096525096525096,0.08224166213178569,0.1323389292105247,0.05449334004382849,0.6614067483632701,0.13674383600855253,0.12153015524772234,0.0597782365064604,0.5096525096525096,0.08224166213178569,2754509.0,4.683408412129958e-08,5957,0,0.0
