family,NDCG@10_mean,NDCG@10_std,Coverage@10_mean,Gini@10_mean,Novelty@10_mean,seeds
EASE,0.36606486663423726,0.002775355953389631,0.2747072599531616,0.7676489609785373,2.306321416393015,5
RP3beta,0.30808114970540956,0.0016930884834210958,0.2069086651053864,0.8879072862668064,1.8842864174154381,5
Hybrid-Score,0.3659747304242889,0.002295014341680194,0.293559718969555,0.781450393717287,2.3009390386029436,5
Hybrid-Matrix,0.3522153410589083,0.0026765198713867423,0.2808548009367681,0.8454674398238989,2.1015390192745635,5
Hybrid-GraphReg,0.36040495730318184,0.0023089738274056013,0.32640515222482436,0.7630360049917234,2.402584977236736,5
Laplacian-EASE,0.36660591244478963,0.0027840121964528885,0.2693793911007026,0.7679607172418907,2.297988128378095,5
