model,ease_lambda,rp3_beta,rp3_topK,gamma,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-GraphReg,500,0.6,200,0.5,11.716867208480835,0,0.352246491398342,0.21965459002404286,0.8804926764314248,0.2210582209600187,0.5187353629976581,0.7821297337184732,2.670665100990166,0.3561589094207047,0.1966682911025202,0.9360852197070573,0.32721517493006913,0.6545667447306791,0.780834238010619,2.82271773979128,0.352246491398342,0.21965459002404286,0.8804926764314248,0.2210582209600187,0.5187353629976581,0.7821297337184732,2.670665100990166,4527513.5,1.3331115413406688e-44,6008,-1,-0.017285540625342058,0.0
Hybrid-GraphReg,500,0.6,200,1.0,9.013553619384766,0,0.3212165729945436,0.19440984672028794,0.855525965379494,0.20509262383627727,0.6718384074941453,0.7510253866304621,3.085191145871291,0.32827345497487964,0.17495922350020324,0.9231025299600533,0.3070170369172012,0.8047423887587822,0.7494447442212371,3.1833339417061883,0.3212165729945436,0.19440984672028794,0.855525965379494,0.20509262383627727,0.6718384074941453,0.7510253866304621,3.085191145871291,3819578.5,2.819052556044712e-153,6008,-1,-0.04831545902914055,-0.020565553963194927
Hybrid-GraphReg,200,0.6,200,0.01,9.0440673828125,1,0.34638122981104025,0.21324138818895053,0.8719613719613719,0.21550277833923875,0.35772833723653397,0.7533307663422228,2.4724882596423132,0.3491674112091732,0.19038324949078508,0.9307359307359307,0.3175801839584669,0.45491803278688525,0.7475605582748441,2.637885986071822,0.34638122981104025,0.21324138818895053,0.8719613719613719,0.21550277833923875,0.35772833723653397,0.7533307663422228,2.4724882596423132,4115458.5,2.4940949950420568e-67,6006,-1,-0.020208356722138283,0.0
Hybrid-GraphReg,200,0.6,200,0.05,9.007554531097412,1,0.3463134786148876,0.21325518237012,0.8719613719613719,0.21538427236169005,0.382903981264637,0.7601724982458928,2.4951336232924834,0.3491975509963703,0.1905178350448044,0.9295704295704296,0.31743659656669104,0.4894613583138173,0.7571306285421118,2.659810906179185,0.3463134786148876,0.21325518237012,0.8719613719613719,0.21538427236169005,0.382903981264637,0.7601724982458928,2.4951336232924834,4183945.0,3.7288283349575324e-67,6006,-1,-0.020276107918290893,0.0
Hybrid-GraphReg,200,0.6,200,0.1,9.175989627838135,1,0.34503849576986917,0.21229144231199218,0.8711288711288712,0.21471567097820035,0.4215456674473068,0.7684468078218076,2.5347335959928756,0.34815346690778615,0.18965993934843536,0.9302364302364302,0.3168425452691633,0.5459601873536299,0.7703861375443144,2.697964379047044,0.34503849576986917,0.21229144231199218,0.8711288711288712,0.21471567097820035,0.4215456674473068,0.7684468078218076,2.5347335959928756,4190091.5,6.15494886576252e-70,6006,-1,-0.021551090763309338,0.0
Hybrid-GraphReg,200,0.6,200,0.3,9.472880125045776,1,0.3283261938566374,0.19833122232286063,0.860972360972361,0.2059477623138395,0.5875292740046838,0.7738248962464209,2.802217161386265,0.333739721409023,0.17819935824211589,0.9227439227439227,0.3073184018815116,0.7268735362997658,0.7745099376392166,2.9348877572066825,0.3283261938566374,0.19833122232286063,0.860972360972361,0.2059477623138395,0.5875292740046838,0.7738248962464209,2.802217161386265,3807856.5,7.059291009657678e-132,6006,-1,-0.03826339267654108,-0.013384605622664164
Hybrid-GraphReg,200,0.6,200,0.5,8.945883989334106,1,0.3030358973334183,0.17849456768036703,0.837995337995338,0.1920155898179179,0.7034543325526932,0.7483945101922631,3.145264184174935,0.310989984818091,0.16133834603823688,0.9099234099234099,0.291298639625734,0.8375292740046838,0.7483348179258702,3.2330379198411325,0.3030358973334183,0.17849456768036703,0.837995337995338,0.1920155898179179,0.7034543325526932,0.7483945101922631,3.145264184174935,3192290.0,6.162158681465281e-227,6006,-1,-0.06355368919976025,-0.03949021490117117
Hybrid-GraphReg,200,0.6,200,1.0,9.927051067352295,1,0.23609619121472436,0.12950983807701494,0.7610722610722611,0.1546119225655471,0.8430913348946136,0.6683639277389277,3.961060350330682,0.24972739541299988,0.11961732876223974,0.8656343656343657,0.243426399887273,0.9394028103044496,0.6609013765916227,3.9271158839816667,0.23609619121472436,0.12950983807701494,0.7610722610722611,0.1546119225655471,0.8430913348946136,0.6683639277389277,3.961060350330682,1804398.0,0.0,6006,-1,-0.13049339531845414,-0.10699313236726378
Hybrid-GraphReg,500,0.6,200,0.01,9.191100835800171,1,0.3623395158290866,0.2282769858322579,0.8774558774558775,0.222934919234701,0.31528103044496486,0.7614773650985351,2.388664552888206,0.3635956049450233,0.20276813294581167,0.9352314352314353,0.3277309213050913,0.4042740046838407,0.7519619289713424,2.558152689482394,0.3623395158290866,0.2282769858322579,0.8774558774558775,0.222934919234701,0.31528103044496486,0.7614773650985351,2.388664552888206,3816727.0,3.4428335121017996e-12,6006,-1,-0.00425007070409194,0.0
Hybrid-GraphReg,500,0.6,200,0.05,9.11669397354126,1,0.36196102828925425,0.22806972154619548,0.8762903762903763,0.22224786254623108,0.33079625292740045,0.7660101255676477,2.4034095863742952,0.3640813008900878,0.20308970471663915,0.9358974358974359,0.32830570998370784,0.4230093676814988,0.7572154028209392,2.572138126630285,0.36196102828925425,0.22806972154619548,0.8762903762903763,0.22224786254623108,0.33079625292740045,0.7660101255676477,2.4034095863742952,3916963.0,3.3089974967771924e-13,6006,-1,-0.004628558243924324,0.0
Hybrid-GraphReg,500,0.6,200,0.1,9.156630754470825,1,0.36170291746660915,0.227732671633607,0.8761238761238761,0.22225611730528547,0.34923887587822017,0.7706980920727777,2.421967009154448,0.36405969772969465,0.20297033003823375,0.9362304362304362,0.3286870293591715,0.4475995316159251,0.7634340044084975,2.5905862916303546,0.36170291746660915,0.227732671633607,0.8761238761238761,0.22225611730528547,0.34923887587822017,0.7706980920727777,2.421967009154448,4070584.5,4.2495341068051105e-13,6006,-1,-0.004886669066569359,0.0
Hybrid-GraphReg,500,0.6,200,0.3,8.939757347106934,1,0.3583952619321143,0.22481333554746255,0.8776223776223776,0.22142216860224936,0.43676814988290397,0.7833376855494818,2.5298260927560015,0.36131532300883673,0.20060705066176104,0.9355644355644356,0.32719538251402175,0.561768149882904,0.781023171721452,2.694795276926259,0.3583952619321143,0.22481333554746255,0.8776223776223776,0.22142216860224936,0.43676814988290397,0.7833376855494818,2.5298260927560015,4544392.0,5.427128995170149e-19,6006,-1,-0.008194324601064206,0.0
Hybrid-GraphReg,500,0.6,200,0.5,9.19020938873291,1,0.3481510865779319,0.21613025624434354,0.8696303696303697,0.2155423777951969,0.5196135831381733,0.780747046380849,2.67820784003626,0.35298671808086246,0.19366319799563303,0.9333999333999334,0.3220586919171999,0.6449063231850117,0.776795787054525,2.828232058602214,0.3481510865779319,0.21613025624434354,0.8696303696303697,0.2155423777951969,0.5196135831381733,0.780747046380849,2.67820784003626,4443363.5,2.6877454982302326e-47,6006,-1,-0.018438499955246556,0.0
Hybrid-GraphReg,500,0.6,200,1.0,9.269598484039307,1,0.3170125366478022,0.19053914289812818,0.8458208458208458,0.1992156064299166,0.667447306791569,0.7467359248938197,3.0992109892054875,0.3242814784128159,0.17139273392729804,0.919080919080919,0.3022201519003083,0.7947892271662763,0.7455083958398876,3.1947820193343515,0.3170125366478022,0.19053914289812818,0.8458208458208458,0.1992156064299166,0.667447306791569,0.7467359248938197,3.0992109892054875,3674473.5,2.103579792658713e-156,6006,-1,-0.04957704988537623,-0.019082879296849847
Hybrid-GraphReg,200,0.6,200,0.01,8.849357843399048,2,0.34372003426421655,0.2102621638956493,0.8769153897401732,0.2154647929051077,0.3562646370023419,0.7521263830138987,2.4714272661792585,0.34694268837934567,0.18781131411067772,0.9363757495003331,0.3183650002476228,0.45081967213114754,0.7469730893689921,2.63273649886484,0.34372003426421655,0.2102621638956493,0.8769153897401732,0.2154647929051077,0.3562646370023419,0.7521263830138987,2.4714272661792585,4140728.5,2.5053418940782613e-74,6004,-1,-0.021410329499597782,0.0
Hybrid-GraphReg,200,0.6,200,0.05,10.641600131988525,2,0.3429154557336419,0.20945064102515681,0.8780812791472352,0.2153261697299143,0.3799765807962529,0.7592418613579648,2.4917513996817653,0.34721633619631,0.18767066927877202,0.9373750832778148,0.31976238986390754,0.48653395784543324,0.7577765645205643,2.6533813516909444,0.3429154557336419,0.20945064102515681,0.8780812791472352,0.2153261697299143,0.3799765807962529,0.7592418613579648,2.4917513996817653,4118679.0,6.792325616876232e-77,6004,-1,-0.022214908030172377,0.0
