model,ease_lambda,rp3_beta,rp3_topK,gamma,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-GraphReg,200,0.6,200,0.05,8.747445344924927,4,0.34496595852780065,0.21214791237254388,0.8682983682983683,0.21660338259556774,0.38114754098360654,0.7574478772635456,2.494898258783225,0.34812812183171704,0.1902685942080198,0.9275724275724275,0.31739201259550126,0.4894613583138173,0.7576880256904179,2.6560472474146706,0.34496595852780065,0.21214791237254388,0.8682983682983683,0.21660338259556774,0.38114754098360654,0.7574478772635456,2.494898258783225,4113822.5,4.634593343862997e-76,6006,-1,-0.022116463804400594,-0.0004800379997656756
Hybrid-GraphReg,200,0.6,200,0.1,8.644922733306885,4,0.3444022624570498,0.21162900483974745,0.8696303696303697,0.21642808482649656,0.422423887587822,0.7688275919045151,2.5310309718518953,0.3465893669852932,0.1893142449627248,0.9270729270729271,0.31562942146112516,0.5406908665105387,0.7687237325028338,2.693534342604268,0.3444022624570498,0.21162900483974745,0.8696303696303697,0.21642808482649656,0.422423887587822,0.7688275919045151,2.5310309718518953,4171241.0,1.3151898195323416e-74,6006,-1,-0.02268015987515138,-0.0006781996860316941
Hybrid-GraphReg,200,0.6,200,0.3,8.686935663223267,4,0.32840640419382294,0.198916462988175,0.8566433566433567,0.2076127722025903,0.5942622950819673,0.7774899976870422,2.8015580086228487,0.3325055539161163,0.17845467521935324,0.9195804195804196,0.3064757774875852,0.7303864168618267,0.7760461982906872,2.9333834606523244,0.32840640419382294,0.198916462988175,0.8566433566433567,0.2076127722025903,0.5942622950819673,0.7774899976870422,2.8015580086228487,3780359.5,6.474803386881931e-135,6006,-1,-0.03867601813837824,-0.013256028020143362
Hybrid-GraphReg,200,0.6,200,0.5,8.63339352607727,4,0.30403338777422434,0.1801157210503866,0.8348318348318349,0.19385100090561133,0.7134074941451991,0.7518261385721376,3.1533015345948776,0.31063034307445475,0.16259529670589354,0.9054279054279054,0.29033985603657453,0.8407494145199064,0.7495607050795072,3.2326607859340615,0.30403338777422434,0.1801157210503866,0.8348318348318349,0.19385100090561133,0.7134074941451991,0.7518261385721376,3.1533015345948776,3132473.0,4.7884996295638235e-229,6006,-1,-0.06304903455797685,-0.036583151954473536
Hybrid-GraphReg,200,0.6,200,1.0,8.759720802307129,4,0.23545660651257586,0.12968044241074286,0.7564102564102564,0.1562791253826423,0.8427985948477752,0.6684628558890455,3.9672132313121753,0.24830664552395215,0.11935575184658916,0.8566433566433567,0.24415645753071238,0.9423302107728337,0.6622086725535001,3.9285808723219344,0.23545660651257586,0.12968044241074286,0.7564102564102564,0.1562791253826423,0.8427985948477752,0.6684628558890455,3.9672132313121753,1801927.0,0.0,6006,-1,-0.13162581581962535,-0.10699313236726381
Hybrid-GraphReg,500,0.6,200,0.01,8.792367219924927,4,0.3602095002423975,0.22631637080900122,0.8744588744588745,0.22267555159387778,0.3135245901639344,0.7592055936593751,2.386493264819878,0.3624278463795035,0.20255982169300543,0.9299034299034299,0.32701149488079295,0.40193208430913346,0.7511182796324822,2.5537488194519713,0.3602095002423975,0.22631637080900122,0.8744588744588745,0.22267555159387778,0.3135245901639344,0.7592055936593751,2.386493264819878,3575468.5,2.7952514114660883e-23,6006,-1,-0.006872922089803697,0.0
Hybrid-GraphReg,500,0.6,200,0.05,8.713488578796387,4,0.3607598478174297,0.22680391425572827,0.8747918747918748,0.22355465698648483,0.3252341920374707,0.7624378022217806,2.3990056590143922,0.36304118292831467,0.20307956545523517,0.9300699300699301,0.32768267476433216,0.41920374707259955,0.756200166221116,2.566614672211018,0.3607598478174297,0.22680391425572827,0.8747918747918748,0.22355465698648483,0.3252341920374707,0.7624378022217806,2.3990056590143922,3805489.5,2.109602397789507e-19,6006,-1,-0.006322574514771426,0.0
Hybrid-GraphReg,500,0.6,200,0.1,8.72519588470459,4,0.36073881989901624,0.22689870445964552,0.8746253746253746,0.22361185059265956,0.34455503512880564,0.7677025608206576,2.4183037418933147,0.36281829565970275,0.20298320897661973,0.9307359307359307,0.32750604007454925,0.4519906323185012,0.7667361675457531,2.585632123158224,0.36073881989901624,0.22689870445964552,0.8746253746253746,0.22361185059265956,0.34455503512880564,0.7677025608206576,2.4183037418933147,3911225.0,9.101484267047761e-20,6006,-1,-0.00634360243318491,0.0
Hybrid-GraphReg,500,0.6,200,0.3,8.83232855796814,4,0.3569719260863893,0.22363809599424675,0.8726273726273727,0.22256605062889245,0.4309133489461358,0.7815706711766495,2.5253162968102756,0.3597651528163713,0.2002999209602414,0.9309024309024309,0.3266251850650215,0.5658665105386417,0.7842423484430727,2.68933146107059,0.3569719260863893,0.22363809599424675,0.8726273726273727,0.22256605062889245,0.4309133489461358,0.7815706711766495,2.5253162968102756,4329953.0,1.621278387532799e-27,6006,-1,-0.010110496245811921,0.0
Hybrid-GraphReg,500,0.6,200,0.5,8.952055215835571,4,0.3498135651239116,0.2176085935616831,0.8687978687978688,0.2185893795152607,0.5207845433255269,0.7826319080956519,2.674994154486348,0.3530722793057005,0.19497911804702495,0.9280719280719281,0.32228674676683716,0.6563231850117096,0.7823473953937825,2.8212241878931676,0.3498135651239116,0.2176085935616831,0.8687978687978688,0.2185893795152607,0.5207845433255269,0.7826319080956519,2.674994154486348,4447562.0,3.132337860594682e-44,6006,-1,-0.017268857208289568,0.0
Hybrid-GraphReg,500,0.6,200,1.0,8.701472282409668,4,0.31782440153750124,0.19212477091020175,0.8438228438228438,0.20142843348053502,0.6668618266978923,0.7483952102916107,3.100375013907035,0.3239126723020653,0.17268905511969843,0.9117549117549117,0.30179071928968454,0.7985948477751756,0.7481120602271627,3.191648915837137,0.31782440153750124,0.19212477091020175,0.8438228438228438,0.20142843348053502,0.6668618266978923,0.7483952102916107,3.100375013907035,3697030.5,1.958849000222196e-155,6006,-1,-0.04925802079469996,-0.019829128504300665
