model,ease_lambda,rp3_beta,rp3_topK,gamma,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,500,0.6,200,0.3,0,overall,6008,0.3603091695950875,0.22530102577800828,0.887982689747004,0.36300625407334053,0.3313573441084979,0.9375832223701731
Hybrid-GraphReg,500,0.6,200,0.3,0,q1,5945,0.37295437184551733,0.28225573644716995,0.8844407064760302,0.38957206405816003,0.4095806982659504,0.935407905803196
Hybrid-GraphReg,500,0.6,200,0.3,0,q2,4408,0.021469765591809735,0.03553591652456317,0.09392014519056262,0.03463198115199835,0.07546865926569771,0.1869328493647913
Hybrid-GraphReg,500,0.6,200,0.3,0,q3,2895,0.005211977870382496,0.00954244350312622,0.01934369602763385,0.00942244190730957,0.02264350519579991,0.0459412780656304
Hybrid-GraphReg,500,0.6,200,0.3,0,q4,1659,0.003072282916844312,0.005300598971485048,0.009041591320072333,0.004304163391616136,0.00928894536489473,0.0162748643761302
Hybrid-GraphReg,500,0.6,200,0.3,0,q5,693,0.001443001443001443,0.001443001443001443,0.001443001443001443,0.0018329554897941122,0.002886002886002886,0.002886002886002886
Hybrid-GraphReg,500,0.6,200,0.5,0,overall,6008,0.352246491398342,0.2210582209600187,0.8804926764314248,0.3561589094207047,0.32721517493006913,0.9360852197070573
Hybrid-GraphReg,500,0.6,200,0.5,0,q1,5945,0.3601923214297381,0.27251714704157964,0.8735071488645921,0.37773323017719956,0.3991978148789428,0.9317073170731708
Hybrid-GraphReg,500,0.6,200,0.5,0,q2,4408,0.02688338731510279,0.04362197940217107,0.11456442831215971,0.0405645622529845,0.08495144680307216,0.2118874773139746
Hybrid-GraphReg,500,0.6,200,0.5,0,q3,2895,0.00894693995395986,0.016311582098408963,0.03557858376511226,0.01329978464620094,0.030181131838430304,0.06217616580310881
Hybrid-GraphReg,500,0.6,200,0.5,0,q4,1659,0.004803344224317819,0.007758572315534341,0.01567209162145871,0.008202597142955431,0.0200240669499259,0.03375527426160337
Hybrid-GraphReg,500,0.6,200,0.5,0,q5,693,0.002993301875864725,0.004083879083879084,0.008658008658008658,0.00440428575519481,0.008588633588633588,0.01875901875901876
Hybrid-GraphReg,500,0.6,200,1.0,0,overall,6008,0.3212165729945436,0.20509262383627727,0.855525965379494,0.32827345497487964,0.3070170369172012,0.9231025299600533
Hybrid-GraphReg,500,0.6,200,1.0,0,q1,5945,0.31992502301150205,0.24558226340184378,0.8373423044575273,0.3388263651651125,0.36488649927564976,0.9108494533221194
Hybrid-GraphReg,500,0.6,200,1.0,0,q2,4408,0.034571405846091134,0.05407464186253176,0.14904718693284935,0.05002834112458406,0.09954882577400467,0.25930127041742285
Hybrid-GraphReg,500,0.6,200,1.0,0,q3,2895,0.01472254115110922,0.025547670125772585,0.056649395509499136,0.022144875719778134,0.049426731151883334,0.10328151986183075
Hybrid-GraphReg,500,0.6,200,1.0,0,q4,1659,0.012536754231511968,0.02396598355007035,0.04159132007233273,0.0160868325731776,0.036671630523348424,0.06027727546714889
Hybrid-GraphReg,500,0.6,200,1.0,0,q5,693,0.005176967840654397,0.006905131905131905,0.015873015873015872,0.008252687393703672,0.017834678548964263,0.030303030303030304
Hybrid-GraphReg,200,0.6,200,0.01,1,overall,6006,0.34638122981104025,0.21550277833923875,0.8719613719613719,0.3491674112091732,0.3175801839584669,0.9307359307359307
Hybrid-GraphReg,200,0.6,200,0.01,1,q1,5944,0.3640163594659059,0.27539765585376896,0.8721399730820996,0.38011729470836936,0.39986743717480516,0.9301816958277255
Hybrid-GraphReg,200,0.6,200,0.01,1,q2,4502,0.015848216620088174,0.027672187883315855,0.07063527321190582,0.029171208859842077,0.06658759565630488,0.1685917370057752
Hybrid-GraphReg,200,0.6,200,0.01,1,q3,2861,0.003080125930972107,0.006687373560844375,0.01048584411045089,0.00638461258037101,0.017953766055160053,0.030059419783292556
