model,rp3_beta,rp3_topK,train_time_s_mean,train_time_s_std,train_time_s_count,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count,NDCG@k_mean,NDCG@k_std,NDCG@k_count,MAP@k_mean,MAP@k_std,MAP@k_count,HitRate@k_mean,HitRate@k_std,HitRate@k_count,Recall@k_mean,Recall@k_std,Recall@k_count,Coverage@k_mean,Coverage@k_std,Coverage@k_count,Gini@k_mean,Gini@k_std,Gini@k_count,Novelty@k_mean,Novelty@k_std,Novelty@k_count,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_stat_count,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_p_count,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_n_pairs_count,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_sign_count,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_mean_diff_count,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std,wilcoxon_vs_EASE_median_diff_count
RP3beta,0.3,200,4.078924703598022,2.306647393213492,5,0.2589541751745106,0.0012761179190198242,5,0.15118714884003112,0.0002815835114179616,5,0.7601308552313387,0.007997933583198084,5,0.14671793105281639,0.0017277322014339212,5,0.06492974238875879,0.0017974334230689431,5,0.8578260675207858,0.003784553472029896,5,1.6210478731744817,0.003035404311043864,5,0.2532684572181709,0.0014889769144745212,5,0.1275620325497887,0.0005901922666506692,5,0.8480895665331882,0.006091554962871189,5,0.21472286490341252,0.0018378247131517705,5,0.09484777517564402,0.00179265935508136,5,0.846622347348643,0.002530125482046542,5,1.7535439314797376,0.0025675328832146073,5,0.2589541751745106,0.0012761179190198242,5,0.15118714884003112,0.0002815835114179616,5,0.7601308552313387,0.007997933583198084,5,0.14671793105281639,0.0017277322014339212,5,0.06492974238875879,0.0017974334230689431,5,0.8578260675207858,0.003784553472029896,5,1.6210478731744817,0.003035404311043864,5,2338625.3,100400.00734225569,5,0.0,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.10711069145972667,0.0021501118336904068,5,-0.08959946073580814,0.003603468401061389,5
RP3beta,0.3,500,5.195380163192749,2.907599477071157,5,0.2618944468664702,0.0014123912799003386,5,0.15301141721560102,0.0003914015385770732,5,0.7655236996340965,0.006813644613306547,5,0.14974426765256993,0.001658145047676181,5,0.0677400468384075,0.001181886957739246,5,0.8595506294198245,0.002764639756958866,5,1.6305945181949397,0.0035599488530684317,5,0.25727884636367293,0.001736468120062993,5,0.12992781918824944,0.0007395006211501627,5,0.8535497530697118,0.006992438590620484,5,0.21963498677077378,0.0018961393654462787,5,0.09718969555035128,0.001589985434894647,5,0.8454991187463188,0.0024967057205446163,5,1.7639295813012208,0.0027676234810267183,5,0.2618944468664702,0.0014123912799003386,5,0.15301141721560102,0.0003914015385770732,5,0.7655236996340965,0.006813644613306547,5,0.14974426765256993,0.001658145047676181,5,0.0677400468384075,0.001181886957739246,5,0.8595506294198245,0.002764639756958866,5,1.6305945181949397,0.0035599488530684317,5,2377852.9,90323.58399831131,5,0.0,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.10417041976776713,0.0019452692703132346,5,-0.08688408691298109,0.004700270133926853,5
RP3beta,0.6,200,3.151624917984009,0.09253089376351718,5,0.3054871661533587,0.002162847374479927,5,0.18458020271565717,0.0009234882091362603,5,0.8237524022987159,0.006259309841747327,5,0.18228957729651457,0.001960798113221833,5,0.20989461358313818,0.0015628041937985001,5,0.889550477899118,0.0009234660918402846,5,1.8826971338358092,0.0034042617515411895,5,0.3035713263376957,0.0027462610958730775,5,0.16012406395490322,0.0012486950368186713,5,0.8987596426039606,0.006348756248441963,5,0.2678902276490952,0.003333392274592782,5,0.2961943793911007,0.002042897695827619,5,0.8849691117569268,0.0011245829258890224,5,2.02861548611511,0.002569861216361145,5,0.3054871661533587,0.002162847374479927,5,0.18458020271565717,0.0009234882091362603,5,0.8237524022987159,0.006259309841747327,5,0.18228957729651457,0.001960798113221833,5,0.20989461358313818,0.0015628041937985001,5,0.889550477899118,0.0009234660918402846,5,1.8826971338358092,0.0034042617515411895,5,3484367.8,127802.58731174028,5,1.3447257209400145e-173,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.060577700480878585,0.0014543661501104724,5,-0.03797389447184091,0.0031087455934601027,5
RP3beta,0.6,500,5.402287340164184,2.9772188470722205,5,0.30808114970540956,0.0016930884834210958,5,0.18654107817395954,0.0006481809396604286,5,0.8275485844208248,0.007715179607206403,5,0.18446774340014507,0.0018479894336454296,5,0.2069086651053864,0.0043291888327399025,5,0.8879072862668064,0.002164922032909641,5,1.8842864174154381,0.002117695244060185,5,0.3045628555655057,0.0022812427832483045,5,0.1609898370522286,0.0010173222835983048,5,0.9000580116535879,0.005045349593817459,5,0.2683403247688919,0.0026914687247000094,5,0.28530444964871193,0.003797730967875805,5,0.8838286796119666,0.0010388602702066279,5,2.0157297218978005,0.002005110653439325,5,0.30808114970540956,0.0016930884834210958,5,0.18654107817395954,0.0006481809396604286,5,0.8275485844208248,0.007715179607206403,5,0.18446774340014507,0.0018479894336454296,5,0.2069086651053864,0.0043291888327399025,5,0.8879072862668064,0.002164922032909641,5,1.8842864174154381,0.002117695244060185,5,3538249.1,130856.1056993521,5,9.544591411395399e-167,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.057983716928827686,0.0014866011201472226,5,-0.03355034922633373,0.0031832034927512477,5
