model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,0,q3,2895,0.0,0.0,0.0,7.743021960880115e-05,0.00023028209556706964,0.0003454231433506045
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,0,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,0,overall,6008,0.3680365762494111,0.2271523194487268,0.8859853528628495,0.3691230156677118,0.33374923721535316,0.9374167776298269
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,0,q1,5945,0.3880485476401606,0.2910188742683389,0.8888141295206056,0.4049345268730694,0.4237641424037648,0.9399495374264087
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,0,q2,4408,0.011331893563731155,0.021090090570666242,0.049682395644283124,0.021565782569692556,0.05248347081870405,0.11819419237749547
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,0,q3,2895,0.001263295306715801,0.002216465169833045,0.0031088082901554403,0.002413760991682789,0.005948555378607192,0.011053540587219343
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,0,q4,1659,0.0005232835842921964,0.0009041591320072332,0.0012055455093429777,0.0005232835842921964,0.0009041591320072332,0.0012055455093429777
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,0,overall,6008,0.36942735862780124,0.22664020263107287,0.8831557922769641,0.3700783452858833,0.3335787262332323,0.9357523302263648
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,0,q1,5945,0.38998416433912203,0.2908112556292809,0.8866274179983179,0.40705878667232326,0.4251003179401777,0.9392767031118587
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,0,q2,4408,0.009447831862045952,0.017504693430221176,0.04128856624319419,0.01845612491136609,0.0458465283332625,0.10004537205081669
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,0,q3,2895,0.00112729665543247,0.0021301093839953943,0.002763385146804836,0.0019592997889879703,0.004794528058776763,0.008981001727115717
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,0,q4,1659,0.00038279623608310985,0.0009041591320072332,0.0012055455093429777,0.00038279623608310985,0.0009041591320072332,0.0012055455093429777
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,0,overall,6008,0.36585268365298707,0.2215880039791899,0.878994673768309,0.3650218603274392,0.3258685639182625,0.9320905459387483
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,0,q1,5945,0.38752053307684536,0.28611849196990163,0.8847771236333053,0.40388542781449704,0.4197111825081479,0.9372582001682086
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,0,q2,4408,0.0063177234398592175,0.01173654994738133,0.02722323049001815,0.012508062670091703,0.031076504061359783,0.06442831215970962
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,0,q3,2895,0.0007746851891670414,0.0013241220495106504,0.002072538860103627,0.0010707684080473842,0.002219754914055432,0.004145077720207254
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,0,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.0003482320064736607,0.0009041591320072332,0.0012055455093429777
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
