model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,overall,0.3646450842033021,0.002675206331689706,5,0.22366704811336718,0.0027596805475875543,5,0.8785511788813742,0.005568391181451539,5,0.36598439811098504,0.002708396476831745,5,0.3299124328899775,0.0031206851228098432,5,0.9333841141926411,0.005478349672008824,5,6007.4,3.4351128074635104,5
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q1,0.38573460283810806,0.002331759531040185,5,0.28830309602757725,0.0025631291599674242,5,0.8820441860747555,0.0051315095737065,5,0.40262662398517096,0.002404302078205565,5,0.4210296590900568,0.003379006670713964,5,0.9359395601807169,0.005235748414471007,5,5941.2,4.147288270665454,5
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q2,0.011174112956805187,0.0005766168766161698,5,0.020956966951694557,0.0013766504058028307,5,0.04795512541154326,0.0039602609321287095,5,0.020718831274247944,0.0005110426071263912,5,0.049759728529907926,0.0018838232869670842,5,0.11612721204606391,0.003868794504883524,5,4440.2,45.146428430164846,5
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q3,0.0013604928755284987,0.0003568563376229518,5,0.0029758359820362444,0.000990864062860216,5,0.004619767588761493,0.001359102331701112,5,0.002916607481589357,0.0005425239919445182,5,0.00824644781701259,0.0020638638375723886,5,0.013674627174473136,0.0025407580291810575,5,2896.4,24.795160818191906,5
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q4,0.0003555676442204744,0.00028339626389256546,5,0.0007287926552813704,0.0005658038598364279,5,0.0010785497668945466,0.0007760053870822233,5,0.00048771591806387666,0.000242841671351667,5,0.0012621444798652853,0.0005371480866289499,5,0.0015721243440639826,0.0005161115572167215,5,1647.8,38.15363678602605,5
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,overall,0.36660591244478963,0.0027840121964528885,5,0.22341466690331555,0.002801859950572628,5,0.877186819085909,0.005694661989762059,5,0.36690623329694166,0.0027045717688455803,5,0.32918263577719137,0.003182518242984284,5,0.932784453155619,0.004557700508968008,5,6007.4,3.4351128074635104,5
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,q1,0.3887640621307155,0.00243423767486584,5,0.2892859837692961,0.002597012818336482,5,0.8813715218413989,0.005050573310394046,5,0.40506024202141716,0.0025258769412703163,5,0.4223306487097612,0.003342244950638633,5,0.9362086709926718,0.004490571692550747,5,5941.2,4.147288270665454,5
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,q2,0.009050239773320158,0.00029202078765396005,5,0.017292297783201058,0.0009527489201780766,5,0.037759532604533366,0.002060722009968912,5,0.017448104794229667,0.0005051728638903026,5,0.043167537328006,0.001378251236656332,5,0.09608888559134496,0.0025031469139862143,5,4440.2,45.146428430164846,5
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,q3,0.000997160289941079,0.00017076589315878505,5,0.0021630709762030832,0.0004077806227247941,5,0.00331285407639397,0.00044652159405965896,5,0.0022393764278622395,0.00048570434425932287,5,0.006358179135733026,0.0017960883926329938,5,0.010495683295805854,0.002358958459179573,5,2896.4,24.795160818191906,5
