model,lambda,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
EASE,100,2.7293813228607178,0,0.331620734275992,0.1997155335570881,0.8723368841544608,0.21040311540422393,0.3744145199063232,0.7436051644458419,2.5195166467594516,0.33533892120502146,0.179165913389498,0.9305925432756325,0.3082617779144239,0.4680913348946136,0.739337793511091,2.674271749336879,0.331620734275992,0.1997155335570881,0.8723368841544608,0.21040311540422393,0.3744145199063232,0.7436051644458419,2.5195166467594516,,,0,0,,
EASE,200,2.918560266494751,0,0.34810180775223165,0.21448772762544877,0.8799933422103862,0.21817316491701216,0.35011709601873536,0.74808827917292,2.473672073076828,0.3515466985052042,0.19202339873942506,0.9369174434087882,0.321762796278737,0.4414519906323185,0.7415131173466325,2.6339773340033257,0.34810180775223165,0.21448772762544877,0.8799933422103862,0.21817316491701216,0.35011709601873536,0.74808827917292,2.473672073076828,,,0,0,,
EASE,500,2.710947036743164,0,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
EASE,1000,3.8925511837005615,0,0.36953203202368406,0.235459412016027,0.8849866844207723,0.22709500743503613,0.27459016393442626,0.7673068460247743,2.3081960151160086,0.37018608917227425,0.20878789970272713,0.9369174434087882,0.3335743960519802,0.35860655737704916,0.7573978368977419,2.4771933208935284,0.36953203202368406,0.235459412016027,0.8849866844207723,0.22709500743503613,0.27459016393442626,0.7673068460247743,2.3081960151160086,,,0,0,,
EASE,100,3.54313588142395,1,0.3308875297557838,0.19958323962717384,0.8631368631368631,0.2076305398916838,0.3793911007025761,0.7490379476490587,2.514417376289996,0.33398208363199183,0.17830222299864568,0.9254079254079254,0.30577486440410717,0.4718969555035129,0.7414261193727694,2.675218926824409,0.3308875297557838,0.19958323962717384,0.8631368631368631,0.2076305398916838,0.3793911007025761,0.7490379476490587,2.514417376289996,,,0,0,,
EASE,200,3.377708911895752,1,0.3464574654790864,0.21332446184557863,0.8726273726273727,0.21581319616255512,0.352751756440281,0.751857879326759,2.4683622523944457,0.3490140432316668,0.19034813803167117,0.9302364302364302,0.31723745167797024,0.44730679156908665,0.745256717540749,2.633112183653567,0.3464574654790864,0.21332446184557863,0.8726273726273727,0.21581319616255512,0.352751756440281,0.751857879326759,2.4683622523944457,,,0,0,,
EASE,500,4.052433013916016,1,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
EASE,1000,2.6394050121307373,1,0.36658958653317847,0.2328906276546583,0.8771228771228772,0.22304199081779236,0.27546838407494145,0.7678671664856576,2.307698674848108,0.3676280045952539,0.20670889234900433,0.9352314352314353,0.3298503888548991,0.36065573770491804,0.7585337552058333,2.477778506218391,0.36658958653317847,0.2328906276546583,0.8771228771228772,0.22304199081779236,0.27546838407494145,0.7678671664856576,2.307698674848108,,,0,0,,
EASE,100,2.8869807720184326,2,0.3284519963034982,0.19689872995457464,0.8692538307794804,0.20714893313526758,0.3747072599531616,0.7461160528397734,2.5115307131168123,0.3320974077901847,0.17602352797647106,0.9287141905396402,0.30629276283973744,0.47160421545667447,0.7422961869823179,2.671147826424326,0.3284519963034982,0.19689872995457464,0.8692538307794804,0.20714893313526758,0.3747072599531616,0.7461160528397734,2.5115307131168123,,,0,0,,
EASE,200,4.2489964962005615,2,0.3437133639741499,0.21019907853800834,0.8769153897401732,0.21547545229595133,0.3524590163934426,0.7517447947215699,2.4665020193690035,0.3468451830460685,0.18776127281207436,0.9362091938707529,0.31803906482073957,0.4426229508196721,0.7441126881021118,2.628532383914806,0.3437133639741499,0.21019907853800834,0.8769153897401732,0.21547545229595133,0.3524590163934426,0.7517447947215699,2.4665020193690035,,,0,0,,
EASE,500,3.593416452407837,2,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,
EASE,1000,3.4650707244873047,2,0.36513036376381425,0.2308822977614319,0.8807461692205196,0.22297418064416133,0.27576112412177983,0.7679511960179413,2.3071263148441057,0.3666832628938368,0.20514860622350706,0.9370419720186542,0.3304187779192649,0.3588992974238876,0.7586976952830793,2.474379926069974,0.36513036376381425,0.2308822977614319,0.8807461692205196,0.22297418064416133,0.27576112412177983,0.7679511960179413,2.3071263148441057,,,0,0,,
EASE,100,5.973622798919678,3,0.32635768289235206,0.1964682768568496,0.8599700648594711,0.2043886249146247,0.376463700234192,0.7453234166822067,2.5148660922810153,0.32875517652563585,0.1747758483957243,0.9161816065192084,0.3015193709911561,0.469847775175644,0.7398685402811045,2.6743241394564845,0.32635768289235206,0.1964682768568496,0.8599700648594711,0.2043886249146247,0.376463700234192,0.7453234166822067,2.5148660922810153,,,0,0,,
EASE,200,2.6499481201171875,3,0.34252813129279563,0.21087151944596233,0.8671212373191418,0.21282541102051006,0.35099531615925056,0.7496644398631989,2.4691653344497104,0.34388066951929747,0.1871125268051131,0.9195077332446366,0.3131068249419881,0.4440866510538642,0.743143327887358,2.6320875122413865,0.34252813129279563,0.21087151944596233,0.8671212373191418,0.21282541102051006,0.35099531615925056,0.7496644398631989,2.4691653344497104,,,0,0,,
EASE,500,2.6741037368774414,3,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,
EASE,1000,2.6655967235565186,3,0.3619899285183083,0.23075217194441017,0.8702810577082987,0.21938687454057174,0.2731264637002342,0.7660471265455748,2.3075897530705882,0.3621577277880084,0.20369872868298997,0.9261599866954932,0.3244628455110661,0.3638758782201405,0.7608909711447134,2.475961733938425,0.3619899285183083,0.23075217194441017,0.8702810577082987,0.21938687454057174,0.2731264637002342,0.7660471265455748,2.3075897530705882,,,0,0,,
EASE,100,2.8757083415985107,4,0.3293552204646274,0.1982377675759195,0.8621378621378621,0.20820732932365604,0.37734192037470726,0.7449072003765564,2.5163784468979054,0.3322068932061471,0.17741406548661784,0.9205794205794205,0.3042345915644798,0.468384074941452,0.7397368672993672,2.6727196373361153,0.3293552204646274,0.1982377675759195,0.8621378621378621,0.20820732932365604,0.37734192037470726,0.7449072003765564,2.5163784468979054,,,0,0,,
EASE,200,5.621455669403076,4,0.34452822166781283,0.21156097844164734,0.8679653679653679,0.21627662498147285,0.35450819672131145,0.7501284567345674,2.4697956126256093,0.348214795253041,0.19006871553128313,0.9282384282384283,0.3179215892544372,0.43969555035128804,0.7417955103041654,2.6292404794397735,0.34452822166781283,0.21156097844164734,0.8679653679653679,0.21627662498147285,0.35450819672131145,0.7501284567345674,2.4697956126256093,,,0,0,,
EASE,500,2.607053518295288,4,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544,0.3984192037470726,0.7506592966181505,2.5499964162059165,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,,,0,0,,
EASE,1000,2.9571914672851562,4,0.36708242233220123,0.23348463931088645,0.8751248751248751,0.2243147335401804,0.27459016393442626,0.7690724698187383,2.3009963240862636,0.367134653706792,0.20734298880441945,0.9302364302364302,0.3290767962637339,0.36211943793911006,0.7600122728255307,2.4746950031159307,0.36708242233220123,0.23348463931088645,0.8751248751248751,0.2243147335401804,0.27459016393442626,0.7690724698187383,2.3009963240862636,,,0,0,,
