model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s_mean,train_time_s_std,train_time_s_count,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count,NDCG@k_mean,NDCG@k_std,NDCG@k_count,MAP@k_mean,MAP@k_std,MAP@k_count,HitRate@k_mean,HitRate@k_std,HitRate@k_count,Recall@k_mean,Recall@k_std,Recall@k_count,Coverage@k_mean,Coverage@k_std,Coverage@k_count,Gini@k_mean,Gini@k_std,Gini@k_count,Novelty@k_mean,Novelty@k_std,Novelty@k_count,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_stat_count,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_p_count,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_n_pairs_count,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_sign_count,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_mean_diff_count,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std,wilcoxon_vs_EASE_median_diff_count
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,7.949008417129517,1.628448699075301,5,0.3646450842033021,0.002675206331689706,5,0.23102431714280863,0.0018967614433004225,5,0.8785511788813742,0.005568391181451539,5,0.22366704811336718,0.0027596805475875543,5,0.2930327868852459,0.0013415034235819097,5,0.7626967748610789,0.0008588362466738305,5,2.3490777666322575,0.002945638661786089,5,0.36598439811098504,0.002708396476831745,5,0.20534586062202118,0.0018277355804576084,5,0.9333841141926411,0.005478349672008824,5,0.3299124328899775,0.0031206851228098432,5,0.3812060889929742,0.002496027370877311,5,0.7546185928188212,0.0014505364613486452,5,2.517495416771285,0.002145853692725315,5,0.3646450842033021,0.002675206331689706,5,0.23102431714280863,0.0018967614433004225,5,0.8785511788813742,0.005568391181451539,5,0.22366704811336718,0.0027596805475875543,5,0.2930327868852459,0.0013415034235819097,5,0.7626967748610789,0.0008588362466738305,5,2.3490777666322575,0.002945638661786089,5,2328916.6,91624.36580094295,5,0.0021558521027892213,0.003897220708782858,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.001419782430935217,0.0004466170734459513,5,0.0,0.0,5
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,7.726081275939942,0.6467058045382198,5,0.36660591244478963,0.0027840121964528885,5,0.2334439491399186,0.0018158411249992934,5,0.877186819085909,0.005694661989762059,5,0.22341466690331555,0.002801859950572628,5,0.2693793911007026,0.0006346452982634262,5,0.7679607172418907,0.0005393936870174079,5,2.297988128378095,0.003273313974676674,5,0.36690623329694166,0.0027045717688455803,5,0.20671839378359444,0.001818297558756487,5,0.932784453155619,0.004557700508968008,5,0.32918263577719137,0.003182518242984284,5,0.35386416861826697,0.0030869850881648777,5,0.7582843201979464,0.001805337190951699,5,2.4684068207465963,0.0015097311730419866,5,0.36660591244478963,0.0027840121964528885,5,0.2334439491399186,0.0018158411249992934,5,0.877186819085909,0.005694661989762059,5,0.22341466690331555,0.002801859950572628,5,0.2693793911007026,0.0006346452982634262,5,0.7679607172418907,0.0005393936870174079,5,2.297988128378095,0.003273313974676674,5,1301245.5,17871.459659887885,5,0.08426935097512564,0.12800651769775306,5,6007.4,3.4351128074635104,5,1.0,0.0,5,0.0005410458105523266,0.000403344877685854,5,0.0,0.0,5
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,7.851337432861328,1.629839686762585,5,0.3628692386220319,0.0033037786699626434,5,0.2317445100074406,0.0019021578418732517,5,0.8707941260647443,0.005713015120677238,5,0.21824100697785123,0.0032331893165123055,5,0.22939110070257612,0.0018583805911128709,5,0.7808357510333412,0.001991602138924544,5,2.1994308445970994,0.002789287394384907,5,0.3614151571119539,0.003248806814081789,5,0.20348348896137183,0.002030962600309176,5,0.9281566566435998,0.004189568899677773,5,0.3212086591837806,0.003426868041622256,5,0.2990046838407494,0.0028727331206901763,5,0.7636874109401467,0.001957434810106078,5,2.36902326807485,0.001664213675965905,5,0.3628692386220319,0.0033037786699626434,5,0.2317445100074406,0.0019021578418732517,5,0.8707941260647443,0.005713015120677238,5,0.21824100697785123,0.0032331893165123055,5,0.22939110070257612,0.0018583805911128709,5,0.7808357510333412,0.001991602138924544,5,2.1994308445970994,0.002789287394384907,5,4637240.0,196450.69797757146,5,0.03400068214165505,0.07596932154158623,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.0031956280122053477,0.0013619190978315123,5,0.0,0.0,5
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,7.168749046325684,0.8775656695430022,5,0.3490913866714334,0.0034054697728550885,5,0.2211213997878665,0.0021227675173653483,5,0.856045555605939,0.005250065426420182,5,0.20644302077681004,0.0027142862925636176,5,0.1759367681498829,0.0016299076003600769,5,0.7900234582281466,0.0026407085863843645,5,2.070008779585173,0.003323424956838986,5,0.34553127832030484,0.0032948419522993337,5,0.19208717683443047,0.002024480751935407,5,0.9171039079825734,0.005918045472461672,5,0.30271629696909697,0.0035004965890592576,5,0.2423887587822014,0.001706953130809516,5,0.7799230881953616,0.0013087939376431347,5,2.233336564863688,0.0018480635400812888,5,0.3490913866714334,0.0034054697728550885,5,0.2211213997878665,0.0021227675173653483,5,0.856045555605939,0.005250065426420182,5,0.20644302077681004,0.0027142862925636176,5,0.1759367681498829,0.0016299076003600769,5,0.7900234582281466,0.0026407085863843645,5,2.070008779585173,0.003323424956838986,5,4724922.9,194444.09463950043,5,3.2734139003324794e-28,7.319575998474198e-28,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.016973479962803815,0.0016465620614709799,5,0.0,0.0,5
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,8.568525981903075,3.5982821886473517,5,0.33860340561425384,0.0031707470005912335,5,0.2126968782891387,0.0018962427460976858,5,0.8447928960144674,0.006671128286220958,5,0.19802891174652676,0.0023999755206407752,5,0.15199063231850118,0.0013792996474695234,5,0.7988529145950526,0.0030687612149357824,5,1.9959573842230658,0.0037255466507862788,5,0.33385760891408006,0.003077446718687237,5,0.18358368873617398,0.001867660639799442,5,0.9083478983473334,0.0052723478642110405,5,0.29004404135683715,0.0030184295371596184,5,0.2100702576112412,0.0011261934462336895,5,0.7875579134933071,0.001506900742325968,5,2.153647464454993,0.002243974230727048,5,0.33860340561425384,0.0031707470005912335,5,0.2126968782891387,0.0018962427460976858,5,0.8447928960144674,0.006671128286220958,5,0.19802891174652676,0.0023999755206407752,5,0.15199063231850118,0.0013792996474695234,5,0.7988529145950526,0.0030687612149357824,5,1.9959573842230658,0.0037255466507862788,5,4461294.6,199212.78492337026,5,1.4602117060753662e-56,3.265132636324801e-56,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.02746146101998347,0.0015802923385394136,5,-0.002065089624888136,0.0019090258540995523,5
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,8.213949155807494,1.5578150967073803,5,0.3274828046575211,0.0027597421841518417,5,0.20395496857778342,0.0015171400359128438,5,0.833640873518549,0.007718096919484189,5,0.1897050697794595,0.00248071304046167,5,0.1307377049180328,0.002523344489403977,5,0.8041357750894885,0.0048540872016667085,5,1.9299194566286673,0.003198388123997824,5,0.3222417755393216,0.0025787404222342943,5,0.17508811509844363,0.0014468863719003548,5,0.9007236464902588,0.005537048602255242,5,0.2786070132304783,0.0024028829976822947,5,0.18220140515222483,0.0021965259346960297,5,0.7934787044310323,0.0030613025746954892,5,2.0816782970818757,0.0022259606668071246,5,0.3274828046575211,0.0027597421841518417,5,0.20395496857778342,0.0015171400359128438,5,0.833640873518549,0.007718096919484189,5,0.1897050697794595,0.00248071304046167,5,0.1307377049180328,0.002523344489403977,5,0.8041357750894885,0.0048540872016667085,5,1.9299194566286673,0.003198388123997824,5,4140474.2,167323.2682483969,5,2.1230884048214172e-92,4.74736999541986e-92,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.03858206197671619,0.0016580618740975922,5,-0.01162552887276927,0.0027823526142457737,5
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,7.956641721725464,1.7430236127151686,5,0.3182684536874847,0.0025067038916723092,5,0.19679493227597084,0.0013027222875801586,5,0.8235863840789379,0.006518593510725577,5,0.18289406919481171,0.0021955661493022393,5,0.11604215456674474,0.0012522979880683531,5,0.8088949994282075,0.0017238617132752214,5,1.8790857767935911,0.002913756322700547,5,0.3124496794382459,0.0023139060139799506,5,0.16811117468110626,0.0012418732257380412,5,0.892434081141101,0.005236836755892763,5,0.26868992558959554,0.0020438542229178785,5,0.16211943793911007,0.0010013250220425628,5,0.798437102126636,0.0018967234683076226,5,2.025371068889619,0.003089823579877373,5,0.3182684536874847,0.0025067038916723092,5,0.19679493227597084,0.0013027222875801586,5,0.8235863840789379,0.006518593510725577,5,0.18289406919481171,0.0021955661493022393,5,0.11604215456674474,0.0012522979880683531,5,0.8088949994282075,0.0017238617132752214,5,1.8790857767935911,0.002913756322700547,5,3866524.2,163947.54893585632,5,5.370243978669624e-126,1.200823059163155e-125,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.047796412946752555,0.0016620734461272094,5,-0.021425201338100976,0.0031439077248950017,5
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,8.978239679336548,3.294741980464599,5,0.3645565796315921,0.0028151809263337615,5,0.23096459722738177,0.0020218115689976703,5,0.8784179565629421,0.005569856193432353,5,0.22358694111958463,0.0028442519952884184,5,0.2948477751756441,0.0014695433721324432,5,0.7634062684947371,0.0009856790012715048,5,2.3505847473761605,0.0029525552233409125,5,0.36597266776568343,0.002758210398625463,5,0.2053193990473065,0.0019235645467770666,5,0.9333175252186571,0.005551611519569879,5,0.3299262166565545,0.00304479102185213,5,0.3822599531615925,0.0023180132195350384,5,0.7546872011265648,0.0013351742675902815,5,2.518790555484366,0.0020433769625503926,5,0.3645565796315921,0.0028151809263337615,5,0.23096459722738177,0.0020218115689976703,5,0.8784179565629421,0.005569856193432353,5,0.22358694111958463,0.0028442519952884184,5,0.2948477751756441,0.0014695433721324432,5,0.7634062684947371,0.0009856790012715048,5,2.3505847473761605,0.0029525552233409125,5,2320078.7,93659.35270743124,5,0.0010101863785005572,0.00198678477296481,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.00150828700264516,0.000459270066338683,5,0.0,0.0,5
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,7.882382202148437,2.445393751009492,5,0.366499564460204,0.0027401764106703324,5,0.23334768751227913,0.0017671221526695973,5,0.8771866971981238,0.005604968911442402,5,0.22334727180775493,0.002730880086816702,5,0.27230679156908666,0.0004342036584950705,5,0.7688484710937612,0.0005930676676940622,5,2.3012014012314426,0.003213111216342108,5,0.36689459698550086,0.0027599047910542617,5,0.20668382484153686,0.0018952065240330136,5,0.9327179085299433,0.004515849228331258,5,0.32921748832043746,0.0031841753739771895,5,0.35743559718969553,0.0025936834231073424,5,0.7592994224454224,0.001465150834567708,5,2.4714336615800976,0.001597171232997729,5,0.366499564460204,0.0027401764106703324,5,0.23334768751227913,0.0017671221526695973,5,0.8771866971981238,0.005604968911442402,5,0.22334727180775493,0.002730880086816702,5,0.27230679156908666,0.0004342036584950705,5,0.7688484710937612,0.0005930676676940622,5,2.3012014012314426,0.003213111216342108,5,1414814.4,40742.905295584904,5,0.18095907451703427,0.28642774791500736,5,6007.4,3.4351128074635104,5,0.6,0.894427190999916,5,0.0004346978259667534,0.0003699803921910882,5,0.0,0.0,5
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,8.301634263992309,1.7092707061347852,5,0.36255849452416966,0.0032149960471856923,5,0.23136382788917506,0.001886869185935299,5,0.8712268492777706,0.005790349168260802,5,0.21818897296567555,0.0029558862814039024,5,0.23495316159250587,0.0011450589704688485,5,0.7823782597877906,0.0015061228058865714,5,2.206530833374741,0.002586869162585047,5,0.36111167711855596,0.003292437184048824,5,0.20320682231928444,0.0020194084883031695,5,0.9280234785941814,0.004253438760660251,5,0.32094958858248107,0.0035335496189261733,5,0.30521077283372366,0.0024281547252140104,5,0.7651013187033822,0.0014275004398761604,5,2.376180149565885,0.0016383940922354463,5,0.36255849452416966,0.0032149960471856923,5,0.23136382788917506,0.001886869185935299,5,0.8712268492777706,0.005790349168260802,5,0.21818897296567555,0.0029558862814039024,5,0.23495316159250587,0.0011450589704688485,5,0.7823782597877906,0.0015061228058865714,5,2.206530833374741,0.002586869162585047,5,4627682.7,154162.2112786561,5,0.005125637833780651,0.011423606312642645,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.003506372110067694,0.00119360545421378,5,0.0,0.0,5
