model,lambda,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
EASE,100,overall,0.32933463273845065,0.00207842793376101,5,0.20755570853389121,0.002164129163620588,5,0.8653671010136275,0.005201309672957123,5,0.3324760964717962,0.0024761302238266517,5,0.3052166735427809,0.0025187664151945094,5,0.9242951372643654,0.005917338578455099,5,6007.4,3.4351128074635104,5
EASE,100,q1,0.34401451353408136,0.002093413078983443,5,0.2623138552493362,0.0018452810506711078,5,0.8645061494869916,0.0053808627390151175,5,0.35956173319663387,0.0024133186468603437,5,0.3797915756142912,0.0027093887355336154,5,0.9224739783696257,0.0053068899631181655,5,5941.2,4.147288270665454,5
EASE,100,q2,0.019500848910076644,0.0011191946772897217,5,0.0339151173081909,0.0019126480498323044,5,0.08810580138571515,0.00577883909474815,5,0.03263506950249859,0.0006840967455787807,5,0.07272808064071432,0.0013494006873603955,5,0.18896637104564395,0.003887158641337544,5,4440.2,45.146428430164846,5
EASE,100,q3,0.0038171179501122277,0.0006764714353534302,5,0.007825241742591346,0.001327073598829962,5,0.013047990912276175,0.0019425317956575329,5,0.006701322592058409,0.0006883037088727745,5,0.017345025812092428,0.0011559894347571546,5,0.030727438115391442,0.002528647981978906,5,2896.4,24.795160818191906,5
EASE,100,q4,0.0006637505028343901,0.00034906229722258614,5,0.0011801775089413942,0.0006090481568648061,5,0.0016899915019946538,0.0007634958832230101,5,0.0011446224620313503,0.00025465760599644436,5,0.002993441265402088,0.0005321750323794304,5,0.0036414916913699844,0.0004231884706574539,5,1647.8,38.15363678602605,5
EASE,100,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0001652098461562335,0.00022626018209931357,5,0.0005922711032200084,0.0008111342682323792,5,0.0005922711032200084,0.0008111342682323792,5,690.4,16.379865689315046,5
EASE,200,overall,0.3450657980332153,0.002219904953598855,5,0.2157127698755003,0.0019218950654895726,5,0.8729245419724883,0.005573483292795214,5,0.3479002779110556,0.0028242810719921016,5,0.31761354539477443,0.0030799438478158877,5,0.9302218457998073,0.007060554688505195,5,6007.4,3.4351128074635104,5
EASE,200,q1,0.36217306408498373,0.002129682976071226,5,0.2746834305757588,0.0016634152163339682,5,0.8739987451742843,0.005091606739779482,5,0.3785506692272779,0.002673654835478397,5,0.3988725024039885,0.0028336033375646647,5,0.9300152586621004,0.006596295525286749,5,5941.2,4.147288270665454,5
EASE,200,q2,0.016890044130787058,0.0009016556829135025,5,0.029690589599825207,0.0014525401479909463,5,0.07593535889052097,0.00469538998463804,5,0.029418180985403407,0.0007169505402057014,5,0.06683997652243068,0.0020857546158016475,5,0.1696973840973932,0.004346332639646765,5,4440.2,45.146428430164846,5
EASE,200,q3,0.0028648597735850046,0.000552121511788313,5,0.006178436465043238,0.0014804813419017242,5,0.010212371549277042,0.0020804165474980654,5,0.005409109211682235,0.0006400011088529327,5,0.0146261478334547,0.0018906853518886862,5,0.025345317068479024,0.0031751210197578355,5,2896.4,24.795160818191906,5
