model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,9.436374187469482,0,0.3521466037706409,0.2227469479679232,0.8633488681757656,0.20986974911571285,0.1835480093676815,0.7923610624430584,2.085095768996767,0.34938094029587774,0.1942320865571069,0.9227696404793608,0.3079964131987359,0.2508782201405152,0.7807040437720536,2.2484603910812866,0.3521466037706409,0.2227469479679232,0.8633488681757656,0.20986974911571285,0.1835480093676815,0.7923610624430584,2.085095768996767,4730290.5,9.905491960708372e-40,6008,-1,-0.017385428253043286,0.0
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,7.633546590805054,0,0.34283087859387085,0.21524040815005538,0.8538615179760319,0.20158568887486564,0.1592505854800937,0.7989089302498629,2.0173255177200007,0.3387650677319055,0.18676352112640734,0.9144474034620506,0.29499280705840336,0.22101873536299765,0.7886285173852081,2.174490332774745,0.34283087859387085,0.21524040815005538,0.8538615179760319,0.20158568887486564,0.1592505854800937,0.7989089302498629,2.0173255177200007,4536638.0,3.1827912373433154e-68,6008,-1,-0.026701153429813277,-0.0026334352554373414
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,6.961797714233398,0,0.33199322947187254,0.20669782389332905,0.8440412782956058,0.19377228829093956,0.13992974238875877,0.8050666057529987,1.9568943860394423,0.327316400808162,0.17821211129831768,0.9092876165113183,0.28347246714281354,0.19291569086651053,0.7928274692923345,2.1084609245010975,0.33199322947187254,0.20669782389332905,0.8440412782956058,0.19377228829093956,0.13992974238875877,0.8050666057529987,1.9568943860394423,4222091.0,1.441176833847949e-104,6008,-1,-0.03753880255181158,-0.01177919554226093
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,6.499492168426514,0,0.32371781382564707,0.2003135866977481,0.8317243675099867,0.1875747931962009,0.12558548009367682,0.8090590944785352,1.910771324737858,0.31869639475371286,0.1719529289654067,0.9019640479360852,0.2752083288494674,0.1715456674473068,0.7936543652831494,2.0593530157581212,0.32371781382564707,0.2003135866977481,0.8317243675099867,0.1875747931962009,0.12558548009367682,0.8090590944785352,1.910771324737858,3937408.0,1.7369595106110317e-138,6008,-1,-0.045814218198037084,-0.020488597897863725
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,6.386640548706055,1,0.3657897482895548,0.2318085921437679,0.8782883782883782,0.22370544814625318,0.29449648711943793,0.7634315982228508,2.3509516827291357,0.3670643627268774,0.205968753922393,0.9352314352314353,0.3300464223938353,0.38436768149882905,0.7558950823231099,2.5197964428610513,0.3657897482895548,0.2318085921437679,0.8782883782883782,0.22370544814625318,0.29449648711943793,0.7634315982228508,2.3509516827291357,2427479.0,0.009066265045898041,6006,-1,-0.0007998382436236831,0.0
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,6.430215120315552,1,0.3674101924379836,0.2335494626573141,0.8772893772893773,0.22373600984449235,0.2693208430913349,0.7672464492029709,2.299644150383081,0.3676602508848851,0.20699781846290355,0.9352314352314353,0.32927058502174106,0.3556791569086651,0.7588611525648563,2.4705057133931807,0.3674101924379836,0.2335494626573141,0.8772893772893773,0.22373600984449235,0.2693208430913349,0.7672464492029709,2.299644150383081,1297371.0,0.04943413109804466,6006,1,0.0008206059048051255,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,6.369194269180298,1,0.362938338940032,0.2313700891889668,0.8697968697968698,0.21809489021087472,0.23243559718969556,0.7836415893090958,2.1987197485539065,0.3614496648354325,0.2033640845089039,0.9277389277389277,0.32027621526256816,0.303864168618267,0.7668191634954642,2.370010086768893,0.362938338940032,0.2313700891889668,0.8697968697968698,0.21809489021087472,0.23243559718969556,0.7836415893090958,2.1987197485539065,4568321.0,1.5143944358315651e-05,6006,-1,-0.0036512475931464753,0.0
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,7.307478427886963,1,0.34828642627297424,0.22008014409374954,0.8546453546453546,0.20652904504592257,0.17798594847775176,0.7934804230856862,2.067314207817444,0.34494556446390123,0.191443489644424,0.9177489177489178,0.30220570563301685,0.2426814988290398,0.780729985736017,2.2308681224615254,0.34828642627297424,0.22008014409374954,0.8546453546453546,0.20652904504592257,0.17798594847775176,0.7934804230856862,2.067314207817444,4645729.5,6.126519448977666e-42,6006,-1,-0.018303160260204204,0.0
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,6.934990644454956,1,0.33722852744831694,0.21131461314993058,0.8433233433233434,0.19755567346971487,0.15310304449648712,0.8020270997326446,1.9919453772623938,0.3328706182199579,0.18273857004797925,0.9080919080919081,0.2888601328502687,0.210480093676815,0.7891715146235314,2.1505410404418055,0.33722852744831694,0.21131461314993058,0.8433233433233434,0.19755567346971487,0.15310304449648712,0.8020270997326446,1.9919453772623938,4295577.5,4.24351867073357e-80,6006,-1,-0.029361059084861554,-0.003176998482388241
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,7.349808931350708,1,0.32559005265979457,0.20243168737074632,0.8326673326673326,0.18862940496712283,0.13085480093676816,0.8060698436537361,1.9258493827190233,0.321405434787477,0.17418038351465587,0.9034299034299035,0.2784228008418091,0.18501170960187355,0.7977838353629494,2.0790342360628755,0.32559005265979457,0.20243168737074632,0.8326673326673326,0.18862940496712283,0.13085480093676816,0.8060698436537361,1.9258493827190233,4021501.0,5.916770196529633e-119,6006,-1,-0.04099953387338394,-0.012909939793638692
