model,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
RP3beta,0.6,500,3,q5,698,0.00045195541086780623,0.0014326647564469914,0.0014326647564469914,0.0008024576202062389,0.0028653295128939827,0.0028653295128939827
RP3beta,0.3,200,4,overall,6006,0.2586269939617124,0.14697177527097938,0.7624042624042624,0.25330812310089784,0.21608089940468253,0.8523143523143523
RP3beta,0.3,200,4,q1,5939,0.2751872902065125,0.1903759140803305,0.7708368412190605,0.2812922489917505,0.2808489840377653,0.8614244822360667
RP3beta,0.3,200,4,q2,4417,0.00015302640560390073,0.0004527960153950645,0.0004527960153950645,0.00030617328724041887,0.0008961587804693985,0.0013583880461851936
RP3beta,0.3,200,4,q3,2931,0.0,0.0,0.0,8.031692711246614e-05,0.000341180484476288,0.000341180484476288
RP3beta,0.3,200,4,q4,1676,0.0,0.0,0.0,0.00011306321949085919,0.0002983293556085919,0.0005966587112171838
RP3beta,0.3,200,4,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,4,overall,6006,0.2615692849016023,0.15041439708716745,0.7682317682317682,0.2573484145148221,0.22083179125180485,0.856976356976357
RP3beta,0.3,500,4,q1,5939,0.27852041128347055,0.1945106300327727,0.7765617107257115,0.2860324465962888,0.2870942252550548,0.8661390806533087
RP3beta,0.3,500,4,q2,4417,0.00014879718876432044,0.0004527960153950645,0.0004527960153950645,0.0004331786283890512,0.0013395215455437324,0.001584786053882726
RP3beta,0.3,500,4,q3,2931,0.0,0.0,0.0,8.346999048728285e-05,0.000341180484476288,0.000341180484476288
RP3beta,0.3,500,4,q4,1676,0.0002412276228692546,0.00044749403341288785,0.0005966587112171838,0.0002412276228692546,0.00044749403341288785,0.0005966587112171838
RP3beta,0.3,500,4,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,4,overall,6006,0.3058717350609129,0.18314719110348487,0.8225108225108225,0.3033018327287142,0.2668937683421284,0.8936063936063936
RP3beta,0.6,200,4,q1,5939,0.3244042275285136,0.23422231667198093,0.8260649941067519,0.33557271620862256,0.34269695209434603,0.8979626199696918
RP3beta,0.6,200,4,q2,4417,0.0050745622484090315,0.009971277307704746,0.016300656554222324,0.007540194498670333,0.017768608520249904,0.029431741000679194
RP3beta,0.6,200,4,q3,2931,0.0033110513438111546,0.006488927880944258,0.009211873080859774,0.004268101901465521,0.009670842065929067,0.014670760832480383
RP3beta,0.6,200,4,q4,1676,0.001823585143942327,0.002486077963404932,0.0029832935560859188,0.0023129727269361805,0.004361291055801795,0.0053699284009546535
RP3beta,0.6,200,4,q5,710,0.0008886334557344473,0.0014084507042253522,0.0014084507042253522,0.0008886334557344473,0.0014084507042253522,0.0014084507042253522
RP3beta,0.6,500,4,overall,6006,0.3087004402333008,0.18485121520390735,0.828005328005328,0.3045562009134399,0.2673673153225299,0.8967698967698968
RP3beta,0.6,500,4,q1,5939,0.32779649574959074,0.236941418619078,0.8324633776730089,0.3375994187158751,0.3444707752030005,0.9018353258124263
RP3beta,0.6,500,4,q2,4417,0.004514908381961204,0.008791042931862492,0.013131084446456871,0.006554865298235501,0.015278769478452522,0.02513017885442608
RP3beta,0.6,500,4,q3,2931,0.0029017834145768882,0.005465386427515394,0.007505970658478335,0.003759792489505346,0.00824397653978002,0.012623677925622655
RP3beta,0.6,500,4,q4,1676,0.0015065340169140486,0.0017402545743834526,0.002386634844868735,0.00233381363983137,0.004957949767018978,0.0059665871121718375
RP3beta,0.6,500,4,q5,710,0.0008886334557344473,0.0014084507042253522,0.0014084507042253522,0.0008886334557344473,0.0014084507042253522,0.0014084507042253522
