model,rp3_beta,rp3_topK,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
RP3beta,0.3,200,8.20230221748352,0,0.2602724270741662,0.15114498564566134,0.7714713715046605,0.14894699745700465,0.06557377049180328,0.8588150323378352,1.624372843455185,0.2555148417306484,0.12858603521821307,0.8526964047936085,0.2170018101252847,0.09718969555035128,0.8495633332263808,1.7574081156114072,0.2602724270741662,0.15114498564566134,0.7714713715046605,0.14894699745700465,0.06557377049180328,0.8588150323378352,1.624372843455185,2295060.5,0.0,6008,-1,-0.1092596049495179,-0.09109240322345807
RP3beta,0.3,500,10.394993543624878,0,0.26386209680231587,0.15344879868435266,0.7754660452729694,0.15198648434576895,0.06586651053864169,0.8547989347536618,1.634286384922772,0.259917517427818,0.131134510746348,0.8598535286284953,0.2221643383586659,0.09836065573770492,0.8464816256895569,1.768035977599562,0.26386209680231587,0.15344879868435266,0.7754660452729694,0.15198648434576895,0.06586651053864169,0.8547989347536618,1.634286384922772,2368625.5,0.0,6008,-1,-0.10566993522136826,-0.08965520839502902
RP3beta,0.6,200,3.2343430519104004,0,0.30775841121769276,0.18518304075187056,0.8320572569906791,0.18519580745497763,0.20813817330210774,0.8886897170392594,1.8852401724964658,0.30709641960999084,0.16180632798608446,0.9067909454061251,0.27242834648226194,0.29830210772833726,0.8857413863621812,2.0306723541844565,0.30775841121769276,0.18518304075187056,0.8320572569906791,0.18519580745497763,0.20813817330210774,0.8886897170392594,1.8852401724964658,3491888.5,3.969645235275927e-197,6008,-1,-0.061773620805991324,-0.037848016299978596
RP3beta,0.6,500,10.719714879989624,0,0.30955476046465896,0.186442812565735,0.8357190412782957,0.1867771019626972,0.1996487119437939,0.8843073848749077,1.8862909070683744,0.3074282202068989,0.16216138629751686,0.9056258322237017,0.27216249570074635,0.2807377049180328,0.8824408088485425,2.0169109520440505,0.30955476046465896,0.186442812565735,0.8357190412782957,0.1867771019626972,0.1996487119437939,0.8843073848749077,1.8862909070683744,3530326.0,1.0313953471757252e-191,6008,-1,-0.05997727155902516,-0.03508664728379003
RP3beta,0.3,200,2.9994893074035645,1,0.25833844616675905,0.1509696117164938,0.7560772560772561,0.14446431626067083,0.06733021077283373,0.8634776817385514,1.6182389223107994,0.2526009212771924,0.12711007699160415,0.8468198468198468,0.21270750764057586,0.0936768149882904,0.8454390401265401,1.7507280606947324,0.25833844616675905,0.1509696117164938,0.7560772560772561,0.14446431626067083,0.06733021077283373,0.8634776817385514,1.6182389223107994,2376592.5,0.0,6006,-1,-0.1082511403664195,-0.09326429383889709
RP3beta,0.3,500,4.014927387237549,1,0.2610368425674925,0.15259340663535675,0.7627372627372627,0.14743873750321848,0.06850117096018736,0.8619770542847467,1.6274482266367485,0.25646610770797207,0.12925778684990213,0.853979353979354,0.21809302531285804,0.09601873536299765,0.8443657460425755,1.7610546762618149,0.2610368425674925,0.15259340663535675,0.7627372627372627,0.14743873750321848,0.06850117096018736,0.8619770542847467,1.6274482266367485,2397522.0,0.0,6006,-1,-0.10555274396568602,-0.09109240322345807
RP3beta,0.6,200,3.267091989517212,1,0.30491944272467986,0.18420063798110847,0.8235098235098235,0.18097184834620614,0.21194379391100704,0.8908480561795478,1.8793785152262827,0.3037204709214425,0.15987602244381835,0.8992673992673993,0.26847916172923736,0.2980093676814988,0.8857538826595801,2.0270625800630357,0.30491944272467986,0.18420063798110847,0.8235098235098235,0.18097184834620614,0.21194379391100704,0.8908480561795478,1.8793785152262827,3431048.5,1.036409809159279e-199,6006,-1,-0.06167014380849867,-0.0410148221932089
RP3beta,0.6,500,3.9955711364746094,1,0.30807172470120003,0.1865657990913093,0.8255078255078255,0.18413626467488153,0.2107728337236534,0.8899188311688311,1.881911653205123,0.3050731689530529,0.16124490019364765,0.9024309024309024,0.2687523753313123,0.28454332552693207,0.8837702934925156,2.013578211200164,0.30807172470120003,0.1865657990913093,0.8255078255078255,0.18413626467488153,0.2107728337236534,0.8899188311688311,1.881911653205123,3520188.0,1.401229568047027e-184,6006,-1,-0.058517861831978484,-0.0349468915343453
RP3beta,0.3,200,3.1968319416046143,2,0.2602190037767814,0.15167368243964005,0.7608261159227182,0.14755249133349016,0.06469555035128806,0.8569787562439519,1.6214899662357494,0.2534753184623577,0.12727212670119284,0.850599600266489,0.21465234249372098,0.09631147540983606,0.8489146040430999,1.7531773082041462,0.2602190037767814,0.15167368243964005,0.7608261159227182,0.14755249133349016,0.06469555035128806,0.8569787562439519,1.6214899662357494,2474520.0,0.0,6004,-1,-0.10491135998703285,-0.08778600536980202
RP3beta,0.3,500,3.820791482925415,2,0.262718252047694,0.15339224042752048,0.7639906728847435,0.14954475565157893,0.06820843091334895,0.8605752102318054,1.6302085348855435,0.25747932430757353,0.12954017626428752,0.8552631578947368,0.21948851607358774,0.09748243559718969,0.8458500139046441,1.7634938100783943,0.262718252047694,0.15339224042752048,0.7639906728847435,0.14954475565157893,0.06820843091334895,0.8605752102318054,1.6302085348855435,2498839.0,0.0,6004,-1,-0.1024121117161203,-0.08514311764162098
