model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-GraphReg,200,0.6,200,0.01,overall,0.32311336572527294,0.0009453904762204039,2,0.2201304092207907,0.007051811503645611,2,0.812176616915423,0.02284904748162504,2,0.32672439644115414,0.0018523509460280855,2,0.3115240784170966,0.004702387417657575,2,0.8686898839137644,0.015994919561168316,2,601.5,2.1213203435596424,2
Hybrid-GraphReg,200,0.6,200,0.01,q1,0.3524091984081925,0.005680237917484564,2,0.2908553351902219,0.015000471107104351,2,0.828456385157416,0.031196248356003306,2,0.3723293447370529,0.007665962317610959,2,0.41231191025279335,0.013142528761834976,2,0.8845152556492764,0.022384719512726303,2,588.0,8.48528137423857,2
Hybrid-GraphReg,200,0.6,200,0.01,q2,0.0035842524917744844,0.0013929098396465488,2,0.007817801761278687,0.0033149225328042813,2,0.016459524083521936,0.005510780149260305,2,0.007013745411814038,0.0031038014552565705,2,0.017977250954475804,0.010268120833229274,2,0.04048870305727109,0.007513467274873364,2,395.5,3.5355339059327378,2
Hybrid-GraphReg,200,0.6,200,0.01,q3,0.00022591438078246623,0.0003194911812376834,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.0004863428410399972,4.881027928645943e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Hybrid-GraphReg,200,0.6,200,0.01,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Hybrid-GraphReg,200,0.6,200,0.01,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Hybrid-GraphReg,200,0.6,200,0.1,overall,0.32375235209521164,0.0014107873694612643,2,0.221078895067848,0.005082102617521317,2,0.8121683250414593,0.018146728754331293,2,0.3271747854013088,0.0002627451272296501,2,0.31317007079694803,0.002263179963397082,2,0.8678565505804312,0.014816408259190787,2,601.5,2.1213203435596424,2
Hybrid-GraphReg,200,0.6,200,0.1,q1,0.35265396619315764,0.0033777349361160244,2,0.2916203434927267,0.01267008602380482,2,0.8292634246242494,0.025195081776111374,2,0.37166078874630526,0.0062505482327614775,2,0.41156324121755816,0.010665360259925807,2,0.8811308965948141,0.024741005777223792,2,588.0,8.48528137423857,2
Hybrid-GraphReg,200,0.6,200,0.1,q2,0.00399217454292551,0.0012083484284261654,2,0.008229738623117731,0.0030091641276653197,2,0.016459524083521936,0.005510780149260305,2,0.008770251333990049,0.0021750233036912916,2,0.023216237492356902,0.006997358979410399,2,0.050586903985576734,0.004027977943388786,2,395.5,3.5355339059327378,2
Hybrid-GraphReg,200,0.6,200,0.1,q3,0.00029188808380402337,0.0004127920868107444,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.0014387402979477459,7.754247963624601e-06,2,0.004774305555555556,0.0006138079697799891,2,0.006944444444444444,0.0,2,288.0,0.0,2
Hybrid-GraphReg,200,0.6,200,0.1,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Hybrid-GraphReg,200,0.6,200,0.1,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0005635402195469134,0.0007969662214259565,2,0.0024752475247524753,0.003500528619735384,2,0.0024752475247524753,0.003500528619735384,2,201.5,0.7071067811865476,2
Hybrid-GraphReg,200,0.6,200,0.5,overall,0.32130454960097254,0.0012347290149788469,2,0.22014839548368817,0.010881543955557939,2,0.8063598673300165,0.02400410582236921,2,0.32580149158033433,0.0010686344341855917,2,0.3154734606137974,0.005144514045938667,2,0.8728399668325042,0.012482838616469089,2,601.5,2.1213203435596424,2
Hybrid-GraphReg,200,0.6,200,0.5,q1,0.34551055420025184,0.0048295072733966,2,0.285954238673477,0.017152474517449983,2,0.8182338852441946,0.0286436049027978,2,0.3646454754360463,0.005787213338664741,2,0.406785925977737,0.011766713747019571,2,0.8819552917491063,0.021145214759006305,2,588.0,8.48528137423857,2
Hybrid-GraphReg,200,0.6,200,0.5,q2,0.009545387050443018,0.005182686675449197,2,0.01951095735652651,0.010932762600737724,2,0.044305496950400855,0.012911228963320287,2,0.01569806731060115,0.004909173893833929,2,0.038404334377521866,0.009976161482906967,2,0.08603449819069904,0.01507214193407208,2,395.5,3.5355339059327378,2
Hybrid-GraphReg,200,0.6,200,0.5,q3,0.003934782137976283,0.0018985326943648344,2,0.008246527777777778,0.005524271728019903,2,0.010416666666666666,0.004910463758239913,2,0.005677436003392743,0.001846813478454132,2,0.014094580314009661,0.005446878549221555,2,0.024305555555555552,0.004910463758239912,2,288.0,0.0,2
Hybrid-GraphReg,200,0.6,200,0.5,q4,0.0008828579445410099,0.0006953804698073715,2,0.0025894775718506577,0.002795521873647461,2,0.004734085414987913,0.00023741162408895647,2,0.0017444448516616578,0.0005230874194057368,2,0.0056532030620467365,0.0015372402659759926,2,0.009636046199301638,0.007169831047486481,2,211.5,10.606601717798213,2
Hybrid-GraphReg,200,0.6,200,0.5,q5,0.004836699461584886,0.004506440229205736,2,0.009191665435200237,0.0059979206797854045,2,0.012425496280971381,0.010571248120295413,2,0.006652760322490049,0.0038395078174883004,2,0.015701504851977736,0.0038275058577231054,2,0.022338801044283534,0.003587606446096961,2,201.5,0.7071067811865476,2
