model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,overall,0.32172573642151,0.0006056608007566594,2,0.21755816762727054,0.007177819964209594,2,0.8047014925373135,0.026349401945707743,2,0.32605820021161236,0.00106607913504921,2,0.31034901402405396,0.0027343195924193577,2,0.8695107794361525,0.010119952772205497,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q1,0.35088244572488514,0.005600380519503909,2,0.28778585892798997,0.01578368476300193,2,0.8225294178902427,0.034718405428455404,2,0.3716671085878318,0.006890209588924488,2,0.41139934982530113,0.011087345199932491,2,0.8870405081745287,0.01881347314309725,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q2,0.003086901501964756,0.000689549324597948,2,0.006333493025061554,0.0012157929872971432,2,0.013914994821435421,0.001912272356962353,2,0.0063304015004893265,0.002134081204958479,2,0.015644765797563163,0.006969488690289481,2,0.036671909164141314,0.0021157055864264324,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q3,0.00022591438078246623,0.0003194911812376834,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.00048119274999498384,4.15269506831453e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,overall,0.32094848051228364,0.0014984502827204071,2,0.21578245427719006,0.008294176188471681,2,0.7997180762852405,0.028682971588429442,2,0.32521460323353046,0.0016213053665563922,2,0.3079749777156755,0.003123960189447044,2,0.8670232172470979,0.013637896957213218,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q1,0.34985029353845354,0.006752344846675893,2,0.2848991503161489,0.017181701523336253,2,0.81744420146482,0.037050147044364413,2,0.37073967007757225,0.007811550795555298,2,0.4086727833082041,0.012548215745285543,2,0.8845152556492764,0.022384719512726303,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q2,0.0030493058310410216,0.0007040904833290411,2,0.006333493025061554,0.0012157929872971432,2,0.013914994821435421,0.001912272356962353,2,0.006180288012569448,0.002166883419090598,2,0.015566248209623466,0.007080529328038625,2,0.036671909164141314,0.0021157055864264324,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q3,0.00022591438078246623,0.0003194911812376834,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.0004765052043635795,3.4897760076970535e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,overall,0.31896886961845916,0.0013595568734163204,2,0.21431852351642955,0.009154060275566167,2,0.7955679933665009,0.032195052533128786,2,0.32286727760895717,0.0023154948915035983,2,0.3061589401309831,0.007524470178251655,2,0.8670315091210614,0.018340215684506847,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q1,0.3473729919523643,0.006798245407916227,2,0.28264337003358647,0.018612502506503772,2,0.8123589850393974,0.03938188866027339,2,0.36776554636099634,0.008388823336665165,2,0.40553180384287213,0.017787545991184834,2,0.8854090735534035,0.02841043074120695,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q2,0.0029085247881421583,0.0005475118642553747,2,0.006121448919887678,0.0009159173379389805,2,0.015187259452478678,0.0037115262531113285,2,0.0055314723030532335,0.0018349197022435916,2,0.014036011977652432,0.005507698222771203,2,0.030358535680949275,0.00384714840608738,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q3,0.00026218683720105075,0.0003707881810454327,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.0005127776607821641,1.639923973077868e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
