model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,4.385004758834839,1,0.3216571457119032,0.20352239704308722,0.7877280265339967,0.2129059709585179,0.13671232876712328,0.7055018827040482,2.359830111115133,0.3251242336279883,0.1829566518040831,0.8623548922056384,0.3082553417839573,0.19753424657534246,0.708590427428277,2.553963187697564,0.3216571457119032,0.20352239704308722,0.7877280265339967,0.2129059709585179,0.13671232876712328,0.7055018827040482,2.359830111115133,3126.0,0.9121491339700014,603,-1,-0.0007046124421042149,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,4.3670570850372314,1,0.32071264956602114,0.20359516873514344,0.7810945273631841,0.21041580719495304,0.1345205479452055,0.7089400249262852,2.3464021188475077,0.32467233505933646,0.18350378360994468,0.8557213930348259,0.3055907652556417,0.19479452054794522,0.7135263672262224,2.5385139880029643,0.32071264956602114,0.20359516873514344,0.7810945273631841,0.21041580719495304,0.1345205479452055,0.7089400249262852,2.3464021188475077,12672.5,0.17621513395080335,603,-1,-0.0016491085879862864,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,4.4278059005737305,1,0.3185371509428753,0.20246903839540853,0.7744610281923715,0.20838064774864923,0.1241095890410959,0.712576191888241,2.304221969575853,0.3213445435727218,0.1820185066131276,0.8507462686567164,0.3002738224848914,0.18136986301369862,0.7163006718672498,2.4977662809323844,0.3185371509428753,0.20246903839540853,0.7744610281923715,0.20838064774864923,0.1241095890410959,0.712576191888241,2.304221969575853,28684.0,0.07859657006078573,603,-1,-0.003824607211132086,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,4.377868175506592,1,0.3130067636511921,0.19836061018289755,0.7761194029850746,0.20394289358469067,0.10273972602739725,0.7108926478717523,2.2282439079151275,0.3165924428533567,0.1789666142915889,0.8490878938640133,0.29476538291270565,0.1558904109589041,0.7197751721766095,2.418287996170044,0.3130067636511921,0.19836061018289755,0.7761194029850746,0.20394289358469067,0.10273972602739725,0.7108926478717523,2.2282439079151275,32668.0,0.0003431668294128439,603,-1,-0.009354994502815309,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,4.436837434768677,1,0.29916863113436665,0.18829226594206258,0.7529021558872305,0.19260110018503998,0.08164383561643836,0.7120271127583557,2.134062952458776,0.30462254795213833,0.17046698939098592,0.8441127694859039,0.2835188013268358,0.1178082191780822,0.7115442168999961,2.3054212304219552,0.29916863113436665,0.18829226594206258,0.7529021558872305,0.19260110018503998,0.08164383561643836,0.7120271127583557,2.134062952458776,31585.5,7.389727309556178e-10,603,-1,-0.023193127019640793,0.0
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,4.379967212677002,1,0.32129746956219607,0.20330634766037117,0.7860696517412935,0.21248268245644175,0.13671232876712328,0.7051203567998352,2.360217679451549,0.3253043684259376,0.18307970660217707,0.8623548922056384,0.308415558098323,0.1978082191780822,0.7088984900061097,2.5537327360505295,0.32129746956219607,0.20330634766037117,0.7860696517412935,0.21248268245644175,0.13671232876712328,0.7051203567998352,2.360217679451549,3027.0,0.5793134858372635,603,-1,-0.001064288591811347,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,4.293050765991211,1,0.31988891615610116,0.20249068234873335,0.7794361525704809,0.20991758604996574,0.13506849315068492,0.7100427544495238,2.345545272682176,0.3240681672144643,0.18251803197703081,0.857379767827529,0.3057660042815607,0.19534246575342465,0.7140112899736939,2.5388892268828305,0.31988891615610116,0.20249068234873335,0.7794361525704809,0.20991758604996574,0.13506849315068492,0.7100427544495238,2.345545272682176,12597.5,0.1545944254311383,603,-1,-0.0024728419979063183,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,4.350531816482544,1,0.3180075177338577,0.20206530493162805,0.7728026533996684,0.2078456254201863,0.12383561643835617,0.712338748734205,2.3046327465917362,0.32122997546937215,0.1817090467999444,0.8540630182421227,0.3008383362431054,0.18301369863013697,0.7182249928004687,2.4983593557429646,0.3180075177338577,0.20206530493162805,0.7728026533996684,0.2078456254201863,0.12383561643835617,0.712338748734205,2.3046327465917362,27653.5,0.05075758226517889,603,-1,-0.004354240420149677,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,4.329440355300903,1,0.3131562911704811,0.19856315236616112,0.7744610281923715,0.20372826187392326,0.10602739726027398,0.7171901046018829,2.2294226684360834,0.3159404267844917,0.17849604720568477,0.8490878938640133,0.29404600986903867,0.15753424657534246,0.7218343067272333,2.4185703751796943,0.3131562911704811,0.19856315236616112,0.7744610281923715,0.20372826187392326,0.10602739726027398,0.7171901046018829,2.2294226684360834,33247.5,0.0004992803539767034,603,-1,-0.009205466983526313,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,4.4557530879974365,1,0.29949187113447356,0.18856419120071097,0.7562189054726368,0.19286357857620126,0.08328767123287671,0.7152985074626865,2.1360371036186976,0.3036208891172771,0.16978089749065292,0.8407960199004975,0.28322248674894224,0.12027397260273973,0.7142386019787168,2.309684504198835,0.29949187113447356,0.18856419120071097,0.7562189054726368,0.19286357857620126,0.08328767123287671,0.7152985074626865,2.1360371036186976,32300.5,3.936384438281203e-09,603,-1,-0.02286988701953385,0.0
