model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.5,200,0.6,200,0,overall,600,0.3008539782484988,0.21019418627217099,0.7983333333333333,0.3076870931574657,0.3050139829768324,0.8733333333333333
Hybrid-Matrix,0.5,200,0.6,200,0,q1,582,0.32775303894294244,0.2796227552777369,0.8178694158075601,0.3481620879623129,0.3997859887124989,0.8883161512027491
Hybrid-Matrix,0.5,200,0.6,200,0,q2,393,0.008222504737748678,0.01407102933820491,0.027989821882951654,0.018407224255197894,0.04643282865954731,0.09414758269720101
Hybrid-Matrix,0.5,200,0.6,200,0,q3,288,0.0041372199245415485,0.008680555555555556,0.010416666666666666,0.007244196718186733,0.020833333333333332,0.024305555555555556
Hybrid-Matrix,0.5,200,0.6,200,0,q4,204,0.0,0.0,0.0,0.0012621542290298725,0.0030637254901960784,0.00980392156862745
Hybrid-Matrix,0.5,200,0.6,200,0,q5,202,0.0004173971992865629,0.0006188118811881188,0.0049504950495049506,0.0029276494939105605,0.01067450495049505,0.019801980198019802
Hybrid-Matrix,0.7,200,0.6,200,0,overall,600,0.30449723381864263,0.21704237422033576,0.8116666666666666,0.3123305510641006,0.3119803046777064,0.8816666666666667
Hybrid-Matrix,0.7,200,0.6,200,0,q1,582,0.32934441819789717,0.2847324508660927,0.8281786941580757,0.3511269841141154,0.4063621638586103,0.8951890034364262
Hybrid-Matrix,0.7,200,0.6,200,0,q2,393,0.012578393803292382,0.021929443073495557,0.06870229007633588,0.02310952351991089,0.05494302584312113,0.13486005089058525
Hybrid-Matrix,0.7,200,0.6,200,0,q3,288,0.003904086727353581,0.008680555555555556,0.010416666666666666,0.007651652345018794,0.022053247929606626,0.03819444444444445
Hybrid-Matrix,0.7,200,0.6,200,0,q4,204,0.0,0.0,0.0,0.00108258713874703,0.002188375350140056,0.014705882352941176
Hybrid-Matrix,0.7,200,0.6,200,0,q5,202,0.0007056834672311248,0.0007735148514851486,0.009900990099009901,0.0022997184468823337,0.006517358466615892,0.024752475247524754
Hybrid-Matrix,0.3,200,0.3,200,1,overall,603,0.27441131646454625,0.18808168127255925,0.7429519071310116,0.28142325440587873,0.2751440583887743,0.8275290215588723
Hybrid-Matrix,0.3,200,0.3,200,1,q1,594,0.29624819013496134,0.24228002394169146,0.7542087542087542,0.3162859666700982,0.3568060230972746,0.8400673400673401
Hybrid-Matrix,0.3,200,0.3,200,1,q2,398,0.0,0.0,0.0,0.0016728536504665114,0.00628140703517588,0.007537688442211055
Hybrid-Matrix,0.3,200,0.3,200,1,q3,288,0.0,0.0,0.0,0.00031362999451524284,0.0008680555555555555,0.003472222222222222
Hybrid-Matrix,0.3,200,0.3,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.3,200,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,1,overall,603,0.2818587421031242,0.19062038655914262,0.7479270315091211,0.29084863971354413,0.2875098942971491,0.8441127694859039
Hybrid-Matrix,0.5,200,0.3,200,1,q1,594,0.30453550421444986,0.24702021179558756,0.7592592592592593,0.3271608135791884,0.37290102581225165,0.8569023569023569
