model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.3,200,0.6,200,0,q5,202,0.0,0.0,0.0,0.0015495312440099791,0.005569306930693069,0.009900990099009901
Hybrid-Score,0.5,200,0.6,200,0,overall,600,0.3192590905795104,0.22250252866063217,0.815,0.323854052250187,0.3139174603730707,0.89
Hybrid-Score,0.5,200,0.6,200,0,q1,582,0.35001119212516196,0.29733936135431716,0.8384879725085911,0.37110657409651004,0.4197172100866501,0.9089347079037801
Hybrid-Score,0.5,200,0.6,200,0,q2,393,0.0056974015418123835,0.011629803614536438,0.022900763358778626,0.010237555546454362,0.027262347491355126,0.04834605597964377
Hybrid-Score,0.5,200,0.6,200,0,q3,288,0.0016606572307223226,0.005208333333333333,0.006944444444444444,0.0046677517602739995,0.017361111111111112,0.020833333333333332
Hybrid-Score,0.5,200,0.6,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.6,200,0,q5,202,0.0,0.0,0.0,0.0011653906602308824,0.0049504950495049506,0.0049504950495049506
Hybrid-Score,0.7,200,0.6,200,0,overall,600,0.3237437277204676,0.2249568113656631,0.8216666666666667,0.32870429301884563,0.3174204870060327,0.8866666666666667
Hybrid-Score,0.7,200,0.6,200,0,q1,582,0.35610386198179667,0.30104613328349766,0.8436426116838488,0.37793819869150913,0.42465955323122906,0.9054982817869416
Hybrid-Score,0.7,200,0.6,200,0,q2,393,0.004804272061712689,0.010357538983493182,0.020356234096692113,0.009509370177090902,0.026896979187055525,0.043256997455470736
Hybrid-Score,0.7,200,0.6,200,0,q3,288,0.0,0.0,0.0,0.0018850075418615107,0.006944444444444444,0.010416666666666666
Hybrid-Score,0.7,200,0.6,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.6,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.3,200,1,overall,603,0.30547749260853096,0.2067101069773671,0.7728026533996684,0.3097574904028246,0.29703758793580004,0.8474295190713101
Hybrid-Score,0.3,200,0.3,200,1,q1,594,0.32972852781669115,0.2664914740521972,0.7845117845117845,0.34909246684651846,0.38657353644868736,0.8602693602693603
Hybrid-Score,0.3,200,0.3,200,1,q2,398,0.00131762793498744,0.0032304379038047377,0.005025125628140704,0.003335785649774799,0.009954534577650156,0.017587939698492462
Hybrid-Score,0.3,200,0.3,200,1,q3,288,0.00039182340746158077,0.0008680555555555555,0.003472222222222222,0.00039182340746158077,0.0008680555555555555,0.003472222222222222
Hybrid-Score,0.3,200,0.3,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.3,200,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,1,overall,603,0.3170336843541507,0.2108104964241717,0.7777777777777778,0.3182406121039843,0.30096980590091366,0.8524046434494196
Hybrid-Score,0.5,200,0.3,200,1,q1,594,0.34219842518603716,0.27359968923844524,0.7895622895622896,0.35877178797745385,0.39235790391447434,0.8636363636363636
Hybrid-Score,0.5,200,0.3,200,1,q2,398,0.0018141812309934776,0.004486719310839914,0.007537688442211055,0.0037922118078887804,0.009894711653505623,0.022613065326633167
Hybrid-Score,0.5,200,0.3,200,1,q3,288,0.00042760831378598955,0.0008680555555555555,0.003472222222222222,0.00042760831378598955,0.0008680555555555555,0.003472222222222222
Hybrid-Score,0.5,200,0.3,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,1,overall,603,0.3229204266837326,0.21481245785621417,0.7893864013266998,0.3240801603153871,0.305787742924771,0.8557213930348259
Hybrid-Score,0.7,200,0.3,200,1,q1,594,0.34865002188377553,0.27971617944252125,0.7996632996632996,0.36527738918007174,0.3990277229791027,0.867003367003367
Hybrid-Score,0.7,200,0.3,200,1,q2,398,0.0024776590203080613,0.005473797559224694,0.01256281407035176,0.004050222745259955,0.009894711653505623,0.022613065326633167
Hybrid-Score,0.7,200,0.3,200,1,q3,288,0.00042760831378598955,0.0008680555555555555,0.003472222222222222,0.00042760831378598955,0.0008680555555555555,0.003472222222222222
Hybrid-Score,0.7,200,0.3,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.6,200,1,overall,603,0.29842822485355736,0.1985649816086296,0.7595356550580431,0.30544762475225196,0.30073870529034546,0.8540630182421227
Hybrid-Score,0.3,200,0.6,200,1,q1,594,0.3209990834797683,0.25733464623407276,0.7693602693602694,0.34184756074292655,0.38536410214368605,0.8585858585858586
Hybrid-Score,0.3,200,0.6,200,1,q2,398,0.003364631903932655,0.006460875807609475,0.01256281407035176,0.0072673251364299765,0.01966329664193986,0.04271356783919598
Hybrid-Score,0.3,200,0.6,200,1,q3,288,0.0013554862846947976,0.0008680555555555555,0.003472222222222222,0.002769263740091245,0.00626929012345679,0.013888888888888888
Hybrid-Score,0.3,200,0.6,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.6,200,1,q5,201,0.0028064283284506934,0.007462686567164179,0.009950248756218905,0.004448295293989512,0.013432835820895524,0.01990049751243781
Hybrid-Score,0.5,200,0.6,200,1,overall,603,0.31523227047657854,0.20896350422006074,0.7844112769485904,0.31748079938440815,0.30175037971067276,0.8540630182421227
Hybrid-Score,0.5,200,0.6,200,1,q1,594,0.33995792848158196,0.27154917957094576,0.7962962962962963,0.35689467263318947,0.3914545649472223,0.8602693602693603
Hybrid-Score,0.5,200,0.6,200,1,q2,398,0.002902883679979985,0.006101938262742283,0.010050251256281407,0.006199951426485572,0.016512622636994496,0.03768844221105527
Hybrid-Score,0.5,200,0.6,200,1,q3,288,0.0013554862846947976,0.0008680555555555555,0.003472222222222222,0.0013554862846947976,0.0008680555555555555,0.003472222222222222
Hybrid-Score,0.5,200,0.6,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.6,200,1,q5,201,0.0,0.0,0.0,0.001972396708735554,0.007462686567164179,0.009950248756218905
Hybrid-Score,0.7,200,0.6,200,1,overall,603,0.32209523742777346,0.21377753048919787,0.7877280265339967,0.32202554931670874,0.30190914812910297,0.8490878938640133
Hybrid-Score,0.7,200,0.6,200,1,q1,594,0.34770143105625434,0.2788386190023035,0.7996632996632996,0.3626008365659457,0.3940114954933448,0.8602693602693603
Hybrid-Score,0.7,200,0.6,200,1,q2,398,0.0029325304880879984,0.005832735104091887,0.01256281407035176,0.00476088854052432,0.010500418760469013,0.02763819095477387
Hybrid-Score,0.7,200,0.6,200,1,q3,288,0.0006777431423473988,0.0008680555555555555,0.003472222222222222,0.0006777431423473988,0.0008680555555555555,0.003472222222222222
Hybrid-Score,0.7,200,0.6,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.6,200,1,q5,201,0.0,0.0,0.0,0.0006945043475858233,0.0024875621890547263,0.004975124378109453
