model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,0,overall,600,0.31993022150306066,0.22079142161267276,0.8183333333333334,0.32450457974854213,0.3114795440188608,0.88
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,0,q1,582,0.3521800773804722,0.2958043967707869,0.8402061855670103,0.37369734022852824,0.4181094982339065,0.9054982817869416
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,0,q2,393,0.0032956741401372223,0.006769100280550662,0.017811704834605598,0.006828956467442478,0.017930542739703046,0.03307888040712468
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0005011816471622265,0.001736111111111111,0.003472222222222222
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,0,overall,600,0.31073796419325656,0.2136451744639343,0.8033333333333333,0.31692599467339494,0.30687143645266524,0.8783333333333333
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,0,q1,582,0.34168131142250097,0.2860452741880781,0.8281786941580757,0.3649550847567616,0.4128116726670143,0.9037800687285223
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,0,q2,393,0.0018227790397649737,0.002952306387420891,0.01272264631043257,0.004602309570789791,0.011629803614536437,0.022900763358778626
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,0,overall,600,0.29619660733480074,0.2040996729199325,0.7883333333333333,0.3005840286756465,0.2864693427677675,0.845
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,0,q1,582,0.3255151838999839,0.2721750490088634,0.8127147766323024,0.3456179632629968,0.3851146662234565,0.8711340206185567
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,0,q2,393,0.0007533890864271379,0.0008481764206955047,0.002544529262086514,0.001342137720421436,0.0033927056827820186,0.005089058524173028
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,1,overall,603,0.3216571457119032,0.2129059709585179,0.7877280265339967,0.3251242336279883,0.3082553417839573,0.8623548922056384
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,1,q1,594,0.34742083780559513,0.2775811159837518,0.7996632996632996,0.36660778716584036,0.4033016883763724,0.8737373737373737
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,1,q2,398,0.0025993164985789433,0.005473797559224694,0.01256281407035176,0.0048071614652272065,0.010716593083256521,0.035175879396984924
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,1,q3,288,0.00045182876156493247,0.0008680555555555555,0.003472222222222222,0.00045182876156493247,0.0008680555555555555,0.003472222222222222
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,1,overall,603,0.32071264956602114,0.21041580719495304,0.7810945273631841,0.32467233505933646,0.3055907652556417,0.8557213930348259
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,1,q1,594,0.34593402862481026,0.27336094190412746,0.7929292929292929,0.3659669884311831,0.39985985459902956,0.8686868686868687
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,1,q2,398,0.002551438675710143,0.005473797559224694,0.01256281407035176,0.004294656374941746,0.009648138063057487,0.03015075376884422
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,1,q3,288,0.00045182876156493247,0.0008680555555555555,0.003472222222222222,0.00045182876156493247,0.0008680555555555555,0.003472222222222222
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,1,overall,603,0.3185371509428753,0.20838064774864923,0.7744610281923715,0.3213445435727218,0.3002738224848914,0.8507462686567164
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,1,q1,594,0.3430779154604627,0.2702070969783776,0.7861952861952862,0.36204108923934497,0.392705672792168,0.8636363636363636
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,1,q2,398,0.0025213754361470943,0.005473797559224694,0.01256281407035176,0.003961210537233204,0.009303960277578368,0.02512562814070352
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,1,q3,288,0.0005243736744021015,0.0008680555555555555,0.003472222222222222,0.0005243736744021015,0.0008680555555555555,0.003472222222222222
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,1,overall,603,0.3130067636511921,0.20394289358469067,0.7761194029850746,0.3165924428533567,0.29476538291270565,0.8490878938640133
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,1,q1,594,0.3377123463653084,0.26611632286934483,0.7878787878787878,0.3566915119080763,0.3852796168957357,0.8619528619528619
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,1,q2,398,0.0008656034691602272,0.0010768126346015793,0.005025125628140704,0.0024089272300145963,0.005976310122038764,0.01507537688442211
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,1,q3,288,0.00042760831378598955,0.0008680555555555555,0.003472222222222222,0.00042760831378598955,0.0008680555555555555,0.003472222222222222
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,1,overall,603,0.29916863113436665,0.19260110018503998,0.7529021558872305,0.30462254795213833,0.2835188013268358,0.8441127694859039
