model,lambda,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
EASE,50,overall,0.31031389583159424,0.0035037473759178704,2,0.21174807089829845,0.010795195644390137,2,0.7972222222222223,0.027498597046143537,2,0.3162799232992214,0.0009459709381920539,2,0.3063080370048969,0.002358222925177912,2,0.8711733001658375,0.010125816012513876,2,601.5,2.1213203435596424,2
EASE,50,q1,0.33725195082235704,0.009105712270074607,2,0.2790431980077747,0.019908680886558925,2,0.8123242736644798,0.0345711375369243,2,0.35814658381793274,0.0076603213302779295,2,0.40116954925587256,0.012498075981747347,2,0.8836387934326079,0.018764383845920257,2,588.0,8.48528137423857,2
EASE,50,q2,0.004844089279926097,0.0019719818433467516,2,0.008828789523158596,0.003961232116424698,2,0.024029178973749152,0.0020026871256130546,2,0.01246632597905148,0.003535642576719538,2,0.032185784209509204,0.010657068039290698,2,0.08220172107356119,0.006098476145489864,2,395.5,3.5355339059327378,2
EASE,50,q3,0.001217501470496772,0.0003023647383698183,2,0.00390625,0.0006138079697799895,2,0.005208333333333333,0.0024552318791199565,2,0.0017440528442809777,0.0004422913557219903,2,0.005642361111111111,0.001841423909339967,2,0.008680555555555556,0.002455231879119957,2,288.0,0.0,2
EASE,50,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
EASE,50,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0005635402195469134,0.0007969662214259565,2,0.0024752475247524753,0.003500528619735384,2,0.0024752475247524753,0.003500528619735384,2,201.5,0.7071067811865476,2
EASE,200,overall,0.32269670266830086,0.0004736830747562783,2,0.21938353805270652,0.006730806180114098,2,0.8096807628524046,0.021664672939339016,2,0.32645363165161484,0.0013702476458441208,2,0.3106577582693486,0.0031537702916781788,2,0.8678524046434495,0.012465248895544031,2,601.5,2.1213203435596424,2
EASE,200,q1,0.3520655312325063,0.005360531824126949,2,0.29014610450637957,0.014950509334597989,2,0.8267555277864556,0.03117170370741483,2,0.372301101273224,0.00744013591742117,2,0.4125040419545759,0.012752083100673842,2,0.8853570064910271,0.021194304056183298,2,588.0,8.48528137423857,2
EASE,200,q2,0.003076318894326236,0.0007045153918456164,2,0.006333493025061554,0.0012157929872971432,2,0.013914994821435421,0.001912272356962353,2,0.006474853883691284,0.002375130753363173,2,0.016068854007910915,0.007569239989005807,2,0.037944173795184576,0.003914959482575413,2,395.5,3.5355339059327378,2
EASE,200,q3,0.00022591438078246623,0.0003194911812376834,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.00048119274999498384,4.15269506831453e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
EASE,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
EASE,200,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
EASE,500,overall,0.3162071038216503,0.000620468480074242,2,0.21134275480386472,0.007252333782124702,2,0.7872346600331674,0.020409939513352918,2,0.3196841674368049,0.0024327390443664677,2,0.3028746101310317,0.008141299832772954,2,0.8678772802653401,0.02657220507742488,2,601.5,2.1213203435596424,2
EASE,500,q1,0.3447290465347773,0.005993297457092725,2,0.27901042562123385,0.016188309595366025,2,0.8054861328057203,0.029662207819221107,2,0.3647651138228476,0.008516254676073542,2,0.4026107466828109,0.019172493294369937,2,0.8871619979867402,0.035651102074819,2,588.0,8.48528137423857,2
EASE,500,q2,0.0014631898142035253,0.0011449020330777293,2,0.0029034668069537074,0.003090893448301866,2,0.0050730753001649465,0.003621111484460627,2,0.004181184914258179,0.0019533774603986685,2,0.011127550413196198,0.005508303678811274,2,0.0215166161596788,0.005555987533585656,2,395.5,3.5355339059327378,2
EASE,500,q3,0.00019591170373079039,0.00027706098844370344,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.00019591170373079039,0.00027706098844370344,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,288.0,0.0,2
EASE,500,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
EASE,500,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
