family,NDCG@10_mean,NDCG@10_std,Coverage@10_mean,Gini@10_mean,Novelty@10_mean,seeds
EASE,0.32269670266830086,0.0004736830747562783,0.1373972602739726,0.7011798237819186,2.3685958566970826,2
RP3beta,0.2657383513579727,0.0027979058061613476,0.055753424657534245,0.7566093480815985,1.9515423673853527,2
Hybrid-Score,0.3233139729131268,0.0005565584150300605,0.12246575342465753,0.713735511008521,2.297647977019129,2
Hybrid-Matrix,0.30110308387369833,0.004800052884868186,0.1745205479452055,0.7124868124755419,2.5807508291720698,2
Hybrid-GraphReg,0.32375235209521164,0.0014107873694612643,0.1443835616438356,0.7041848447760716,2.390420114996968,2
Laplacian-EASE,0.32190893079410254,0.00035607787804954377,0.13643835616438355,0.7029819943365982,2.362262973973624,2
