dataset,ease_lambda,graph_source,rp3_beta,rp3_topK,normalise,gamma,train_time_s,n_items,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,B_off_diag_n_entries,B_l1,B_l2,B_mean_abs,B_median_abs,B_max_abs,B_frac_above_0.0001,B_frac_above_0.001,B_frac_above_0.01,B_frac_above_0.1,align_pearson_absB_W,align_jaccard_topK_mean,align_jaccard_topK_median,align_mean_absB_on_W_edge,align_mean_absB_off_W_edge,align_edge_to_nonedge_ratio,align_topK,cond_number,eig_min,eig_max,eig_min_log10,eig_max_log10
ml-small,200,rp3beta,0.6,200,none,0.0,46.605711221694946,3648,0.12229157207816574,0.06012979517270652,0.5008431703204047,0.08759222622341274,0.1366038417984496,0.056734658680733546,0.6374367622259697,0.15571253576741598,0.12229157207816574,13304256,15718.530072051346,7.111235532363564,0.0011814662971045766,0.0007028976857288802,0.1281227731141264,0.8869573766469918,0.3831625007817047,0.0033230719553201623,7.516391747122123e-07,0.3526763299695208,0.15151722288059769,0.1111111111111111,0.004258485875010542,0.0010032509999534163,4.244686399722776,10,77.96509334420413,199.99999999999747,15593.018668840628,2.3010299956639755,4.192930198852338
ml-small,200,rp3beta,0.6,200,none,1.0,43.54628658294678,3648,0.12201486037321096,0.06003411504505619,0.4991568296795953,0.08714747098722551,0.13567556460005667,0.0563674915877605,0.6374367622259697,0.15370458833829023,0.12201486037321096,13304256,15120.551894744924,6.836356440753538,0.0011365199147359254,0.000676464371042464,0.12094760201058671,0.8806813398659797,0.37078202644326747,0.002896967707175809,7.516391747122123e-07,0.35419889721206904,0.15108099595061364,0.1111111111111111,0.0041245502578686165,0.0009634587098863701,4.280982895836879,10,74.80665205220079,208.5507594683208,15600.984098768893,2.3192117757320796,4.1931519941996545
ml-small,200,rp3beta,0.6,200,none,30.0,33.16710090637207,3648,0.12079971089939541,0.059968624621168184,0.4856661045531197,0.0849129267644477,0.1323137086361941,0.05613871946778057,0.6020236087689713,0.14419991495564544,0.12079971089939541,13304256,8449.08217193632,3.8661245873599297,0.0006350661150789882,0.0003717723629625687,0.05306910043905186,0.7863135676282837,0.19646089191308405,0.000467820222340881,0.0,0.35837389326078545,0.11356043670476108,0.05263157894736842,0.0024779170688380633,0.0005283315877176191,4.6900793487336445,10,35.34586334927271,448.04499303938167,15836.537098295827,2.6513216283900456,4.199660222485988
