dataset,seed,family,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff,pos_edges,neg_edges
ml-1m,2,EASE,0.0,139.23829293251038,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,,,
ml-1m,2,SignedLap,1.0,134.20668387413025,0.3649210627817954,0.23114672635623448,0.8820786142571619,0.2236665564313756,0.30327868852459017,0.767276448905363,2.352345212179308,0.36515279170894455,0.20440879279470753,0.9385409726848768,0.3285367992120173,0.39285714285714285,0.7631469358232119,2.5087096067192824,0.3649210627817954,0.23114672635623448,0.8820786142571619,0.2236665564313756,0.30327868852459017,0.767276448905363,2.352345212179308,4682885.5,2.346996109693586e-11,6004,1,0.00605635763006627,0.0,999298.0,251938.0
ml-1m,2,SignedLap,3.0,135.22389125823975,0.3625142254944254,0.23003401460209028,0.8790806129247168,0.22024749518678732,0.29449648711943793,0.7832870862764785,2.297996227607009,0.36258261098192435,0.20299941875636396,0.9375416389073951,0.32464828727114425,0.3744145199063232,0.7731399161049268,2.452255661874421,0.3625142254944254,0.23003401460209028,0.8790806129247168,0.22024749518678732,0.29449648711943793,0.7832870862764785,2.297996227607009,5735577.5,0.005859741030831984,6004,1,0.003649520342696219,0.0,999298.0,251938.0
ml-1m,2,SignedLap,10.0,137.80125975608826,0.35333674194933273,0.22302105154680618,0.8692538307794804,0.21177429018662544,0.2646370023419204,0.8080688832813523,2.1841889594371864,0.3500329450798136,0.19425116386741698,0.9287141905396402,0.30897494691001287,0.3357728337236534,0.7953163162948038,2.3338274509235655,0.35333674194933273,0.22302105154680618,0.8692538307794804,0.21177429018662544,0.2646370023419204,0.8080688832813523,2.1841889594371864,6118373.5,0.0003237336225283183,6004,-1,-0.005527963202396465,0.0,999298.0,251938.0
ml-1m,2,SignedLap,30.0,134.38070511817932,0.33405908235712556,0.20812196570494113,0.8502664890073285,0.19557249212495317,0.21428571428571427,0.8350026667103534,2.025969589756315,0.32891930195023983,0.17877254501939918,0.9157228514323784,0.28638716097737377,0.2807377049180328,0.8255032272541281,2.166222462092964,0.33405908235712556,0.20812196570494113,0.8502664890073285,0.19557249212495317,0.21428571428571427,0.8350026667103534,2.025969589756315,5379504.5,5.952550742595441e-40,6004,-1,-0.02480562279460361,-0.0008899232013820924,999298.0,251938.0
ml-1m,3,EASE,0.0,139.52434158325195,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,,,
ml-1m,3,SignedLap,1.0,134.57023644447327,0.3595565649493616,0.2288253840612074,0.8686179943455846,0.2182870344335193,0.30064402810304447,0.7651557943831857,2.353949602715288,0.3603638452834008,0.2023555801594148,0.9271578247131216,0.32381483462676997,0.39256440281030447,0.7619200407568338,2.509831257479984,0.3595565649493616,0.2288253840612074,0.8686179943455846,0.2182870344335193,0.30064402810304447,0.7651557943831857,2.353949602715288,4621589.0,0.0007211977391893799,6013,1,0.002494305082767659,0.0,999298.0,251938.0
ml-1m,3,SignedLap,3.0,134.25583720207214,0.3571508937441085,0.22777032036428838,0.8657907866289706,0.2147420732488693,0.28688524590163933,0.7785481117442821,2.2980476505186753,0.3570073800217169,0.2003108787475217,0.9254947613504074,0.3189934652520229,0.3820257611241218,0.7770740917029704,2.453012990684487,0.3571508937441085,0.22777032036428838,0.8657907866289706,0.2147420732488693,0.28688524590163933,0.7785481117442821,2.2980476505186753,5701629.0,0.7286246604201511,6013,1,8.863387751455615e-05,0.0,999298.0,251938.0
ml-1m,3,SignedLap,10.0,135.12359070777893,0.3474380964148992,0.22024208450557511,0.8581406951604856,0.206913357284746,0.26375878220140514,0.8076118465485345,2.184016754241669,0.34506686724784813,0.1922661164755813,0.916846831864294,0.30403386035960356,0.34045667447306793,0.7973906492939702,2.3350635273824114,0.3474380964148992,0.22024208450557511,0.8581406951604856,0.206913357284746,0.26375878220140514,0.8076118465485345,2.184016754241669,5642569.5,1.0449642032386527e-10,6013,-1,-0.009624163451694739,0.0,999298.0,251938.0
ml-1m,3,SignedLap,30.0,133.8639645576477,0.3270933736493347,0.2043963587784961,0.8330284383835024,0.1917507947040801,0.21311475409836064,0.8346693427975649,2.0241410520879493,0.3231310716773156,0.17644789477922468,0.8982205222018959,0.281063339405303,0.2819086651053864,0.8256041815940851,2.1685280292587037,0.3270933736493347,0.2043963587784961,0.8330284383835024,0.1917507947040801,0.21311475409836064,0.8346693427975649,2.0241410520879493,4866537.5,1.3950881454355824e-58,6013,-1,-0.029968886217259225,-0.0033009942361899303,999298.0,251938.0
ml-1m,4,EASE,0.0,139.36553645133972,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544,0.3984192037470726,0.7506592966181505,2.5499964162059165,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,,,0,0,,,,
ml-1m,4,SignedLap,1.0,134.91957306861877,0.3659152020856365,0.23257250851000852,0.8784548784548785,0.22528530441727493,0.303864168618267,0.7689583056635081,2.347742574881169,0.3663340726782534,0.20671243483297655,0.9299034299034299,0.32918131083468527,0.39256440281030447,0.7625464642243165,2.5085150122331523,0.3659152020856365,0.23257250851000852,0.8784548784548785,0.22528530441727493,0.303864168618267,0.7689583056635081,2.347742574881169,4623832.5,1.5045726622819375e-10,6006,1,0.005695231014358275,0.0,999298.0,251938.0
ml-1m,4,SignedLap,3.0,133.2957398891449,0.364059924552206,0.23193426070339335,0.8746253746253746,0.22168193893862043,0.2912763466042155,0.7810108819154045,2.297256265260061,0.36299059485863805,0.20503265934608603,0.9294039294039294,0.3228668808550099,0.3790983606557377,0.7759585459585459,2.4511939460006316,0.364059924552206,0.23193426070339335,0.8746253746253746,0.22168193893862043,0.2912763466042155,0.7810108819154045,2.297256265260061,5634696.0,0.001728076213258916,6006,1,0.0038399534809277535,0.0,999298.0,251938.0
ml-1m,4,SignedLap,10.0,134.1984372138977,0.3538702353660924,0.22419697751542988,0.8626373626373627,0.21236010585917428,0.25936768149882905,0.8058009710379912,2.180672227169053,0.3509405991424155,0.19648272470239975,0.9204129204129204,0.3084170173417783,0.3401639344262295,0.7978867231448987,2.33334857641313,0.3538702353660924,0.22419697751542988,0.8626373626373627,0.21236010585917428,0.25936768149882905,0.8058009710379912,2.180672227169053,5933151.0,3.689330322397061e-06,6006,-1,-0.0063497357051857965,0.0,999298.0,251938.0
ml-1m,4,SignedLap,30.0,134.2724633216858,0.332958411109369,0.20827038350706148,0.8448218448218449,0.1955044797989904,0.210480093676815,0.8343955997641672,2.020383630832917,0.32938146445032646,0.18082435115494544,0.9087579087579087,0.2860895012175842,0.27956674473067916,0.8248336305927928,2.166215968719851,0.332958411109369,0.20827038350706148,0.8448218448218449,0.1955044797989904,0.210480093676815,0.8343955997641672,2.020383630832917,5039090.0,4.0483913000929158e-53,6006,-1,-0.02726155996190913,-0.004563640563127164,999298.0,251938.0
