method,fwls_lambda,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
EASE,0.0,0.3479325871158056,0.0024419935222171423,0.21621932325930207,0.0017609572481909433,0.869062108858936,0.004119982862402304,0.21413559019990297,0.0022060733651125047,0.30382334788318516,0.0014967878997659257,0.760041705538647,0.0014510605985730595,2.370806329481177,0.00431803883783163,0.34977822359798144,0.0025090124251213423,0.19209776945367002,0.0018459287257145995,0.9286901941425125,0.005059188072626564,0.3160533128728878,0.0025633750675411516,0.39159190580199627,0.003091759041408105,0.7526677620654649,0.0015803452656274301,2.535528574316504,0.0025788156620483236,0.3479325871158056,0.0024419935222171423,0.21621932325930207,0.0017609572481909433,0.869062108858936,0.004119982862402304,0.21413559019990297,0.0022060733651125047,0.30382334788318516,0.0014967878997659257,0.760041705538647,0.0014510605985730595,2.370806329481177,0.00431803883783163,,,,,0.0,0.0,0.0,0.0,,,,
EDLAE,0.0,0.3590055334139385,0.003273828416263727,0.22757968846905893,0.002232465890069728,0.8718264605206549,0.006312699874637682,0.21806138522901902,0.0031631120683850086,0.26149087405405963,0.0025833561884202032,0.7795540916674024,0.001760042169541986,2.2544759024603787,0.004795380334774109,0.3579770040753344,0.0027409510437574904,0.20027601407077933,0.002015461904380248,0.9288222530830996,0.004422767789273423,0.31959705563724744,0.0023619496437872066,0.34123778892542544,0.0012723791319116096,0.7689651453646457,0.001310612850196973,2.4182357033636763,0.0029498643909275663,0.3590055334139385,0.003273828416263727,0.22757968846905893,0.002232465890069728,0.8718264605206549,0.006312699874637682,0.21806138522901902,0.0031631120683850086,0.26149087405405963,0.0025833561884202032,0.7795540916674024,0.001760042169541986,2.2544759024603787,0.004795380334774109,,,,,0.0,0.0,0.0,0.0,,,,
FWLS,0.1,0.345527934288896,0.003925345843142819,0.2149244174692228,0.002715929253676826,0.8666996563751139,0.006849160820576015,0.21261107909124305,0.0032580649172759373,0.24538909138289883,0.0026879585602361754,0.761685824621385,0.0030508629511163724,2.275535927113392,0.008331818109518746,0.3448544669850466,0.0034545722872513286,0.1888326576719139,0.002412406954067876,0.9249267135212073,0.004154472308744602,0.3105590624779052,0.003126929082049519,0.3137771438172273,0.002801664859638142,0.7455168516090053,0.0016086618018549888,2.438507134472311,0.007568691685918159,0.345527934288896,0.003925345843142819,0.2149244174692228,0.002715929253676826,0.8666996563751139,0.006849160820576015,0.21261107909124305,0.0032580649172759373,0.24538909138289883,0.0026879585602361754,0.761685824621385,0.0030508629511163724,2.275535927113392,0.008331818109518746,5925436.5,186985.2622090174,0.3278543003257296,0.2856245478581531,6007.4,3.4351128074635104,-0.6,0.894427190999916,-0.00240465282690961,0.0019077709854127829,0.0,0.0
FWLS,1.0,0.34675379232609493,0.003864850477899867,0.21584392488475895,0.0026360414015949526,0.8680312699821338,0.006450153974496988,0.21369467938702336,0.003349150782091811,0.2501902681721706,0.0030297202355059386,0.7663769247494087,0.0017547499280409279,2.2726464849919297,0.008401430352319755,0.34609080064338976,0.0032757384658667473,0.18971031940430755,0.0023430924938673153,0.9264916160003237,0.0038440677218090917,0.31202185302508284,0.002757159573142113,0.3199252677092727,0.0032359990053769955,0.750696313340763,0.0030812083714681707,2.435311572777854,0.008038614351979834,0.34675379232609493,0.003864850477899867,0.21584392488475895,0.0026360414015949526,0.8680312699821338,0.006450153974496988,0.21369467938702336,0.003349150782091811,0.2501902681721706,0.0030297202355059386,0.7663769247494087,0.0017547499280409279,2.2726464849919297,0.008401430352319755,5832136.6,140045.46364100836,0.47305110721180765,0.28731043505642073,6007.4,3.4351128074635104,-0.6,0.894427190999916,-0.0011787947897107082,0.0017536496922363112,0.0,0.0
FWLS,10.0,0.3478210119033086,0.0033335363700935858,0.21651617848232982,0.0021850156521953544,0.8690634271960146,0.006709705204268941,0.2147184924697742,0.003065971955424002,0.2557527576712465,0.0023213167597972524,0.7774449586509073,0.0029773252293614928,2.2527970348042357,0.007603384167320161,0.3471819771344699,0.002764605576341351,0.19036307466834756,0.0019914304312081818,0.927756668365871,0.004070320591662656,0.3133865289677217,0.002250132579113354,0.32888366176223505,0.0033452667201007967,0.7643630930499625,0.0025019999096884227,2.4132216943655846,0.007354692271177402,0.3478210119033086,0.0033335363700935858,0.21651617848232982,0.0021850156521953544,0.8690634271960146,0.006709705204268941,0.2147184924697742,0.003065971955424002,0.2557527576712465,0.0023213167597972524,0.7774449586509073,0.0029773252293614928,2.2527970348042357,0.007603384167320161,5642925.9,91133.84869890552,0.40855096056443346,0.29259144189690595,6007.4,3.4351128074635104,-0.2,1.0954451150103324,-0.00011157521249703624,0.0015331339720126343,0.0,0.0
RP3beta,0.0,0.3041855422360948,0.0020951721655490564,0.18331438190001176,0.0006618575136614497,0.8231867062137133,0.007232961050101001,0.18227344434960022,0.002478303091957666,0.21751823303307835,0.004106601654560029,0.8915231928112405,0.0020886473939488895,1.8896324663454742,0.0041026108418671025,0.3016097288393345,0.002396981057498911,0.1585695722705786,0.001117265430090139,0.8976277518084681,0.005558850051522371,0.2664635850266433,0.002805283432044616,0.302945007732109,0.002527505305903435,0.8863410842642411,0.0010035642160604017,2.0339419054263734,0.00324297434579463,0.3041855422360948,0.0020951721655490564,0.18331438190001176,0.0006618575136614497,0.8231867062137133,0.007232961050101001,0.18227344434960022,0.002478303091957666,0.21751823303307835,0.004106601654560029,0.8915231928112405,0.0020886473939488895,1.8896324663454742,0.0041026108418671025,,,,,0.0,0.0,0.0,0.0,,,,
