dataset,seed,method,fwls_lambda,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,FWLS,1.0,0.34527029734444503,0.21449643392741463,0.8649683649683649,0.21255824966730394,0.2549765807962529,0.7660340424978771,2.2844961405311595,0.34568413567709094,0.1890494936740737,0.9289044289044289,0.3117743156377671,0.32230679156908665,0.7474079810592074,2.447945998908778,0.34527029734444503,0.21449643392741463,0.8649683649683649,0.21255824966730394,0.2549765807962529,0.7660340424978771,2.2844961405311595,5773632.0,0.7493159006932055,6006,-1,-0.0013739319307069838,0.0
ml-1m,1,FWLS,10.0,0.34645207567322095,0.215304656264832,0.8654678654678655,0.21334995192238032,0.2576112412177986,0.775193291556928,2.263168535904197,0.3469577601233382,0.18987116325111936,0.929070929070929,0.3134667946505899,0.33079625292740045,0.7616351937148398,2.4242744451844866,0.34645207567322095,0.215304656264832,0.8654678654678655,0.21334995192238032,0.2576112412177986,0.775193291556928,2.263168535904197,5575847.5,0.4852376577707793,6006,-1,-0.00019215360193108446,0.0
ml-1m,2,EASE,0.0,0.348074072257809,0.2155671896907898,0.8712524983344437,0.2145518721146745,0.305327868852459,0.760279372716048,2.374323293658039,0.3494080502813742,0.19078800482672578,0.9347101932045303,0.31688736688793157,0.39256440281030447,0.753441230579067,2.5371341150076234,0.348074072257809,0.2155671896907898,0.8712524983344437,0.2145518721146745,0.305327868852459,0.760279372716048,2.374323293658039,,,0,0,,
ml-1m,2,RP3beta,0.0,0.3053784087488841,0.18371496176165583,0.8281145902731513,0.18262503214657363,0.22131147540983606,0.892094820384294,1.8929681712125963,0.30185971267764716,0.1581762782121918,0.9030646235842772,0.2669609782845024,0.3047423887587822,0.8863492381959899,2.0346670080486544,0.3053784087488841,0.18371496176165583,0.8281145902731513,0.18262503214657363,0.22131147540983606,0.892094820384294,1.8929681712125963,,,0,0,,
ml-1m,2,EDLAE,0.0,0.3603822331571057,0.22796453598835345,0.8765822784810127,0.21910435236388895,0.2605386416861827,0.7782360823121666,2.257483113881105,0.35870529984068045,0.19981947190172347,0.9333777481678881,0.32092030491750717,0.3392857142857143,0.7675345283184807,2.420076915123246,0.3603822331571057,0.22796453598835345,0.8765822784810127,0.21910435236388895,0.2605386416861827,0.7782360823121666,2.257483113881105,,,0,0,,
ml-1m,2,FWLS,0.1,0.34808935219718373,0.2166850982827187,0.8727514990006662,0.21434315605193718,0.2423887587822014,0.760403651993679,2.273077477020151,0.3455074446537703,0.1888694770566605,0.9265489673550966,0.31051020313131233,0.3100117096018735,0.7446709275968995,2.4347642678030126,0.34808935219718373,0.2166850982827187,0.8727514990006662,0.21434315605193718,0.2423887587822014,0.760403651993679,2.273077477020151,6153304.0,0.6889899133854904,6004,1,1.527993937474117e-05,0.0
ml-1m,2,FWLS,1.0,0.3487553625577148,0.21708432484080067,0.8727514990006662,0.2148476987925109,0.24677985948477751,0.7648911401888656,2.269858374831216,0.3466601861917659,0.18945714765425686,0.9293804130579614,0.312176020505597,0.31528103044496486,0.7492064405221652,2.431956040088891,0.3487553625577148,0.21708432484080067,0.8727514990006662,0.2148476987925109,0.24677985948477751,0.7648911401888656,2.269858374831216,5966252.5,0.35874530692957873,6004,1,0.0006812902999057617,0.0
ml-1m,2,FWLS,10.0,0.35011360225838645,0.21786908120608767,0.8749167221852099,0.21608909089324452,0.25175644028103045,0.7749482902870954,2.2509793768800734,0.34796707933683224,0.19012505826340242,0.9307128580946036,0.314117410410143,0.32640515222482436,0.7641694923862417,2.411000661064442,0.35011360225838645,0.21786908120608767,0.8749167221852099,0.21608909089324452,0.25175644028103045,0.7749482902870954,2.2509793768800734,5700777.5,0.02810435424411713,6004,1,0.0020395300005774048,0.0
ml-1m,3,EASE,0.0,0.3446532206969543,0.214515771619918,0.8652918676201563,0.21147856951310742,0.3018149882903981,0.7593527312226678,2.3700012148218366,0.34572215584620997,0.18975039034253477,0.9210044902710793,0.3116311059290135,0.3916861826697892,0.7531264969745421,2.533660753122468,0.3446532206969543,0.214515771619918,0.8652918676201563,0.21147856951310742,0.3018149882903981,0.7593527312226678,2.3700012148218366,,,0,0,,
ml-1m,3,RP3beta,0.0,0.30135495918142763,0.18237158955734484,0.8135705970397472,0.1795566966275407,0.21633489461358313,0.8905643545885134,1.8933094588227457,0.2980114984013013,0.1570854126431599,0.8910693497422252,0.26215544951631986,0.30269320843091335,0.8858336434823195,2.037158961423858,0.30135495918142763,0.18237158955734484,0.8135705970397472,0.1795566966275407,0.21633489461358313,0.8905643545885134,1.8933094588227457,,,0,0,,
ml-1m,3,EDLAE,0.0,0.3542637451498373,0.2248998116409994,0.8637951105937136,0.213567890366643,0.25878220140515223,0.7771411564536266,2.255171442065767,0.35368707811623024,0.1973903853630169,0.9243306169965075,0.31629891949580474,0.3427985948477752,0.770296268134101,2.417269998870766,0.3542637451498373,0.2248998116409994,0.8637951105937136,0.213567890366643,0.25878220140515223,0.7771411564536266,2.255171442065767,,,0,0,,
ml-1m,3,FWLS,0.1,0.33940157392911463,0.21093440507689792,0.8579743888242142,0.2075494604183019,0.24355971896955503,0.7579107846460873,2.279634003909698,0.3393100960876263,0.18525197724711648,0.9206718775985365,0.3061349782657585,0.31381733021077285,0.7447497306830226,2.4411205037646604,0.33940157392911463,0.21093440507689792,0.8579743888242142,0.2075494604183019,0.24355971896955503,0.7579107846460873,2.279634003909698,5665436.5,0.0016063473857677345,6013,-1,-0.005251646767839704,0.0
ml-1m,3,FWLS,1.0,0.3406528823231067,0.2118436067459364,0.8593048395143855,0.20857921728727907,0.2505854800936768,0.7645959066881569,2.2771796401839177,0.3407774258324966,0.18625867858272402,0.9223349409612506,0.3079672336696721,0.31879391100702575,0.7490264970739096,2.4379432678851596,0.3406528823231067,0.2118436067459364,0.8593048395143855,0.20857921728727907,0.2505854800936768,0.7645959066881569,2.2771796401839177,5631397.0,0.025740922282028077,6013,-1,-0.004000338373847604,0.0
ml-1m,3,FWLS,10.0,0.34255352523922383,0.21322999737341577,0.860302677532014,0.21013829463506098,0.25614754098360654,0.775702739302939,2.2573471963688605,0.34259538419191177,0.18740456875168596,0.9234990853151505,0.31009992837452066,0.3296252927400468,0.763673408621167,2.416357758844379,0.34255352523922383,0.21322999737341577,0.860302677532014,0.21013829463506098,0.25614754098360654,0.775702739302939,2.2573471963688605,5576742.5,0.43069622839813226,6013,-1,-0.0020996954577305266,0.0
ml-1m,4,EASE,0.0,0.34924476133562576,0.21751357205509703,0.865967365967366,0.21440884457628884,0.30415690866510536,0.761732044022708,2.363778346792601,0.3512322045262941,0.19357023330617507,0.9285714285714286,0.31670505526163667,0.38788056206088994,0.7510207528320736,2.532005373658448,0.34924476133562576,0.21751357205509703,0.865967365967366,0.21440884457628884,0.30415690866510536,0.761732044022708,2.363778346792601,,,0,0,,
ml-1m,4,RP3beta,0.0,0.3038890542436859,0.1834721245832357,0.8218448218448219,0.182645686188059,0.22131147540983606,0.8944924123495552,1.8849904335986627,0.3015673799099256,0.1589283644928571,0.8939393939393939,0.2659353862257798,0.3003512880562061,0.8863276424679933,2.029705558750562,0.3038890542436859,0.1834721245832357,0.8218448218448219,0.182645686188059,0.22131147540983606,0.8944924123495552,1.8849904335986627,,,0,0,,
ml-1m,4,EDLAE,0.0,0.3605231542399026,0.2286980354249345,0.8724608724608724,0.21989044766331028,0.25966042154566743,0.7804757437226433,2.2460408683421416,0.3587403744191831,0.20150579099444424,0.9239094239094239,0.31923578233071687,0.34162763466042156,0.7704240061566539,2.4134769506656832,0.3605231542399026,0.2286980354249345,0.8724608724608724,0.21989044766331028,0.25966042154566743,0.7804757437226433,2.2460408683421416,,,0,0,,
ml-1m,4,FWLS,0.1,0.34747561180989095,0.2167792560068637,0.8648018648018648,0.21362129347273737,0.2459016393442623,0.7656505002933574,2.2654732391567536,0.3467004580508359,0.1908321161711067,0.9204129204129204,0.31102371631579157,0.3135245901639344,0.7478294814429267,2.430958014082495,0.34747561180989095,0.2167792560068637,0.8648018648018648,0.21362129347273737,0.2459016393442623,0.7656505002933574,2.2654732391567536,5953287.5,0.5598758684149705,6006,-1,-0.0017691495257348658,0.0
ml-1m,4,FWLS,1.0,0.3489385337969146,0.21786169187954904,0.8674658674658675,0.215003326501029,0.24882903981264637,0.7685719770425652,2.262594077456999,0.3479821312972519,0.19180280609729694,0.9222444222444223,0.3124710664863197,0.319672131147541,0.7530939603741802,2.427150368194281,0.3489385337969146,0.21786169187954904,0.8674658674658675,0.215003326501029,0.24882903981264637,0.7685719770425652,2.262594077456999,5827932.0,0.6147168959654777,6006,-1,-0.00030622753871123324,0.0
ml-1m,4,FWLS,10.0,0.34972925634600915,0.2182546661734587,0.8681318681318682,0.2159140822453486,0.25614754098360654,0.7808568574282859,2.243617062932209,0.34857615461473734,0.1921382878562123,0.9234099234099234,0.31291456598765005,0.3246487119437939,0.7638703046277437,2.405260317507477,0.34972925634600915,0.2182546661734587,0.8681318681318682,0.2159140822453486,0.25614754098360654,0.7808568574282859,2.243617062932209,5585364.0,0.27397244122995856,6006,1,0.0004844950103834078,0.0
