model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.3,200,0.3,200,overall,5957,0.1160628196914912,0.07427236249406258,0.48967601141514183,0.12350878493475624,0.12212950484728527,0.630182978009065
Hybrid-Matrix,0.3,200,0.3,200,q1,5787,0.12661176600490603,0.10086086201100972,0.5033696215655781,0.14150234570546558,0.1667065850708126,0.6469673405909798
Hybrid-Matrix,0.3,200,0.3,200,q2,4520,0.0006122691096951637,0.0011061946902654867,0.001327433628318584,0.000871403083230441,0.0020648967551622414,0.002654867256637168
Hybrid-Matrix,0.3,200,0.3,200,q3,3059,0.0002505987992820874,0.00043587228941920016,0.0006538084341288003,0.0004107205601739251,0.0010896807235480004,0.0013076168682576005
Hybrid-Matrix,0.3,200,0.3,200,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,overall,5957,0.11946067885473156,0.07995494730546174,0.5062951149907672,0.12815858603430486,0.13117703072789957,0.6469699513177775
Hybrid-Matrix,0.5,200,0.3,200,q1,5787,0.13061042410849616,0.1078735860659355,0.5192673233108692,0.14713340138520722,0.17834696736642194,0.6637290478659064
Hybrid-Matrix,0.5,200,0.3,200,q2,4520,0.0012454491498632625,0.0022861356932153388,0.0028761061946902654,0.001709679183242979,0.003934365781710914,0.005088495575221239
Hybrid-Matrix,0.5,200,0.3,200,q3,3059,0.0004800625137285863,0.0010896807235480004,0.0013076168682576005,0.0005924904646783173,0.0015255530129672005,0.0016345210853220007
Hybrid-Matrix,0.5,200,0.3,200,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,overall,5957,0.12329564427532216,0.08662093506279972,0.5272788316266577,0.13353342124351641,0.1418199887280098,0.6703038442168877
Hybrid-Matrix,0.7,200,0.3,200,q1,5787,0.13544165944798636,0.11787849960877801,0.5400034560221185,0.15380778844470244,0.19338676715109093,0.6863659927423535
Hybrid-Matrix,0.7,200,0.3,200,q2,4520,0.002134809853689291,0.004044985250737463,0.005309734513274336,0.0029753497193858633,0.007039085545722714,0.009070796460176991
Hybrid-Matrix,0.7,200,0.3,200,q3,3059,0.0008893034429204279,0.0020703933747412005,0.002615233736515201,0.0012685534592599998,0.003432494279176201,0.004249754821837201
Hybrid-Matrix,0.7,200,0.3,200,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.6,200,overall,5957,0.11929914968065863,0.08440052797162474,0.5073023333892899,0.12999319115590188,0.1389929865328551,0.6583850931677019
Hybrid-Matrix,0.3,200,0.6,200,q1,5787,0.12993198555667412,0.11375881653903915,0.5147744945567652,0.14849502993404132,0.18809751685276246,0.6683946777259374
