model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-Matrix,0.3,200,0.3,200,7.3525004386901855,0.1160628196914912,0.057064619759828274,0.48967601141514183,0.07427236249406258,0.0986822840409956,0.8703476796368037,1.5571378847967325,0.12350878493475624,0.05056059333322683,0.630182978009065,0.12212950484728527,0.1376281112737921,0.859586254683387,1.7056867443123411,0.1160628196914912,0.057064619759828274,0.48967601141514183,0.07427236249406258,0.0986822840409956,0.8703476796368037,1.5571378847967325,3172445.0,0.7021158253008604,5957,1,0.00012723394824277708,0.0
Hybrid-Matrix,0.5,200,0.3,200,7.5068817138671875,0.11946067885473156,0.05856135533006281,0.5062951149907672,0.07995494730546174,0.13060029282576865,0.8763059775927782,1.622608587461728,0.12815858603430486,0.05253167010333208,0.6469699513177775,0.13117703072789957,0.17481698389458272,0.8679353344417797,1.76260431034735,0.11946067885473156,0.05856135533006281,0.5062951149907672,0.07995494730546174,0.13060029282576865,0.8763059775927782,1.622608587461728,3009160.5,0.13853494519110307,5957,1,0.003525093111483142,0.0
Hybrid-Matrix,0.7,200,0.3,200,6.240992546081543,0.12329564427532216,0.06016223489936888,0.5272788316266577,0.08662093506279972,0.18448023426061494,0.8695648976394319,1.7492260287029697,0.13353342124351641,0.05476052016684861,0.6703038442168877,0.1418199887280098,0.24128843338213762,0.8656577845106761,1.8844240395507679,0.12329564427532216,0.06016223489936888,0.5272788316266577,0.08662093506279972,0.18448023426061494,0.8695648976394319,1.7492260287029697,2629489.0,3.3436606601608445e-05,5957,1,0.007360058532073755,0.0
Hybrid-Matrix,0.3,200,0.6,200,6.360198974609375,0.11929914968065863,0.05823514222804373,0.5073023333892899,0.08440052797162474,0.25592972181551976,0.8634657071330039,1.9154896342708303,0.12999319115590188,0.053199193935247545,0.6583850931677019,0.1389929865328551,0.33616398243045387,0.8559139132423483,2.0716536300433983,0.11929914968065863,0.05823514222804373,0.5073023333892899,0.08440052797162474,0.25592972181551976,0.8634657071330039,1.9154896342708303,2721070.5,0.11325831442625477,5957,1,0.0033635639374102163,0.0
Hybrid-Matrix,0.5,200,0.6,200,6.27485990524292,0.12084744995978677,0.05905822219523787,0.5128420345811651,0.08663296519699415,0.2796486090775988,0.8528256694794367,1.9792936119144864,0.1329846375882981,0.05441478447499415,0.6721504112808461,0.14464192088496183,0.363103953147877,0.8459794792789184,2.1386415095713054,0.12084744995978677,0.05905822219523787,0.5128420345811651,0.08663296519699415,0.2796486090775988,0.8528256694794367,1.9792936119144864,2462835.5,0.004431246770919467,5957,1,0.0049118642165383525,0.0
Hybrid-Matrix,0.7,200,0.6,200,7.469990491867065,0.12086771387418825,0.05879278000377527,0.5192210844384757,0.08862981301921885,0.3077598828696925,0.8336153789759051,2.07963430256063,0.1344418870828712,0.054829009277252067,0.6805438979352023,0.1499120261692216,0.4008784773060029,0.8286529600436927,2.245176445097589,0.12086771387418825,0.05879278000377527,0.5192210844384757,0.08862981301921885,0.3077598828696925,0.8336153789759051,2.07963430256063,2144910.5,0.0004749904211724355,5957,1,0.004932128130939841,0.0
Hybrid-Matrix,0.3,500,0.3,200,6.378127336502075,0.11686632086479155,0.057441406764646936,0.49252979687762294,0.07555416994314226,0.10775988286969253,0.8740646736393427,1.5729127141908645,0.12458678816553653,0.0510249524618521,0.6345475910693302,0.12410429446537281,0.14407027818448023,0.8599084768756031,1.7191788098181402,0.11686632086479155,0.057441406764646936,0.49252979687762294,0.07555416994314226,0.10775988286969253,0.8740646736393427,1.5729127141908645,3175580.0,0.9891555143385704,5957,1,0.0009307351215431443,0.0
Hybrid-Matrix,0.5,500,0.3,200,6.401180267333984,0.12076265472188052,0.059200978849936255,0.5128420345811651,0.08168449859376284,0.14758418740849194,0.8763407595705732,1.658857114916193,0.12998639846220464,0.0534034614877706,0.6525096525096525,0.1341793563513091,0.19502196193265006,0.869264186126701,1.7958927354847785,0.12076265472188052,0.059200978849936255,0.5128420345811651,0.08168449859376284,0.14758418740849194,0.8763407595705732,1.658857114916193,2916145.0,0.018793618887986054,5957,1,0.004827068978632094,0.0
Hybrid-Matrix,0.7,500,0.3,200,6.1962738037109375,0.12449829304192372,0.06082008300712086,0.5308040960214874,0.0888909899416293,0.20585651537335287,0.860070190084415,1.8168375861242152,0.13566218599642924,0.05571427272324175,0.6798724190028538,0.1456832237084615,0.2699853587115666,0.8569709090127839,1.953805119351406,0.12449829304192372,0.06082008300712086,0.5308040960214874,0.0888909899416293,0.20585651537335287,0.860070190084415,1.8168375861242152,2419253.0,1.2473126020636858e-08,5957,1,0.008562707298675303,0.0
Hybrid-Matrix,0.3,500,0.6,200,6.354034662246704,0.11942470484693715,0.05830960470970823,0.5091489004532482,0.08458714628606324,0.26412884333821374,0.8593470872368008,1.9412673708282226,0.13067462545719108,0.05352609509009771,0.6607352694309216,0.14006544540503327,0.3437774524158126,0.8513755022865459,2.0973226755802297,0.11942470484693715,0.05830960470970823,0.5091489004532482,0.08458714628606324,0.26412884333821374,0.8593470872368008,1.9412673708282226,2659479.5,0.06533386527944945,5957,1,0.0034891191036887353,0.0
