model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,q2,4520,0.00018476439458402726,0.0003593456690801823,0.001327433628318584,0.0008550990038408713,0.0026279227164182914,0.005309734513274336
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,overall,5957,0.11444280684004342,0.08905060548607943,0.5066308544569414,0.13126003208535056,0.15464490919404505,0.6823904649991607
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,q1,5787,0.1268026146502481,0.12384667387681651,0.5128736823915673,0.15130555426007605,0.20957184605245252,0.687402799377916
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,q2,4520,0.006045535665850992,0.011566234526942313,0.024557522123893807,0.011292818350247265,0.028248012767118035,0.06305309734513274
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,q3,3059,0.0011027595024485344,0.0026424757546039007,0.003922850604772802,0.002434587878126993,0.007164650757328102,0.010134030728996404
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.00020994543691256915,0.0008488964346349745,0.0011318619128466328
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,overall,5957,0.11642659878031784,0.09020785609133787,0.5125062951149908,0.13234361326605343,0.1546805905558233,0.681551116333725
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,q1,5787,0.12948829150671798,0.12666424948478805,0.5203041299464316,0.15338036104318886,0.21136042405264072,0.6884396060134785
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,q2,4520,0.005034931035348047,0.009207873360214822,0.02101769911504425,0.009850412744545057,0.024709848483490112,0.05486725663716814
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,q3,3059,0.0009256724705747777,0.002315571537539501,0.0035959463877084014,0.001732809974686557,0.005067015364498202,0.007518796992481203
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,overall,5957,0.11843408553821233,0.08938239769503824,0.5104918583179453,0.1333616928809986,0.15261492840036875,0.6770186335403726
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,q1,5787,0.132115495408945,0.12584528502074444,0.5213409365819941,0.15575640469223512,0.2107352571509495,0.687402799377916
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,q2,4520,0.0034524176663574984,0.0063657431293359665,0.013495575221238938,0.006851214933937892,0.017489597273375967,0.03761061946902655
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,q3,3059,0.00041042918448222824,0.0010079546692819002,0.001961425302386401,0.0010072491474505771,0.003187316116377901,0.0049035632559660015
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,overall,5957,0.120714972044924,0.08817800986064958,0.5128420345811651,0.1339077521940215,0.14836892368422552,0.6724861507470203
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q1,5787,0.1346502455519735,0.12439709570338794,0.5256609642301711,0.1572057104757386,0.20767399056519567,0.6880940038016243
