dataset,seed,family,alpha,n_iter,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,0.0,0,132.3983860015869,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
ml-1m,0,Retrofit,5.0,3,129.26962614059448,0.2736685755019401,0.15380374969407548,0.8285619174434088,0.17499496587302496,0.3624121779859485,0.7489008193706184,2.831081909820906,0.2681009771592791,0.13183147149325483,0.8968042609853528,0.2458849074600753,0.47892271662763464,0.7383868981537249,3.136799931954424,0.2736685755019401,0.15380374969407548,0.8285619174434088,0.17499496587302496,0.3624121779859485,0.7489008193706184,2.831081909820906,2624238.5,0.0,6008,-1,-0.08968756356694849,-0.0605014609681149
ml-1m,0,Retrofit,5.0,5,130.20042991638184,0.27569747073551554,0.15558318290821777,0.8300599201065246,0.17613549753090044,0.3659250585480094,0.7503799201065247,2.8222258377236957,0.2707376105095286,0.13367082962847987,0.8989680426098535,0.24873840165948624,0.476288056206089,0.7360029896626257,3.1261920855008727,0.27569747073551554,0.15558318290821777,0.8300599201065246,0.17613549753090044,0.3659250585480094,0.7503799201065247,2.8222258377236957,2662073.5,3.666325201941211e-300,6008,-1,-0.08765866833337309,-0.054672943154439546
ml-1m,0,Retrofit,5.0,10,133.16786646842957,0.2772314821397232,0.15675642848776586,0.8317243675099867,0.1776928743171673,0.36416861826697894,0.7498764241461546,2.814899948290034,0.27197037474138447,0.13464637692198517,0.8994673768308922,0.24985638999611778,0.476288056206089,0.7354729547245753,3.1205587742406182,0.2772314821397232,0.15675642848776586,0.8317243675099867,0.1776928743171673,0.36416861826697894,0.7498764241461546,2.814899948290034,2707623.0,2.633745680909168e-293,6008,-1,-0.08612465692916539,-0.05417370315728798
ml-1m,0,Retrofit,20.0,3,130.56876015663147,0.3473616741470202,0.21344465040880237,0.8801597869507324,0.21773352095212659,0.32230679156908665,0.7502534918625001,2.475049998477566,0.34812693618557,0.1889508350331641,0.9339214380825566,0.3177893546912043,0.42505854800936765,0.744633819278611,2.656333018902306,0.3473616741470202,0.21344465040880237,0.8801597869507324,0.21773352095212659,0.32230679156908665,0.7502534918625001,2.475049998477566,4222701.0,2.005120333108855e-42,6008,-1,-0.01599446492186847,0.0
ml-1m,0,Retrofit,20.0,5,130.47758269309998,0.3473121233646329,0.21341912463590995,0.8799933422103862,0.21766040531725656,0.32172131147540983,0.7499195794748645,2.4747790382758175,0.34823857049975543,0.18903744567866546,0.9340878828229028,0.3179345943081355,0.42505854800936765,0.7446160858066198,2.6560229640399964,0.3473121233646329,0.21341912463590995,0.8799933422103862,0.21766040531725656,0.32172131147540983,0.7499195794748645,2.4747790382758175,4205601.0,6.643164319967934e-43,6008,-1,-0.01604401570425573,0.0
ml-1m,0,Retrofit,20.0,10,135.88736963272095,0.3473674687492059,0.2134600685637844,0.8799933422103862,0.2177348481846422,0.32172131147540983,0.7498630882208617,2.4748602174201872,0.34824705680558127,0.18903699795461265,0.9340878828229028,0.31796951836125453,0.42505854800936765,0.7446655033875862,2.655813108734374,0.3473674687492059,0.2134600685637844,0.8799933422103862,0.2177348481846422,0.32172131147540983,0.7498630882208617,2.4748602174201872,4207076.5,1.4734079180411314e-42,6008,-1,-0.015988670319682728,0.0
ml-1m,0,Retrofit,50.0,3,127.95936512947083,0.35975678326196625,0.22548994318778456,0.8831557922769641,0.22352206097872818,0.31469555035128804,0.7544185736846996,2.4155010613080314,0.36149931179741257,0.20055119294121013,0.9377496671105193,0.32842992650829445,0.40866510538641687,0.7470332178871342,2.5868212511872204,0.35975678326196625,0.22548994318778456,0.8831557922769641,0.22352206097872818,0.31469555035128804,0.7544185736846996,2.4155010613080314,3619874.5,5.331566032917404e-07,6008,-1,-0.0035993558069223486,0.0
ml-1m,0,Retrofit,50.0,5,130.558021068573,0.35977927907158525,0.22550834457852284,0.8831557922769641,0.22354622493431692,0.31469555035128804,0.7544469079986376,2.4154184715923432,0.36148928240623845,0.20054349684385164,0.9377496671105193,0.32842433770443663,0.40866510538641687,0.7470477162255482,2.586771748869743,0.35977927907158525,0.22550834457852284,0.8831557922769641,0.22354622493431692,0.31469555035128804,0.7544469079986376,2.4154184715923432,3623476.5,6.036102258014117e-07,6008,-1,-0.00357685999730338,0.0
ml-1m,0,Retrofit,50.0,10,135.1244556903839,0.35977927907158525,0.22550834457852284,0.8831557922769641,0.22354622493431692,0.31469555035128804,0.7544469079986376,2.4154184715923432,0.36148928240623845,0.20054349684385164,0.9377496671105193,0.32842433770443663,0.40866510538641687,0.7470477162255482,2.586771748869743,0.35977927907158525,0.22550834457852284,0.8831557922769641,0.22354622493431692,0.31469555035128804,0.7544469079986376,2.4154184715923432,3623476.5,6.036102258014117e-07,6008,-1,-0.00357685999730338,0.0
ml-1m,0,Retrofit,100.0,3,129.39441871643066,0.3624539840345767,0.22823046307157768,0.8851531291611185,0.22451769065576854,0.3129391100702576,0.7562359012429949,2.40007830189636,0.36451249393510926,0.20339260863606645,0.9375832223701731,0.33022192858702987,0.40076112412177983,0.7463969759337197,2.5690470672518195,0.3624539840345767,0.22823046307157768,0.8851531291611185,0.22451769065576854,0.3129391100702576,0.7562359012429949,2.40007830189636,2615134.5,0.09817935342711019,6008,-1,-0.0009021550343118947,0.0
ml-1m,0,Retrofit,100.0,5,131.72706604003906,0.3624558985810356,0.22823292671793283,0.8851531291611185,0.22451769065576854,0.3129391100702576,0.7562279604742788,2.4001001417801153,0.3645142559215856,0.2033947628404469,0.9375832223701731,0.33022192858702987,0.40076112412177983,0.7463938877698011,2.569061375407489,0.3624558985810356,0.22823292671793283,0.8851531291611185,0.22451769065576854,0.3129391100702576,0.7562279604742788,2.4001001417801153,2612727.5,0.10120197794551633,6008,-1,-0.0009002404878530305,0.0
