dataset,seed,family,prior,mu,rho,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,CAR-SAR-EASE,car,3.0,0.9,131.623304605484,0.3693220676257365,0.23530623386819588,0.883988015978695,0.22672538662793365,0.2766393442622951,0.7643457400714393,2.319782785087371,0.37027694657061877,0.20891338924446692,0.9365845539280959,0.3339234672077849,0.35772833723653397,0.7526930677263921,2.4875725078279816,0.3693220676257365,0.23530623386819588,0.883988015978695,0.22672538662793365,0.2766393442622951,0.7643457400714393,2.319782785087371,3661867.5,1.3104523837147826e-18,6008,1,0.005965928556847931,0.0
ml-1m,0,CAR-SAR-EASE,car,10.0,0.9,131.50965571403503,0.3674886543889009,0.23490215657698696,0.8791611185086551,0.22259020653965894,0.23946135831381732,0.7747821567982707,2.231968797632045,0.36724518190414324,0.20716297325657781,0.934254327563249,0.32884861317328024,0.30766978922716626,0.7554519283517946,2.40215028965616,0.3674886543889009,0.23490215657698696,0.8791611185086551,0.22259020653965894,0.23946135831381732,0.7747821567982707,2.231968797632045,5317839.0,0.00018447097285322078,6008,1,0.004132515320012241,0.0
ml-1m,0,CAR-SAR-EASE,car,30.0,0.9,131.86866664886475,0.3563114254162529,0.22605131804503376,0.8675099866844208,0.21319702607623547,0.1876463700234192,0.7811923675349144,2.1166443206865835,0.35438837502216913,0.19779377063053533,0.9262649800266312,0.3135743305813557,0.257903981264637,0.7704207859063434,2.283944630119566,0.3563114254162529,0.22605131804503376,0.8675099866844208,0.21319702607623547,0.1876463700234192,0.7811923675349144,2.1166443206865835,5833268.0,7.975837113652823e-06,6008,-1,-0.00704471365263581,0.0
ml-1m,0,CAR-SAR-EASE,sar,1.0,0.1,132.16972613334656,0.36777555929820027,0.23362076052371927,0.8864846870838882,0.22699444885813885,0.29069086651053866,0.7633319722746308,2.3443876004566047,0.3687710911782851,0.2073920634680765,0.9374167776298269,0.3335702452721096,0.37617096018735363,0.7530945768806312,2.5136891977082474,0.36777555929820027,0.23362076052371927,0.8864846870838882,0.22699444885813885,0.29069086651053866,0.7633319722746308,2.3443876004566047,2498870.0,4.650740629553382e-21,6008,1,0.004419420229311692,0.0
ml-1m,0,CAR-SAR-EASE,sar,3.0,0.1,132.83790588378906,0.369669010967687,0.23587696930254076,0.8836551264980027,0.22657700583356674,0.26346604215456676,0.7687213715046606,2.285897842890271,0.36986651216226885,0.2088265328214692,0.9360852197070573,0.3329165004798228,0.34953161592505855,0.7609811011337202,2.454338784989522,0.369669010967687,0.23587696930254076,0.8836551264980027,0.22657700583356674,0.26346604215456676,0.7687213715046606,2.285897842890271,4229908.5,3.719659511658286e-15,6008,1,0.00631287189879834,0.0
ml-1m,0,CAR-SAR-EASE,sar,10.0,0.1,132.03782415390015,0.36546456246494907,0.23342799880561535,0.875832223701731,0.22089179545629364,0.22394613583138173,0.7880970035595241,2.1693623100370276,0.3643906577215562,0.20530996954142994,0.9314247669773635,0.32470781074910143,0.2933255269320843,0.772791201883849,2.334774954997321,0.36546456246494907,0.23342799880561535,0.875832223701731,0.22089179545629364,0.22394613583138173,0.7880970035595241,2.1693623100370276,5760500.5,0.09710904943037768,6008,1,0.0021084233960605115,0.0
ml-1m,0,CAR-SAR-EASE,sar,30.0,0.1,133.0517554283142,0.3496358517885578,0.2206126915183887,0.8596870838881492,0.2074297665088432,0.172423887587822,0.8098113098777182,2.0138106571099015,0.34579535622661284,0.19174837073425194,0.9206058588548602,0.3031421239779397,0.2374121779859485,0.8000536892035444,2.1716426597961993,0.3496358517885578,0.2206126915183887,0.8596870838881492,0.2074297665088432,0.172423887587822,0.8098113098777182,2.0138106571099015,5641475.5,8.003132590026866e-17,6008,-1,-0.013720287280330725,0.0
ml-1m,0,CAR-SAR-EASE,sar,1.0,0.5,131.62213563919067,0.36776381930820456,0.2336091660057523,0.8864846870838882,0.22699147663063265,0.29069086651053866,0.7633090421230906,2.344429805387902,0.3687645282833467,0.20738525127486732,0.9374167776298269,0.33356608415360095,0.37617096018735363,0.7530919215365246,2.513711053708413,0.36776381930820456,0.2336091660057523,0.8864846870838882,0.22699147663063265,0.29069086651053866,0.7633090421230906,2.344429805387902,2497977.5,5.130081888769553e-21,6008,1,0.0044076802393160615,0.0
ml-1m,0,CAR-SAR-EASE,sar,3.0,0.5,132.22188115119934,0.36965437642437016,0.23586465107076512,0.8836551264980027,0.22656944016355102,0.26346604215456676,0.7686891552004735,2.2860002549626266,0.36985762916258313,0.2088213829140302,0.9360852197070573,0.33291009875904026,0.34953161592505855,0.7609515620713421,2.4544149427638486,0.36965437642437016,0.23586465107076512,0.8836551264980027,0.22656944016355102,0.26346604215456676,0.7686891552004735,2.2860002549626266,4231731.5,4.4135521241916666e-15,6008,1,0.00629823735548154,0.0
ml-1m,0,CAR-SAR-EASE,sar,10.0,0.5,132.05762338638306,0.3654774477618427,0.23343295582060064,0.875832223701731,0.22090322710054816,0.22394613583138173,0.7880563170674395,2.169515365872511,0.3644089844735064,0.20531406763205937,0.9314247669773635,0.32474733502402015,0.2933255269320843,0.7727027137469402,2.334971903007533,0.3654774477618427,0.23343295582060064,0.875832223701731,0.22090322710054816,0.22394613583138173,0.7880563170674395,2.169515365872511,5763661.0,0.09385114616547574,6008,1,0.002121308692954129,0.0
ml-1m,0,CAR-SAR-EASE,sar,30.0,0.5,132.1076376438141,0.34965399821352866,0.2206110839993639,0.8598535286284953,0.2074400890830499,0.172423887587822,0.8096711458858479,2.0141795557378024,0.34581118602411876,0.191758693773176,0.9206058588548602,0.30313762969991115,0.2374121779859485,0.7999480963318943,2.171928266844118,0.34965399821352866,0.2206110839993639,0.8598535286284953,0.2074400890830499,0.172423887587822,0.8096711458858479,2.0141795557378024,5646154.0,1.1635520453491153e-16,6008,-1,-0.013702140855359896,0.0
ml-1m,0,CAR-SAR-EASE,sar,1.0,0.9,132.77400135993958,0.3677828648629398,0.23361899417137275,0.8864846870838882,0.22703415476918298,0.29069086651053866,0.7633082040327566,2.344452956046339,0.3687717328199663,0.2073903189707413,0.9374167776298269,0.3335688582326067,0.37617096018735363,0.7530884242540425,2.5137282254027933,0.3677828648629398,0.23361899417137275,0.8864846870838882,0.22703415476918298,0.29069086651053866,0.7633082040327566,2.344452956046339,2495192.5,3.2891938170446708e-21,6008,1,0.004426725794051169,0.0
ml-1m,0,CAR-SAR-EASE,sar,3.0,0.9,132.6913661956787,0.3696649809134187,0.2358832528116538,0.8836551264980027,0.2265724123910572,0.26346604215456676,0.7686478029294275,2.286117507539127,0.36985743322674314,0.20883052299471772,0.9360852197070573,0.33289998664139314,0.34953161592505855,0.7609308610295151,2.4544599216784984,0.3696649809134187,0.2358832528116538,0.8836551264980027,0.2265724123910572,0.26346604215456676,0.7686478029294275,2.286117507539127,4234537.5,3.9553460750062294e-15,6008,1,0.006308841844530078,0.0
ml-1m,0,CAR-SAR-EASE,sar,10.0,0.9,131.94236397743225,0.3655504292995245,0.23347748639359328,0.8759986684420772,0.22100602414076198,0.22394613583138173,0.788008755210917,2.169633072466281,0.36440626423178185,0.20531452036449538,0.9314247669773635,0.3247306259161805,0.2933255269320843,0.7726187106479452,2.33521027707956,0.3655504292995245,0.23347748639359328,0.8759986684420772,0.22100602414076198,0.22394613583138173,0.788008755210917,2.169633072466281,5760241.5,0.08281651254537341,6008,1,0.0021942902306359056,0.0
ml-1m,0,CAR-SAR-EASE,sar,30.0,0.9,131.86538457870483,0.34964838925183533,0.22062143217374736,0.8598535286284953,0.2074211097591854,0.172423887587822,0.8095608797777272,2.014434143010497,0.3458519659295597,0.1917806099509015,0.9207723035952063,0.3032025823780462,0.2374121779859485,0.7998326522302364,2.1722254317035836,0.34964838925183533,0.22062143217374736,0.8598535286284953,0.2074211097591854,0.172423887587822,0.8095608797777272,2.014434143010497,5640541.5,1.0725334912881402e-16,6008,-1,-0.01370774981705327,0.0
ml-1m,1,EASE,-,0.0,0.0,134.81729984283447,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
ml-1m,1,CAR-SAR-EASE,car,1.0,0.1,131.0523979663849,0.3648451598588148,0.23076059176399313,0.8781218781218781,0.22356614735283661,0.29508196721311475,0.7619353530067816,2.3541237876113414,0.36602230820959186,0.20495797448299624,0.9348984348984349,0.3291436716006516,0.3820257611241218,0.7529003563486321,2.523481638018431,0.3648451598588148,0.23076059176399313,0.8781218781218781,0.22356614735283661,0.29508196721311475,0.7619353530067816,2.3541237876113414,1927034.0,6.643747947669343e-14,6006,1,0.002496272367405395,0.0
