family,prior,mu,rho,train_time_s_mean,train_time_s_std,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
CAR-SAR-EASE,car,1.0,0.1,130.19964752197265,1.0686807976107362,0.36340367811700824,0.0026256258867049516,0.2297670259533974,0.001998973038250488,0.8782178738712796,0.00483444401156616,0.22321149149553454,0.0025218014887120515,0.29326697892271664,0.0013318867875968937,0.7606118495880754,0.001322842671733106,2.3531570958292933,0.0026523325100208774,0.36484380921598725,0.00273714831910582,0.20422732619609363,0.0018211688101790018,0.9332177025567834,0.005664790601064641,0.32929601443423484,0.0033471257832913023,0.3807962529274005,0.0011413108132094876,0.7526355199195507,0.0010507571824105808,2.521237057196262,0.002260703591470146,0.36340367811700824,0.0026256258867049516,0.2297670259533974,0.001998973038250488,0.8782178738712796,0.00483444401156616,0.22321149149553454,0.0025218014887120515,0.29326697892271664,0.0013318867875968937,0.7606118495880754,0.001322842671733106,2.3531570958292933,0.0026523325100208774,1944756.3,70084.7793351024,7.81723743304571e-12,1.7442730960642093e-11,6007.4,3.4351128074635104,1.0,0.0,0.00303328558702842,0.00040546246458825387,0.0,0.0
CAR-SAR-EASE,car,1.0,0.5,130.01925263404846,0.7116399491357025,0.3634231487257511,0.0026574062007482533,0.22980599501606275,0.002020584027105881,0.8782511850045808,0.004933167472472997,0.22324307319391185,0.0025350031549301807,0.2937353629976581,0.0020864788853870546,0.7601514125590508,0.0016076059593630513,2.355308039430324,0.002619387934566184,0.3649294031578575,0.0027948748398734223,0.2043116141445472,0.0019111041999840704,0.9332843303908781,0.005566910273955771,0.32940737755299926,0.003308107735860705,0.381615925058548,0.001428139451715522,0.7522704654228356,0.0011876957588500521,2.5235612049558886,0.002145823515767391,0.3634231487257511,0.0026574062007482533,0.22980599501606275,0.002020584027105881,0.8782511850045808,0.004933167472472997,0.22324307319391185,0.0025350031549301807,0.2937353629976581,0.0020864788853870546,0.7601514125590508,0.0016076059593630513,2.355308039430324,0.002619387934566184,1935370.3,72179.01488019218,2.695070651788458e-12,5.982317621578297e-12,6007.4,3.4351128074635104,1.0,0.0,0.0030527561957712336,0.0003924298740409483,0.0,0.0
CAR-SAR-EASE,car,1.0,0.9,130.07414140701295,0.9956200103100562,0.36358968699871114,0.002614678223316131,0.2299276549964619,0.0019530728074062412,0.8784842963524527,0.005210391430701908,0.22347381742995281,0.0024995648325477054,0.2947306791569087,0.0018560734758954786,0.759984790549568,0.0014650005140029393,2.357622458007448,0.0027873925005091347,0.3650064935017924,0.002750550386551055,0.20436852484849063,0.0018642299561731793,0.93355065872222,0.005474580292064431,0.32957430279041455,0.0032402397234792425,0.3828454332552693,0.0018903845773961235,0.7521286401658275,0.0015621166394541566,2.525849957375377,0.002233803592721568,0.36358968699871114,0.002614678223316131,0.2299276549964619,0.0019530728074062412,0.8784842963524527,0.005210391430701908,0.22347381742995281,0.0024995648325477054,0.2947306791569087,0.0018560734758954786,0.759984790549568,0.0014650005140029393,2.357622458007448,0.0027873925005091347,1931691.7,82909.55673021052,8.577391573583068e-14,1.1762023253710193e-13,6007.4,3.4351128074635104,1.0,0.0,0.003219294468731284,0.000401758704250473,0.0,0.0
CAR-SAR-EASE,car,3.0,0.1,130.80582051277162,0.5798399277502848,0.3655226105900719,0.0027120035847320234,0.2321844927867181,0.0019089451117528756,0.8770529098831392,0.0049776926668866055,0.22299622819465698,0.0025870027401592626,0.2707845433255269,0.0017685957221303347,0.7649807706653912,0.0009274596738144238,2.304959138979716,0.0033182770969486654,0.3661058541833877,0.002850548128855947,0.2058588795591342,0.001984301269683151,0.9325182467268327,0.0050086041720133305,0.3285760998745798,0.00328314863597027,0.3539812646370023,0.001526745293958458,0.7549874679570326,0.00077046688483206,2.474915456918549,0.0014978710989475659,0.3655226105900719,0.0027120035847320234,0.2321844927867181,0.0019089451117528756,0.8770529098831392,0.0049776926668866055,0.22299622819465698,0.0025870027401592626,0.2707845433255269,0.0017685957221303347,0.7649807706653912,0.0009274596738144238,2.304959138979716,0.0033182770969486654,3732836.5,88684.75574330687,3.431910512649051e-10,5.074446133638781e-10,6007.4,3.4351128074635104,1.0,0.0,0.005152218060092033,0.0010495132896691727,0.0,0.0
CAR-SAR-EASE,car,3.0,0.5,130.6219205379486,1.3088428226665525,0.3655973601948103,0.0028012138822481525,0.23226364160585372,0.0020160455107833667,0.8772194930994696,0.005369984628006461,0.22301296209269528,0.002712156781311178,0.2721311475409836,0.002235200136864291,0.7638379952705862,0.0012414867043556179,2.310620238849201,0.0032046622657847823,0.3662643057233187,0.003014022969241508,0.20594708780743548,0.002076557312216632,0.9329510751379949,0.004960458020018267,0.3289529596518953,0.003519796520286646,0.35632318501170956,0.0016087390707299899,0.7544586864125632,0.0008236852954006477,2.4804588568003374,0.0014870481920676547,0.3655973601948103,0.0028012138822481525,0.23226364160585372,0.0020160455107833667,0.8772194930994696,0.005369984628006461,0.22301296209269528,0.002712156781311178,0.2721311475409836,0.002235200136864291,0.7638379952705862,0.0012414867043556179,2.310620238849201,0.0032046622657847823,3699130.9,79058.01519327438,6.012704295548014e-11,1.0050027784082749e-10,6007.4,3.4351128074635104,1.0,0.0,0.005226967664830445,0.0009759527611384784,0.0,0.0
CAR-SAR-EASE,car,3.0,0.9,130.12871494293213,0.9144801098159193,0.365645985252871,0.002817971774896003,0.23230699022884913,0.0020164951297022985,0.8777190491561152,0.005222715324265943,0.22314028319642015,0.002682977858820107,0.2734192037470726,0.0025011720565917992,0.7627151810989201,0.0013879225564642473,2.3161550124676196,0.00335875810732826,0.3663847084826539,0.0030937787293497383,0.20603021477981226,0.0021328391061071305,0.9329510918202588,0.004933810294287357,0.3292506530439042,0.0035031646197397487,0.3578454332552693,0.0017637435985236713,0.7532053105172073,0.000748917352272088,2.4862212212384036,0.001526361250975799,0.365645985252871,0.002817971774896003,0.23230699022884913,0.0020164951297022985,0.8777190491561152,0.005222715324265943,0.22314028319642015,0.002682977858820107,0.2734192037470726,0.0025011720565917992,0.7627151810989201,0.0013879225564642473,2.3161550124676196,0.00335875810732826,3686488.1,89284.76713681348,4.024967468570402e-11,5.6042870108200456e-11,6007.4,3.4351128074635104,1.0,0.0,0.005275592722891154,0.0009420935768448469,0.0,0.0
CAR-SAR-EASE,car,10.0,0.1,130.6930018901825,0.8013370933729113,0.36408521925196924,0.003059550155470508,0.23245926244730564,0.0018712196591818854,0.8718258568797198,0.004426638155916273,0.21930023803539228,0.002884480356565447,0.23536299765807964,0.0012760242808959824,0.7804989170789411,0.0020449783441496305,2.206416692248866,0.0029460793370993097,0.3630722394307643,0.0032634430382519285,0.20457309315660605,0.0020624178468398313,0.9289555582632321,0.00451316313130271,0.3232716346151374,0.0037304882998841905,0.3050936768149882,0.0042138300270366715,0.7634544031734737,0.0031584356227109074,2.3758330041254654,0.001178445831144522,0.36408521925196924,0.003059550155470508,0.23245926244730564,0.0018712196591818854,0.8718258568797198,0.004426638155916273,0.21930023803539228,0.002884480356565447,0.23536299765807964,0.0012760242808959824,0.7804989170789411,0.0020449783441496305,2.206416692248866,0.0029460793370993097,5347873.5,129892.88193931182,0.06934735509674952,0.09687044680611669,6007.4,3.4351128074635104,1.0,0.0,0.0037148267219893998,0.001994441753620475,0.0,0.0
CAR-SAR-EASE,car,10.0,0.5,130.31780128479005,0.19441298005474666,0.3644150760010551,0.0032029429604225157,0.23270297431907122,0.001985301252760817,0.8724916692480008,0.004496292798371267,0.21951707825197891,0.0029835934782379203,0.23659250585480093,0.0013478763973326995,0.7773009625002781,0.0019614621944054013,2.2178645365400516,0.0028532786530381963,0.36342496200579866,0.0030812526078982994,0.20481324011766514,0.0019677021194108844,0.9292551477751484,0.004670376611003797,0.323731017922659,0.003441337564790776,0.3064988290398126,0.004040448987658732,0.7598901323146119,0.003236476492676841,2.38805815754177,0.0014036743939131898,0.3644150760010551,0.0032029429604225157,0.23270297431907122,0.001985301252760817,0.8724916692480008,0.004496292798371267,0.21951707825197891,0.0029835934782379203,0.23659250585480093,0.0013478763973326995,0.7773009625002781,0.0019614621944054013,2.2178645365400516,0.0028532786530381963,5318454.1,119623.07464302184,0.04334525058030953,0.07635236741986129,6007.4,3.4351128074635104,1.0,0.0,0.004044683471075254,0.0019693713241180962,0.0,0.0
CAR-SAR-EASE,car,10.0,0.9,130.25838871002196,0.9518295577938491,0.36426393264641643,0.0031982861390504737,0.23251880911784456,0.001950411849312263,0.8731910198502746,0.004936060356310875,0.21958673685718533,0.0030025980496387467,0.23729508196721313,0.0014281394517154918,0.772988447798227,0.001864159785804021,2.23073277389081,0.002813141462330681,0.36333070540306645,0.003144603158240227,0.20473966874512167,0.002013845139050544,0.92928852534054,0.004819559489140006,0.32367380925150313,0.003485931325231894,0.30766978922716626,0.003997804532713022,0.7555999482647021,0.0031070303186419217,2.4014972083887307,0.0015942783508064262,0.36426393264641643,0.0031982861390504737,0.23251880911784456,0.001950411849312263,0.8731910198502746,0.004936060356310875,0.21958673685718533,0.0030025980496387467,0.23729508196721313,0.0014281394517154918,0.772988447798227,0.001864159785804021,2.23073277389081,0.002813141462330681,5320910.6,114627.29423898124,0.05060430525415145,0.0830184190762336,6007.4,3.4351128074635104,1.0,0.0,0.003893540116436558,0.0019827380329791484,0.0,0.0
CAR-SAR-EASE,car,30.0,0.1,130.16885781288147,0.6047134266631385,0.3523437146549351,0.003202793709591682,0.22363522976349928,0.001869340473372404,0.8593413616830577,0.006283681633581297,0.20920604283315067,0.002790073408233766,0.1854215456674473,0.002606866142961728,0.7966926756526005,0.0031291944768434415,2.0684237933514655,0.0031821293271749,0.34937371370339604,0.003084860527202318,0.1947821446768415,0.0017900335934169375,0.919666897483047,0.004481616426098468,0.30740638016300226,0.0033200373538206725,0.25187353629976583,0.0011818869577392558,0.7847702878317995,0.0012434428222987642,2.2326749041596945,0.0013526435495542159,0.3523437146549351,0.003202793709591682,0.22363522976349928,0.001869340473372404,0.8593413616830577,0.006283681633581297,0.20920604283315067,0.002790073408233766,0.1854215456674473,0.002606866142961728,0.7966926756526005,0.0031291944768434415,2.0684237933514655,0.0031821293271749,5775851.7,232465.48067471225,0.0005068168254377817,0.0011329574174485948,6007.4,3.4351128074635104,-1.0,0.0,-0.00802667787504481,0.002141292518795593,0.0,0.0
