dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,0,GS-EASE,rp3beta,10.0,sym,q1,5945,0.3875966263398681,0.2861407760123707,0.8847771236333053,0.40398687960084223,0.41983726083180123,0.9374264087468461
ml-1m,0,GS-EASE,rp3beta,10.0,sym,q2,4408,0.00630524823089258,0.011761756642279495,0.02722323049001815,0.012488296772861212,0.031076504061359783,0.06442831215970962
ml-1m,0,GS-EASE,rp3beta,10.0,sym,q3,2895,0.0007746851891670414,0.0013241220495106504,0.002072538860103627,0.0010707684080473842,0.002219754914055432,0.004145077720207254
ml-1m,0,GS-EASE,rp3beta,10.0,sym,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.0003482320064736607,0.0009041591320072332,0.0012055455093429777
ml-1m,0,GS-EASE,rp3beta,10.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,p3alpha,1.0,sym,overall,6008,0.36774195345351063,0.22712881502632923,0.8859853528628495,0.3688110909052528,0.3336405635206507,0.9374167776298269
ml-1m,0,Lap-EASE,p3alpha,1.0,sym,q1,5945,0.3879105037517486,0.29100109214763553,0.8888141295206056,0.40487324778029105,0.4238330189993857,0.9401177460050463
ml-1m,0,Lap-EASE,p3alpha,1.0,sym,q2,4408,0.011027215724256405,0.0209110142379388,0.04900181488203267,0.02097868709937722,0.05139508411063872,0.11547186932849365
ml-1m,0,Lap-EASE,p3alpha,1.0,sym,q3,2895,0.0012321588678132552,0.002216465169833045,0.0031088082901554403,0.0023791987927122963,0.005948555378607192,0.011053540587219343
ml-1m,0,Lap-EASE,p3alpha,1.0,sym,q4,1659,0.00043303642966736845,0.0009041591320072332,0.0012055455093429777,0.00043303642966736845,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,p3alpha,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,p3alpha,1.0,sym,overall,6008,0.3676284276751593,0.22687940577481389,0.8859853528628495,0.36889564250821755,0.33369072531774374,0.9375832223701731
ml-1m,0,GS-EASE,p3alpha,1.0,sym,q1,5945,0.3877014472515977,0.29071250082599703,0.8888141295206056,0.40480390365088265,0.4237297347779276,0.9401177460050463
ml-1m,0,GS-EASE,p3alpha,1.0,sym,q2,4408,0.011206293603753942,0.02100013790918588,0.04945553539019964,0.0213486842661103,0.05223123072064774,0.11660617059891107
ml-1m,0,GS-EASE,p3alpha,1.0,sym,q3,2895,0.0012321588678132552,0.002216465169833045,0.0031088082901554403,0.0024094292113285803,0.006034911164444843,0.011398963730569948
ml-1m,0,GS-EASE,p3alpha,1.0,sym,q4,1659,0.00043303642966736845,0.0009041591320072332,0.0012055455093429777,0.00043303642966736845,0.0009041591320072332,0.0012055455093429777
ml-1m,0,GS-EASE,p3alpha,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,p3alpha,3.0,sym,overall,6008,0.36950077117223756,0.22652096586129764,0.8834886817576565,0.369944517911907,0.33333289895223206,0.9364181091877497
ml-1m,0,Lap-EASE,p3alpha,3.0,sym,q1,5945,0.3903065566865549,0.29087639747366706,0.8871320437342305,0.40748466939724115,0.4256328110322373,0.9402859545836838
ml-1m,0,Lap-EASE,p3alpha,3.0,sym,q2,4408,0.009038646595169342,0.017240919609797435,0.03901996370235935,0.01734883035693133,0.043322713443001676,0.09233212341197822
ml-1m,0,Lap-EASE,p3alpha,3.0,sym,q3,2895,0.0010183277860764325,0.0017846862406447896,0.0024179620034542313,0.001805656402689571,0.004408805548701922,0.008290155440414507
ml-1m,0,Lap-EASE,p3alpha,3.0,sym,q4,1659,0.000366435108413165,0.0009041591320072332,0.0012055455093429777,0.000366435108413165,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,p3alpha,3.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,p3alpha,3.0,sym,overall,6008,0.36978565696582183,0.2267317653978994,0.883988015978695,0.3705029787454482,0.3340061453483383,0.9372503328894807
ml-1m,0,GS-EASE,p3alpha,3.0,sym,q1,5945,0.39057789998514775,0.2911558669965559,0.887636669470143,0.40794997189141924,0.42621055219501214,0.9406223717409588
ml-1m,0,GS-EASE,p3alpha,3.0,sym,q2,4408,0.00924216058381775,0.017530160767913364,0.0397005444646098,0.017913616416083734,0.044890495728329594,0.09482758620689655
ml-1m,0,GS-EASE,p3alpha,3.0,sym,q3,2895,0.001057307109513025,0.0018710420264824409,0.002763385146804836,0.0018398373666833466,0.004477890177372043,0.008290155440414507
ml-1m,0,GS-EASE,p3alpha,3.0,sym,q4,1659,0.0004082213904665749,0.0009041591320072332,0.0012055455093429777,0.0004082213904665749,0.0009041591320072332,0.0012055455093429777
ml-1m,0,GS-EASE,p3alpha,3.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,p3alpha,10.0,sym,overall,6008,0.3661949809405429,0.22149154748926256,0.8773302263648469,0.3652486522674858,0.32578264047377276,0.9310918774966711
ml-1m,0,Lap-EASE,p3alpha,10.0,sym,q1,5945,0.3881450068680856,0.2864180973219859,0.8837678721614802,0.40461558142228743,0.4202310173743811,0.936753574432296
ml-1m,0,Lap-EASE,p3alpha,10.0,sym,q2,4408,0.0057680616903343735,0.011107905167727689,0.024500907441016333,0.011447920998460096,0.029262627610407436,0.058303085299455534
ml-1m,0,Lap-EASE,p3alpha,10.0,sym,q3,2895,0.000610004990834606,0.000978698906160046,0.001381692573402418,0.0009230304088535545,0.0019861830742659756,0.0031088082901554403
ml-1m,0,Lap-EASE,p3alpha,10.0,sym,q4,1659,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888
ml-1m,0,Lap-EASE,p3alpha,10.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,p3alpha,10.0,sym,overall,6008,0.3676810702886406,0.22276770954874997,0.8791611185086551,0.36702750157297503,0.327635806143805,0.9322569906790945
ml-1m,0,GS-EASE,p3alpha,10.0,sym,q1,5945,0.3896573048260775,0.2879775368801924,0.8849453322119428,0.40646825166867445,0.4223879658007138,0.9384356602186712
ml-1m,0,GS-EASE,p3alpha,10.0,sym,q2,4408,0.0063898239691343355,0.012306707332796263,0.02631578947368421,0.01212287997355425,0.03052412700030973,0.0603448275862069
ml-1m,0,GS-EASE,p3alpha,10.0,sym,q3,2895,0.0006242995412140649,0.000978698906160046,0.0017271157167530224,0.0009409063842986477,0.0019861830742659756,0.0031088082901554403
ml-1m,0,GS-EASE,p3alpha,10.0,sym,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888
ml-1m,0,GS-EASE,p3alpha,10.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,itemknn,1.0,sym,overall,6008,0.3680325055982284,0.2273950714868706,0.8861517976031957,0.3690521898468095,0.3338394158259448,0.9375832223701731
ml-1m,0,Lap-EASE,itemknn,1.0,sym,q1,5945,0.3880532225830365,0.29116458046743143,0.8889823380992431,0.4049857838500069,0.4240611985954278,0.9401177460050463
ml-1m,0,Lap-EASE,itemknn,1.0,sym,q2,4408,0.011292991715756888,0.021284542217023517,0.049682395644283124,0.02124836001040238,0.051578540392476814,0.1177404718693285
ml-1m,0,Lap-EASE,itemknn,1.0,sym,q3,2895,0.0012355650093576619,0.002216465169833045,0.0031088082901554403,0.0023054477878883053,0.005603132235256587,0.01070811744386874
ml-1m,0,Lap-EASE,itemknn,1.0,sym,q4,1659,0.00044436269606346973,0.0009041591320072332,0.0012055455093429777,0.00044436269606346973,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,itemknn,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,itemknn,1.0,sym,overall,6008,0.2796681978205982,0.17315408859871045,0.8152463382157124,0.28618014030135674,0.26672199464642476,0.8991344873501997
ml-1m,0,GS-EASE,itemknn,1.0,sym,q1,5945,0.27556157734922865,0.20985728870817005,0.7983179142136249,0.2934772866996601,0.319806754650955,0.8891505466778806
