dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,0,GS-EASE,binary,0.3,sym,0.8101279735565186,0.16468238010088745,0.08649886395383966,0.6228362183754993,0.09954898996155942,0.3556791569086651,0.6040782112190604,2.893242251012656,0.17101082711841448,0.07737928934310512,0.747503328894807,0.15493652807137476,0.42271662763466045,0.6378751692111351,2.928950831476718,0.16468238010088745,0.08649886395383966,0.6228362183754993,0.09954898996155942,0.3556791569086651,0.6040782112190604,2.893242251012656
ml-1m,0,Lap-EASE,binary,1.0,sym,0.8660848140716553,0.3679153525714631,0.23375787994125746,0.8858189081225033,0.22721291766253296,0.29010538641686184,0.7606898840563743,2.349719035089899,0.3688678343448232,0.20754125870175621,0.9374167776298269,0.3334291144099425,0.37675644028103045,0.7515686026504935,2.518441309249817,0.3679153525714631,0.23375787994125746,0.8858189081225033,0.22721291766253296,0.29010538641686184,0.7606898840563743,2.349719035089899
ml-1m,0,GS-EASE,binary,1.0,sym,0.7561349868774414,0.0968316637824276,0.048432886914197545,0.4270972037283622,0.04965321008750547,0.35040983606557374,0.6065985258307776,2.9763995570735426,0.09940402494644653,0.04122123467851056,0.5505992010652463,0.08206629977779323,0.422423887587822,0.6379674409634464,3.0070648146841594,0.0968316637824276,0.048432886914197545,0.4270972037283622,0.04965321008750547,0.35040983606557374,0.6065985258307776,2.9763995570735426
ml-1m,0,Lap-EASE,binary,3.0,sym,0.6395337581634521,0.3695707232578683,0.23583780126749618,0.8844873501997337,0.22648317678186883,0.2655152224824356,0.7654379974073524,2.2974398336805986,0.37017342549648835,0.2090139731292559,0.9370838881491345,0.3335640433208979,0.3477751756440281,0.7548952546996821,2.4666676948644883,0.3695707232578683,0.23583780126749618,0.8844873501997337,0.22648317678186883,0.2655152224824356,0.7654379974073524,2.2974398336805986
ml-1m,0,GS-EASE,binary,3.0,sym,0.36718130111694336,0.09156639695527699,0.04606032014633046,0.4011318242343542,0.04332474940405741,0.3436768149882904,0.6029333404410246,3.0208128904980907,0.09151086988962058,0.038109314238630426,0.5146471371504661,0.07062922775257884,0.41920374707259955,0.6336900426991199,3.0558095967018093,0.09156639695527699,0.04606032014633046,0.4011318242343542,0.04332474940405741,0.3436768149882904,0.6029333404410246,3.0208128904980907
ml-1m,0,Lap-EASE,binary,10.0,sym,0.49352216720581055,0.366097591688035,0.234123845543852,0.8769973368841545,0.22106395277872928,0.2230679156908665,0.7750714707598967,2.1994271356271753,0.3653959425355463,0.20614967053220057,0.9307589880159787,0.3256395018829451,0.2927400468384075,0.759230742343542,2.367562554589399,0.366097591688035,0.234123845543852,0.8769973368841545,0.22106395277872928,0.2230679156908665,0.7750714707598967,2.1994271356271753
ml-1m,0,GS-EASE,binary,10.0,sym,0.39142751693725586,0.11230408802101059,0.0574990868656606,0.46537949400798934,0.053147446402810286,0.34045667447306793,0.5976337654694859,3.0944957059282165,0.11067526851654974,0.04720228664162506,0.5719041278295606,0.08539186674919368,0.4238875878220141,0.6280455709146553,3.136856934919998,0.11230408802101059,0.0574990868656606,0.46537949400798934,0.053147446402810286,0.34045667447306793,0.5976337654694859,3.0944957059282165
ml-1m,0,Lap-EASE,itemknn,0.3,sym,0.4633066654205322,0.3652907276480279,0.2311899474275334,0.8849866844207723,0.22602606020346042,0.3024004683840749,0.7579815489640789,2.375673829918886,0.3667684800347387,0.2056216365079521,0.9370838881491345,0.33227763356081746,0.390807962529274,0.749175892817068,2.5440411283217905,0.3652907276480279,0.2311899474275334,0.8849866844207723,0.22602606020346042,0.3024004683840749,0.7579815489640789,2.375673829918886
ml-1m,0,GS-EASE,itemknn,0.3,sym,0.4461698532104492,0.3468861912412931,0.2144192484734807,0.8781624500665779,0.21672407410513633,0.3966627634660422,0.7487318999022214,2.5402189059657827,0.3505208817316778,0.19156357381411643,0.9312583222370173,0.32054936195857886,0.492096018735363,0.7455923927723576,2.690502191056873,0.3468861912412931,0.2144192484734807,0.8781624500665779,0.21672407410513633,0.3966627634660422,0.7487318999022214,2.5402189059657827
ml-1m,0,Lap-EASE,itemknn,1.0,sym,0.5329127311706543,0.36814404220024033,0.2338983030656781,0.8866511318242344,0.22721721361215844,0.29596018735363,0.7626352137143881,2.355464202374442,0.3694011029690121,0.20789581512089075,0.9374167776298269,0.3340511132148688,0.38144028103044497,0.752116913953562,2.5238684072004576,0.36814404220024033,0.2338983030656781,0.8866511318242344,0.22721721361215844,0.29596018735363,0.7626352137143881,2.355464202374442
