dataset,model,w_source,gamma,normalise,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count
ml-1m,GS-EASE,rp3beta,1.0,sym,0.3645610351227468,0.0028142522237269755,5,0.23096547824732577,0.002018638578555632,5,0.8784512676888582,0.005590212465667139,5,0.22361416680641466,0.0028562600513281976,5,0.2950234192037471,0.0015407139773935309,5,0.7635110973725656,0.0010125538250154355,5,2.350656350825029,0.0029599179405399036,5,0.36597919726541356,0.0027632197567758056,5,0.20532025861657516,0.0019165778032168774,5,0.9333508141667263,0.005582748493003642,5,0.32996860197249656,0.003113912647934626,5,0.38231850117096017,0.002422854999597025,5,0.7546719819920809,0.0013883631418355174,5,2.5188933730945764,0.002042862259295554,5
ml-1m,GS-EASE,rp3beta,3.0,sym,0.3665106121983434,0.0027307811014253476,5,0.2333589901004487,0.001771177890142222,5,0.8771534082500546,0.00556097608593169,5,0.22335758649213844,0.0027085822550783935,5,0.27242388758782204,0.00026183465778685484,5,0.7688700696154992,0.0007785452202258427,5,2.301374615271881,0.003172392472575769,5,0.3669136558943427,0.002767544635123209,5,0.2066985244095137,0.0018970388566257501,5,0.9327844975113126,0.004518786824187107,5,0.32924335316076886,0.0032098357649429695,5,0.3576112412177986,0.0027894916275343386,5,0.7593298796831508,0.0015091489265399401,5,2.4716161578846494,0.0016537171129050695,5
ml-1m,GS-EASE,rp3beta,10.0,sym,0.36262140584710684,0.00321264275564547,5,0.23139150972801156,0.0018852538215269933,5,0.8713933328634571,0.005759832178974345,5,0.21825717808738138,0.0029250885583921205,5,0.23548009367681502,0.0012692905965268632,5,0.7826190576549694,0.0014679247075723098,5,2.206968847273258,0.0025517845634431035,5,0.361129671696097,0.003296503405460518,5,0.2032166660953508,0.002013839790294831,5,0.9280567675422506,0.004309798669577919,5,0.32092860041579224,0.003568162781789917,5,0.3057962529274004,0.0023655859310113382,5,0.7653289881107923,0.0013853089533713465,5,2.3766741515149965,0.0016097599885098594,5
ml-1m,Lap-EASE,binary,1.0,sym,0.3645859352930457,0.002656277984323323,5,0.23095955671103638,0.0018206514366839364,5,0.8785842739992148,0.005421793432817125,5,0.2236266795426173,0.0028091673108455056,5,0.2909836065573771,0.0013254369347390923,5,0.7626690128001146,0.001056213091872049,5,2.3453369983135715,0.0030246889806990777,5,0.3657902214372998,0.0026995365833019772,5,0.2052010238790592,0.0017891233882027745,5,0.9332842472543683,0.005360192514480298,5,0.3296159844095929,0.0030366285330156602,5,0.3786299765807962,0.002215947408404643,5,0.7544549475876565,0.0014354880128070679,5,2.513893534469384,0.002050587998591834,5
ml-1m,Lap-EASE,binary,3.0,sym,0.366623606797307,0.002806978609801225,5,0.23353070224532463,0.0017946131044598234,5,0.8768870079984247,0.005753372807004553,5,0.2232556141213889,0.002743957119469656,5,0.2647540983606557,0.0007633726469792397,5,0.7677222301249962,0.0012351776344183521,5,2.289483918529977,0.0031259014876946416,5,0.3668119780496455,0.002758980654492671,5,0.2067216456914734,0.0018711178438870109,5,0.932617914223073,0.004569967646703846,5,0.32885701881099616,0.0032986022461999652,5,0.34853629976580797,0.004199569986049016,5,0.7582687857776313,0.002529334868491405,5,2.459424811152693,0.0015119640516476182,5
ml-1m,Lap-EASE,binary,10.0,sym,0.3627314342956601,0.003462361502995927,5,0.23173767052456307,0.0019559264074094523,5,0.8698621072455215,0.0057161648550009,5,0.21789132450099938,0.0033012928653540865,5,0.2230679156908665,0.001642999437986212,5,0.7822358628834198,0.0019501221190614865,5,2.1813955172322643,0.002817702147232891,5,0.3610932814914878,0.0033417792275857996,5,0.20335611123229919,0.0020414490576065297,5,0.9273907613437409,0.004014007287387278,5,0.32057924277594824,0.003410904835156464,5,0.29145199063231847,0.002812438202453261,5,0.7655855757438909,0.0021075128330270577,5,2.349346259257315,0.0014384975620591455,5
ml-1m,Lap-EASE,itemknn,1.0,sym,0.3646201817115998,0.002817138731166404,5,0.23101846337994295,0.001961460879659322,5,0.8783846676296434,0.005698921798890156,5,0.2236194954584012,0.002832642605479619,5,0.29443793911007027,0.0013636785361653434,5,0.7634963255740617,0.0009507106826786751,5,2.349533074071617,0.0029253159353647383,5,0.3659585299965561,0.002781127757957513,5,0.2052725635252778,0.0019021922030605517,5,0.9337836481601511,0.005456535661018038,5,0.32998982972101926,0.0030432865557028814,5,0.3820257611241218,0.0023143132758843676,5,0.7549455658987204,0.0014616730660711153,5,2.5177102664789275,0.0022286301134971822,5
ml-1m,Lap-EASE,itemknn,3.0,sym,0.3663921499591143,0.00266816017397924,5,0.2332554071852877,0.0016838488242866718,5,0.8768535084364126,0.005562862962335924,5,0.22313610455495558,0.0026172142559373777,5,0.27137002341920374,0.000717063742032538,5,0.7688546874320027,0.0011164678290127726,5,2.2990460457857664,0.0030177084880276877,5,0.36685330576776165,0.002780786670416768,5,0.20665326111636548,0.0019495066630824242,5,0.9325178700353852,0.004134190266535983,5,0.32909900277167276,0.0031788010729594607,5,0.35632318501170956,0.0034226807735512972,5,0.7594881372816396,0.0018616581301789006,5,2.468814248607987,0.001760325883329897,5
ml-1m,Lap-EASE,itemknn,10.0,sym,0.362285654093748,0.0032472330646756884,5,0.23117852830502028,0.0019053651391927053,5,0.8706941926003164,0.00595993137120212,5,0.21788215126889132,0.0031528420634529502,5,0.23407494145199065,0.0016246413261723199,5,0.7833043300607482,0.0022540526341011916,5,2.2013815740664917,0.00294228642626654,5,0.3608833248734255,0.003249723104383474,5,0.2030305352774892,0.0020841533876000467,5,0.9279236617174709,0.004466326058884167,5,0.3205750134813505,0.003486906927104853,5,0.30462529274004685,0.002428154725214005,5,0.7668475191288231,0.0014813531533169047,5,2.3696684660965657,0.0019409880618856796,5
ml-1m,Lap-EASE,p3alpha,1.0,sym,0.3645649767456035,0.0027234954683876896,5,0.23097652050931922,0.001875755661030843,5,0.8784179787481742,0.005636077787469437,5,0.22352666240012692,0.0028704754345023177,5,0.2913934426229508,0.0016508047049030152,5,0.7622105316331066,0.0011575666628917125,5,2.3474648804008402,0.0030788066055309035,5,0.3658807673586285,0.0026899894562389397,5,0.20525341728074187,0.0017995780536504723,5,0.9333175805655165,0.005541694393576168,5,0.32980345080001244,0.003103559840809647,5,0.3797423887587822,0.001935186637123934,5,0.7544255924035227,0.0013378220981456847,5,2.51599949264805,0.0020193374569124857,5
ml-1m,Lap-EASE,p3alpha,3.0,sym,0.36662731716486585,0.0028113966480741554,5,0.23349897163995642,0.0017791447999746532,5,0.8772867303079659,0.006016808820270651,5,0.22340115503997135,0.002775227725781306,5,0.2657494145199063,0.0007289168382897233,5,0.76679181071021,0.0012727049013431886,5,2.2943033309643637,0.003200136507436028,5,0.36689292350117564,0.002702010841962569,5,0.20675176987881372,0.0018033108552927086,5,0.9327512029883659,0.004749843256630678,5,0.3290850203813036,0.003185644423748037,5,0.35011709601873536,0.003737454723303181,5,0.7574668636596602,0.0022516416948199264,5,2.4646862989620475,0.0015941408208837483,5
ml-1m,Lap-EASE,p3alpha,10.0,sym,0.3629805882440116,0.0033681845107016704,5,0.23188747837929075,0.00192168447990575,5,0.8702948637216252,0.005669063211233786,5,0.21821977221024452,0.0032330476342489266,5,0.22476580796252926,0.001595366111643875,5,0.7803505190263303,0.0017055925707149188,5,2.191432147047189,0.002941138817740092,5,0.3613758353188586,0.0032865891211146946,5,0.20349744179673782,0.0020379491347491457,5,0.9277238282250522,0.004180031565335414,5,0.3209872759962977,0.0034847876914298652,5,0.2941451990632319,0.002417543655979234,5,0.7636921098439458,0.0018736229713005336,5,2.3607543532112043,0.0014588921598386831,5
ml-1m,Lap-EASE,rp3beta,1.0,sym,0.3645565796315921,0.0028151809263337615,5,0.23096459722738177,0.0020218115689976703,5,0.8784179565629421,0.005569856193432353,5,0.22358694111958463,0.0028442519952884184,5,0.2948477751756441,0.0014695433721324432,5,0.7634062684947371,0.0009856790012715048,5,2.3505847473761605,0.0029525552233409125,5,0.36597266776568343,0.002758210398625463,5,0.2053193990473065,0.0019235645467770666,5,0.9333175252186571,0.005551611519569879,5,0.3299262166565545,0.00304479102185213,5,0.3822599531615925,0.0023180132195350384,5,0.7546872011265648,0.0013351742675902815,5,2.518790555484366,0.0020433769625503926,5
ml-1m,Lap-EASE,rp3beta,3.0,sym,0.366499564460204,0.0027401764106703324,5,0.23334768751227913,0.0017671221526695973,5,0.8771866971981238,0.005604968911442402,5,0.22334727180775493,0.002730880086816702,5,0.27230679156908666,0.0004342036584950705,5,0.7688484710937612,0.0005930676676940622,5,2.3012014012314426,0.003213111216342108,5,0.36689459698550086,0.0027599047910542617,5,0.20668382484153686,0.0018952065240330136,5,0.9327179085299433,0.004515849228331258,5,0.32921748832043746,0.0031841753739771895,5,0.35743559718969553,0.0025936834231073424,5,0.7592994224454224,0.001465150834567708,5,2.4714336615800976,0.001597171232997729,5
ml-1m,Lap-EASE,rp3beta,10.0,sym,0.36255849452416966,0.0032149960471856923,5,0.23136382788917506,0.001886869185935299,5,0.8712268492777706,0.005790349168260802,5,0.21818897296567555,0.0029558862814039024,5,0.23495316159250587,0.0011450589704688485,5,0.7823782597877906,0.0015061228058865714,5,2.206530833374741,0.002586869162585047,5,0.36111167711855596,0.003292437184048824,5,0.20320682231928444,0.0020194084883031695,5,0.9280234785941814,0.004253438760660251,5,0.32094958858248107,0.0035335496189261733,5,0.30521077283372366,0.0024281547252140104,5,0.7651013187033822,0.0014275004398761604,5,2.376180149565885,0.0016383940922354463,5
