dataset,model,w_source,gamma,normalise,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count
ml-1m,EASE,,0.0,,0.3603703925299798,0.0025525765180416013,5,0.22665307731728462,0.0020495652277835842,5,0.8776849569462767,0.005220623753779892,5,0.22233609029995124,0.0022356066082815547,5,0.3100702576112412,0.0018790171587682928,5,0.7587277347955784,0.0016148456014131228,5,2.385208158669514,0.0016143006190546159,5,0.36221140741312974,0.0027321023063977146,5,0.20180867291377852,0.0019402606325770399,5,0.9332843525834955,0.005798369801854602,5,0.3277578853329016,0.0030004655386439115,5,0.3997072599531616,0.0022447645799392024,5,0.7512481236122811,0.001710510656808872,5,2.5519102378522995,0.002321282090163353,5
ml-1m,GS-EASE,binary,0.3,sym,0.16553295050707711,0.0019415873363130077,5,0.0868249421681093,0.0012006856095522767,5,0.6274949405108161,0.00542373537319336,5,0.1008055883706616,0.0016316525642086227,5,0.35620608899297423,0.0040159837563565675,5,0.6057776026053971,0.004895997540034841,5,2.8872490383008507,0.00361875982224686,5,0.1721567159317934,0.0021016879768431663,5,0.0777483478959511,0.0010263905897394615,5,0.7535403963507905,0.007368200181269294,5,0.15725277539038487,0.002814742005383008,5,0.42909836065573775,0.0038581761071116104,5,0.6437419073163797,0.0035125050569545257,5,2.925726381369208,0.0027618897948626184,5
ml-1m,GS-EASE,binary,1.0,sym,0.09722515009855133,0.0014406250093687118,5,0.04859363905032159,0.0008402868953499907,5,0.42497853321830564,0.0062203330674536995,5,0.05033726962818591,0.0010311309704149523,5,0.3511709601873536,0.0013668170409752614,5,0.6074039661525827,0.002315742932206907,5,2.9742680036941085,0.0018720209756422654,5,0.10056622935415953,0.0014246677190239566,5,0.041612838123989034,0.0006468749785530784,5,0.5581141665927982,0.007059637009859448,5,0.08466183860811469,0.0019431386201860005,5,0.42459016393442617,0.002968101137151429,5,0.6396504245794208,0.002073433873704313,5,3.0061099401536944,0.0016862879700304764,5
ml-1m,GS-EASE,binary,3.0,sym,0.09152160868409347,0.0011847475016132122,5,0.045797738548554214,0.0006110742726787558,5,0.40067479698510383,0.0058696311102580745,5,0.04352101685150722,0.0008539689966606549,5,0.3434426229508197,0.0021847901823238126,5,0.6027043469866027,0.0018369374926938962,5,3.021314591172417,0.0008107561230360199,5,0.09231314083593252,0.0012695511111967296,5,0.038158876680653854,0.0005328574680709613,5,0.5182641040769025,0.007895889978932988,5,0.07285859753305814,0.00193050264221833,5,0.418559718969555,0.003229441538763838,5,0.6335749810111946,0.0027725381005745454,5,3.056462364812281,0.00181061678855733,5
ml-1m,GS-EASE,binary,10.0,sym,0.11316767273440005,0.0013535357821569218,5,0.05772794299466315,0.0008181871169572164,5,0.46496187373532755,0.005528144597081715,5,0.05412894912474201,0.0008025807007846188,5,0.34156908665105384,0.0036233602919826264,5,0.598811545462387,0.004683455332976294,5,3.097143800107077,0.002636435678932266,5,0.11167167933980313,0.0013231119074312873,5,0.04747766770719987,0.0006217016488919598,5,0.5768563645623037,0.003633171785146859,5,0.08646479762105391,0.0014695900860824311,5,0.42564402810304447,0.003932970972641803,5,0.6301225977161315,0.002940310317513868,5,3.137871651524248,0.002592695657590722,5
ml-1m,GS-EASE,itemknn,0.3,sym,0.3444725048146634,0.0025773026715498666,5,0.2124251750895577,0.0017703299823683307,5,0.8711606315789455,0.006151030126062127,5,0.2141111735884869,0.0033035331212981594,5,0.39836065573770496,0.0042290552844920495,5,0.7498516433553754,0.002335693805552922,5,2.5376497016489314,0.0018807524172051952,5,0.34773349175610546,0.002753922546107444,5,0.18945754660374708,0.0019760595301899346,5,0.9298219082770786,0.006315537899016617,5,0.3175312616339459,0.0030195491447062087,5,0.4909250585480094,0.0021611274971067556,5,0.7449242645966191,0.0009825150082433695,5,2.689469864353282,0.0030988987027986393,5
ml-1m,GS-EASE,itemknn,1.0,sym,0.27484007684913897,0.001828578462967502,5,0.15666257422183977,0.0017079819561975804,5,0.813798046169423,0.004102313457572401,5,0.17122911381587447,0.001120175044812285,5,0.5046838407494145,0.001357379756366494,5,0.6987521100583528,0.0014469967587742612,5,2.8527288108334043,0.0026999938139079574,5,0.28098879732126747,0.0018037656385822625,5,0.13892803011505986,0.0016731804087374398,5,0.8966621730457872,0.004135793024920312,5,0.2631339406083365,0.0015304405014122746,5,0.5953161592505855,0.004022380336608345,5,0.708831469633346,0.002588917303774661,5,2.9460787787683893,0.0031591397757219407,5
ml-1m,GS-EASE,itemknn,3.0,sym,0.20473267644874132,0.0009948012743556758,5,0.10747475168952539,0.0004809486445654645,5,0.7175845706096936,0.007611599272490668,5,0.12408931835213093,0.0008217691480530893,5,0.5549180327868852,0.0029244716027499794,5,0.6524370414217786,0.0022585415758007584,5,3.120680142296408,0.0039926530153387586,5,0.2118021261187531,0.0009369071749018404,5,0.09421362486212854,0.0007517312733978808,5,0.8289786195904464,0.002623154792969892,5,0.19920507048141656,0.00032461971234616323,5,0.6423887587822014,0.0012860587023705411,5,0.6713459218071565,0.0016245394496669477,5,3.169909848799817,0.005018732177614885,5
ml-1m,GS-EASE,itemknn,10.0,sym,0.19457253134684552,0.0005646472890399945,5,0.10100627554205499,0.0003019821633807235,5,0.7010377043944842,0.006306173451652991,5,0.11693297975357528,0.001023839665503787,5,0.5379976580796253,0.005403413515762099,5,0.6367836967538052,0.0035699045128006635,5,3.202857788519709,0.00294039255904024,5,0.20173474341466563,0.0007206323363696445,5,0.08841148757467218,0.0002842043722828399,5,0.8160613959875826,0.0028913393666516554,5,0.1893085263321151,0.0003429729398776692,5,0.6245901639344262,0.00331585450577145,5,0.6560221880610844,0.002264498339164169,5,3.242440952414751,0.004903081447691302,5
ml-1m,GS-EASE,rp3beta,0.3,sym,0.36221631185721936,0.0026542149647004578,5,0.2284986997363708,0.002038522633097752,5,0.8778183675993547,0.005270835900783581,5,0.22293608491087222,0.002439040521435044,5,0.305327868852459,0.0026830068471638438,5,0.759560679800573,0.0019117546512595206,5,2.3757586752067152,0.0017920860273552732,5,0.3639436451938207,0.0027214180555478534,5,0.20337145256453013,0.0019076606914668398,5,0.9335504703728038,0.005119527987217894,5,0.3287955096876341,0.0030349032851633697,5,0.3946135831381733,0.0020699847224430333,5,0.7521281837456826,0.001733912735039935,5,2.542726644557579,0.0018712581816761806,5
