family,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
RP3beta,88429329.5,0.0,30037,-1,-0.05798368572737364,-0.0337530204313512
Hybrid-Score,88434589.5,0.0046920863024739416,30037,-1,-9.008398237641177e-05,0.0
Hybrid-Matrix,107597133.0,1.772090315314205e-135,30037,-1,-0.013849747561109793,0.0
Hybrid-GraphReg,96311869.0,6.861500121367721e-73,30037,-1,-0.005659709603780823,0.0
Laplacian-EASE,32518025.5,1.014067484926123e-06,30037,1,0.000540914238830492,0.0
