model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-Score,0.5,500,0.3,200,16.923900365829468,1,0.3657975492438376,0.23216584328474915,0.8772893772893773,0.223299075139516,0.26785714285714285,0.7978573339229078,2.2132957081932285,0.36488536931869725,0.2048459756404132,0.9329004329004329,0.3264655063361891,0.35714285714285715,0.7915001665001664,2.3795412757147574,0.3657975492438376,0.23216584328474915,0.8772893772893773,0.223299075139516,0.26785714285714285,0.7978573339229078,2.2132957081932285,3646392.5,0.0034124412545518813,6006,-1,-0.0007920372893408158,0.0
Hybrid-Score,0.7,500,0.3,200,16.994974613189697,1,0.36682806602440293,0.23304117304967645,0.8791208791208791,0.22404049356156888,0.2889344262295082,0.7807776485588036,2.2951528097514142,0.3671071271332285,0.20655686963412104,0.9348984348984349,0.3287715592399988,0.3796838407494145,0.7725886809155891,2.4661429347635675,0.36682806602440293,0.23304117304967645,0.8791208791208791,0.22404049356156888,0.2889344262295082,0.7807776485588036,2.2951528097514142,3699683.0,0.15514188742050844,6006,1,0.00023847949122443387,0.0
Hybrid-Score,0.3,500,0.6,200,10.25326156616211,1,0.3600771305986841,0.2272833503105612,0.873959373959374,0.22024924569027893,0.26727166276346603,0.8284689024009944,2.1327066463137987,0.3580962158674739,0.19938088572727247,0.9329004329004329,0.32052451567505197,0.35655737704918034,0.8205010233335357,2.297701269412,0.3600771305986841,0.2272833503105612,0.873959373959374,0.22024924569027893,0.26727166276346603,0.8284689024009944,2.1327066463137987,4114426.5,1.6235239295049626e-11,6006,-1,-0.006512455934494323,0.0
Hybrid-Score,0.5,500,0.6,200,10.851764917373657,1,0.36637302322036325,0.2329851269080294,0.8776223776223776,0.22320354419079677,0.2810304449648712,0.8021044580419581,2.226774808677065,0.3658461517508752,0.20565724583360148,0.9348984348984349,0.3276274733194926,0.3729508196721312,0.7938665729874521,2.3983099099202017,0.36637302322036325,0.2329851269080294,0.8776223776223776,0.22320354419079677,0.2810304449648712,0.8021044580419581,2.226774808677065,3631052.0,0.06299672927226128,6006,-1,-0.0002165633128152341,0.0
Hybrid-Score,0.7,500,0.6,200,7.072057247161865,1,0.3673478821659042,0.23353221028887128,0.8792873792873793,0.22390429282911237,0.2965456674473068,0.7846028601211228,2.2991783180549126,0.3679472300690356,0.20723279787038082,0.9352314352314353,0.32978715790679375,0.3840749414519906,0.773567895519115,2.4710229015846568,0.3673478821659042,0.23353221028887128,0.8792873792873793,0.22390429282911237,0.2965456674473068,0.7846028601211228,2.2991783180549126,3534915.0,0.46194625331519923,6006,1,0.0007582956327256224,0.0
Hybrid-Score,0.3,200,0.3,200,14.460991144180298,2,0.3492501363140723,0.2161960405553516,0.8742504996668887,0.21639913288395782,0.25936768149882905,0.8274602484724254,2.1092279820248425,0.34779380008526845,0.18941174579804015,0.9345436375749501,0.31612097166984976,0.3463114754098361,0.8248619826849724,2.2602670281924353,0.3492501363140723,0.2161960405553516,0.8742504996668887,0.21639913288395782,0.25936768149882905,0.8274602484724254,2.1092279820248425,4369098.0,3.0983953346623312e-37,6004,-1,-0.01588022744974191,0.0
Hybrid-Score,0.5,200,0.3,200,7.9336888790130615,2,0.354549703985485,0.22126468112444228,0.8760826115922719,0.21875718036775238,0.2965456674473068,0.7985445372713025,2.2513935467727624,0.35504257695411334,0.19543096594821516,0.9362091938707529,0.3223879994524475,0.390807962529274,0.7948003578138918,2.4117911176197624,0.354549703985485,0.22126468112444228,0.8760826115922719,0.21875718036775238,0.2965456674473068,0.7985445372713025,2.2513935467727624,4558847.5,5.0468656008625156e-27,6004,-1,-0.010580659778329244,0.0
Hybrid-Score,0.7,200,0.3,200,6.874217987060547,2,0.35204782720795086,0.21894079049131435,0.8769153897401732,0.21770965379226365,0.32289227166276346,0.7769222452484081,2.353256995302998,0.35454152722723503,0.19488676564025642,0.9368754163890739,0.32222700173906993,0.4174473067915691,0.7719492171184617,2.5154690428302593,0.35204782720795086,0.21894079049131435,0.8769153897401732,0.21770965379226365,0.32289227166276346,0.7769222452484081,2.353256995302998,4493120.0,1.256296256389235e-38,6004,-1,-0.013082536555863446,0.0
Hybrid-Score,0.3,200,0.6,200,7.0439488887786865,2,0.3551605926801106,0.2215880152922323,0.8780812791472352,0.21961913067935043,0.28951990632318503,0.8297991093231409,2.1565257687144186,0.35413023924358106,0.19455078451174287,0.9397068620919387,0.32108870498263753,0.3831967213114754,0.8246352826152568,2.315654237336148,0.3551605926801106,0.2215880152922323,0.8780812791472352,0.21961913067935043,0.28951990632318503,0.8297991093231409,2.1565257687144186,4626226.5,1.71482489736789e-18,6004,-1,-0.009969771083703753,0.0
Hybrid-Score,0.5,200,0.6,200,7.336947679519653,2,0.3587365476156837,0.22520053739473925,0.8780812791472352,0.22071646184224722,0.3082552693208431,0.80084388185654,2.266109904494009,0.3582870381590909,0.1983110957032094,0.9380413057961359,0.3241847670965588,0.40807962529274006,0.797865734178171,2.4296501691213366,0.3587365476156837,0.22520053739473925,0.8780812791472352,0.22071646184224722,0.3082552693208431,0.80084388185654,2.266109904494009,4751999.5,4.3394480343271696e-13,6004,-1,-0.006393816148130608,0.0
Hybrid-Score,0.7,200,0.6,200,10.310527086257935,2,0.3546230963684245,0.22132990416106235,0.8792471685542972,0.21874807367667473,0.32903981264637,0.780050162288012,2.355476866056954,0.35694305835645423,0.1970101106765195,0.9368754163890739,0.323797828556835,0.4238875878220141,0.7746684760804032,2.5186161596800893,0.3546230963684245,0.22132990416106235,0.8792471685542972,0.21874807367667473,0.32903981264637,0.780050162288012,2.355476866056954,4540350.0,5.648543007323899e-30,6004,-1,-0.010507267395389866,0.0
Hybrid-Score,0.3,500,0.3,200,7.60265588760376,2,0.355819701788865,0.22237373761932291,0.8769153897401732,0.21883795271701567,0.2374121779859485,0.8293830828769311,2.0765624998232646,0.3541260083721767,0.19469821967061066,0.9363757495003331,0.32006054177316573,0.31176814988290397,0.8202237162705301,2.2300438860610954,0.355819701788865,0.22237373761932291,0.8769153897401732,0.21883795271701567,0.2374121779859485,0.8293830828769311,2.0765624998232646,4020246.5,2.9407439396755716e-17,6004,-1,-0.009310661974949268,0.0
Hybrid-Score,0.5,500,0.3,200,7.077775239944458,2,0.36459535572268703,0.23018201505748495,0.8809127248501,0.22391082579023075,0.2661007025761124,0.8014156312366747,2.2015295739409635,0.3633655188621589,0.20226311762557048,0.9397068620919387,0.3286605323701323,0.3556791569086651,0.7950147089868755,2.3674342252310385,0.36459535572268703,0.23018201505748495,0.8809127248501,0.22391082579023075,0.2661007025761124,0.8014156312366747,2.2015295739409635,3850274.5,0.10183128385038837,6004,-1,-0.0005350080411272821,0.0
Hybrid-Score,0.7,500,0.3,200,7.025610685348511,2,0.3645557446747228,0.23036620574525857,0.8807461692205196,0.22348616456534234,0.28600702576112413,0.7802958041619474,2.2901080200736015,0.36557050654895223,0.20409972902844736,0.9400399733510992,0.33051619977383845,0.37617096018735363,0.7738992293075693,2.4568603944331198,0.3645557446747228,0.23036620574525857,0.8807461692205196,0.22348616456534234,0.28600702576112413,0.7802958041619474,2.2901080200736015,3756754.0,0.01546518381535308,6004,-1,-0.0005746190890914973,0.0
Hybrid-Score,0.3,500,0.6,200,7.299383163452148,2,0.35802292956796206,0.22471806890119783,0.8780812791472352,0.2191888464212049,0.26434426229508196,0.8296615840454833,2.1250400634992976,0.35710263315001034,0.19729926344449283,0.9378747501665556,0.3217088165755029,0.3524590163934426,0.8214335653307541,2.2885693698110114,0.35802292956796206,0.22471806890119783,0.8780812791472352,0.2191888464212049,0.26434426229508196,0.8296615840454833,2.1250400634992976,4275673.0,7.080149487370038e-11,6004,-1,-0.007107434195852284,0.0
Hybrid-Score,0.5,500,0.6,200,8.655134201049805,2,0.36564323582202574,0.23155268642606447,0.8809127248501,0.22377429737075102,0.28307962529274006,0.8058170457888467,2.2194326863764755,0.3647409727419633,0.2036276675079871,0.938707528314457,0.328873824707049,0.3706088992974239,0.7960386598507787,2.3877844731072613,0.36564323582202574,0.23155268642606447,0.8809127248501,0.22377429737075102,0.28307962529274006,0.8058170457888467,2.2194326863764755,3915363.0,0.7826547128483448,6004,1,0.0005128720582114113,0.0
Hybrid-Score,0.7,500,0.6,200,6.983069181442261,2,0.36509091671620497,0.23110310425031164,0.8819120586275816,0.2236297829717137,0.29156908665105385,0.7825472442735633,2.294603020530645,0.3660265871091977,0.20464720281781928,0.9402065289806796,0.3306864275701744,0.3820257611241218,0.7753544635632439,2.462318479863114,0.36509091671620497,0.23110310425031164,0.8819120586275816,0.2236297829717137,0.29156908665105385,0.7825472442735633,2.294603020530645,3588375.0,0.22202049501557397,6004,-1,-3.944704760926484e-05,0.0
Hybrid-Score,0.3,200,0.3,200,15.422919273376465,3,0.34574649854796036,0.21593912769603038,0.8641277232662564,0.21222350635410717,0.26727166276346603,0.8242453144146062,2.1312701233362765,0.345496493466224,0.19000528940754377,0.919674039580908,0.31230759166351724,0.3556791569086651,0.8223876799171068,2.279665146210935,0.34574649854796036,0.21593912769603038,0.8641277232662564,0.21222350635410717,0.26727166276346603,0.8242453144146062,2.1312701233362765,4131915.5,5.50061801754152e-39,6013,-1,-0.016243429970347938,0.0
Hybrid-Score,0.5,200,0.3,200,6.8700110912323,3,0.3511899024325364,0.22056489048859748,0.8676201563279561,0.21480735200209156,0.30005854800936765,0.7946512637253431,2.2675971927835894,0.3517235405313846,0.194940636891919,0.9210044902710793,0.31744024196390114,0.3966627634660422,0.7911634999935564,2.4295715518802403,0.3511899024325364,0.22056489048859748,0.8676201563279561,0.21480735200209156,0.30005854800936765,0.7946512637253431,2.2675971927835894,4384201.0,3.85394259660039e-24,6013,-1,-0.010800026085771849,0.0
