dataset,model,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k,wilcoxon_vs_SLIM_stat,wilcoxon_vs_SLIM_p,wilcoxon_vs_SLIM_n_pairs,wilcoxon_vs_SLIM_sign,wilcoxon_vs_SLIM_median_diff,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_median_diff
ml-1m,SLIM,0.0,,,522.6454200744629,0.1124125526344679,0.05334279035976019,0.5076380728554641,0.08535750700984925,0.12672664463121877,0.05032988168598717,0.6839012925969448,0.1449236949030606,0.1124125526344679,0.05334279035976019,0.5076380728554641,0.08535750700984925,,,0,0,,,,0,0,
ml-1m,EASE,0.0,,,148.71463561058044,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.12998526618389683,0.052330845697061174,0.6822225952660735,0.1536942111527436,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,2556118.5,0.448678754519773,5957,0,0.0,,,0,0,
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,161.66420483589172,0.11960135268695173,0.05817158022940336,0.5140171227127749,0.08885555950809419,0.13450592794354227,0.05487920441263214,0.6837334228638576,0.15287380690591373,0.11960135268695173,0.05817158022940336,0.5140171227127749,0.08885555950809419,2244398.5,6.013448683706365e-12,5957,0,0.0,2034100.5,2.599202635724377e-10,5957,0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,164.06370329856873,0.12111361295491715,0.059095986329423186,0.515527950310559,0.08908195619647902,0.1344413341569526,0.055003473309778256,0.677522242739634,0.14942086771808138,0.12111361295491715,0.059095986329423186,0.515527950310559,0.08908195619647902,2546506.0,2.279233985617757e-11,5957,0,0.0,2278163.0,1.3491224535571136e-11,5957,0,0.0
ml-1m,SLIM-Laplacian,75.0,rp3beta,sym,129.30399441719055,0.12146342435651337,0.059322597304703184,0.5103239885848582,0.0850352311540812,0.1334244837028584,0.054689852498547756,0.6652677522242739,0.14265933232930578,0.12146342435651337,0.059322597304703184,0.5103239885848582,0.0850352311540812,2751917.5,4.774470216465557e-10,5957,0,0.0,2533210.5,2.945506971930583e-10,5957,0,0.0
ml-1m,SLIM-Laplacian,100.0,rp3beta,sym,132.30039238929749,0.12078401623649733,0.05899138025505963,0.5091489004532482,0.08312216540345813,0.13274542559657082,0.05438524546002728,0.6630854456941413,0.14051820758069233,0.12078401623649733,0.05899138025505963,0.5091489004532482,0.08312216540345813,2873826.5,2.2146711000241712e-08,5957,0,0.0,2641567.5,2.6686874906815284e-08,5957,0,0.0
ml-1m,SLIM-Laplacian,150.0,rp3beta,sym,135.65637803077698,0.12028018885734193,0.058863644774617856,0.5057915057915058,0.08112075472598362,0.13116045747431787,0.053766628292199005,0.6551955682390465,0.13533012894593152,0.12028018885734193,0.058863644774617856,0.5057915057915058,0.08112075472598362,2989015.0,4.1674674649481296e-07,5957,0,0.0,2792819.5,1.602805406081396e-06,5957,0,0.0
ml-1m,SLIM-Laplacian,200.0,rp3beta,sym,131.83589839935303,0.11917054487365367,0.05844750346746797,0.5014268927312405,0.07850075086360757,0.12961355390714427,0.05311911534309403,0.6488165183817358,0.1320467448348692,0.11917054487365367,0.05844750346746797,0.5014268927312405,0.07850075086360757,3110884.5,2.4143550242245362e-05,5957,0,0.0,2954690.5,9.203458031891897e-05,5957,0,0.0
