dataset,model,gamma,graph_source,NDCG@k,MAP@k,HitRate@k,Recall@k,train_time_s
ml-small,SLIM,0.0,,0.10488331666840092,0.05007037572383272,0.4468802698145025,0.07277773054431262,104.85032939910889
ml-small,EASE,0.0,,0.12229157207816574,0.06012979517270652,0.5008431703204047,0.08759222622341274,16.451956510543823
ml-small,SLIM-Laplacian,0.3,rp3beta,0.11773135032831598,0.05774120746918466,0.47386172006745364,0.0786306353678381,76.08583784103394
ml-small,SLIM-Laplacian,1.0,rp3beta,0.11830780933650444,0.05811974186964149,0.47386172006745364,0.07958065328203154,76.27271604537964
ml-small,SLIM-Laplacian,3.0,rp3beta,0.11817734209038712,0.058023394418038284,0.47554806070826305,0.07934096733107586,76.33251619338989
ml-small,SLIM-Laplacian,10.0,rp3beta,0.11970733563942985,0.058925133634741764,0.4822934232715008,0.08120589701272915,76.56852412223816
