model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-Matrix,0.3,200,0.3,200,3.683906316757202,0.10981723897665185,0.05502464557742402,0.4418212478920742,0.07313210041546028,0.0762061403508772,0.74958326761862,1.9168129903778077,0.12364369127514935,0.05106749817340336,0.5834738617200674,0.13831790801401553,0.11842105263157894,0.7567957185684842,2.114555600681239,0.10981723897665185,0.05502464557742402,0.4418212478920742,0.07313210041546028,0.0762061403508772,0.74958326761862,1.9168129903778077,18590.0,0.0015753808346042932,593,-1,-0.012474333101513886,0.0
Hybrid-Matrix,0.5,200,0.3,200,3.824221611022949,0.1140649079666825,0.05733345208672439,0.45531197301854975,0.07657448653287985,0.09100877192982457,0.7500731424856255,1.9884692159284665,0.12872385247515275,0.053718366084553965,0.6003372681281619,0.1432941759431116,0.13843201754385964,0.753920491543252,2.1912175231336577,0.1140649079666825,0.05733345208672439,0.45531197301854975,0.07657448653287985,0.09100877192982457,0.7500731424856255,1.9884692159284665,18804.5,0.015532082140279983,593,-1,-0.008226664111483232,0.0
Hybrid-Matrix,0.7,200,0.3,200,3.406400203704834,0.11593510137271426,0.058528333730594226,0.4671163575042159,0.0772707762774206,0.11979166666666667,0.7340251060233618,2.138445952698658,0.1321968502257285,0.055195325635665496,0.6222596964586846,0.14958052606375985,0.17434210526315788,0.7429181647522989,2.3278823387715653,0.11593510137271426,0.058528333730594226,0.4671163575042159,0.0772707762774206,0.11979166666666667,0.7340251060233618,2.138445952698658,16641.0,0.01572491002883576,593,-1,-0.006356470705451477,0.0
Hybrid-Matrix,0.3,200,0.6,200,3.442466974258423,0.11699861704522721,0.05915773918398787,0.46037099494097805,0.07840602092265536,0.17626096491228072,0.7361813170241724,2.5106553143276256,0.12956784643297392,0.05465202777369053,0.6003372681281619,0.1423611554910837,0.25411184210526316,0.7496089763530291,2.6747041683137924,0.11699861704522721,0.05915773918398787,0.46037099494097805,0.07840602092265536,0.17626096491228072,0.7361813170241724,2.5106553143276256,19824.0,0.12008890000752445,593,-1,-0.005292955032938518,0.0
Hybrid-Matrix,0.5,200,0.6,200,3.460388660430908,0.1178700864914231,0.059041304564421485,0.47217537942664417,0.0802960780389221,0.1825657894736842,0.7184550486405461,2.5327771115051063,0.13354600421970841,0.056044033420844026,0.6138279932546374,0.1491608930140171,0.26398026315789475,0.732702575390634,2.71037252209895,0.1178700864914231,0.059041304564421485,0.47217537942664417,0.0802960780389221,0.1825657894736842,0.7184550486405461,2.5327771115051063,19132.5,0.0978185807723038,593,-1,-0.004421485586742627,0.0
Hybrid-Matrix,0.7,200,0.6,200,3.4977200031280518,0.1167844297858832,0.05768473720448143,0.47048903878583476,0.08244333396434132,0.20422149122807018,0.6848661679323653,2.636239592543309,0.1333902365836295,0.055277243873557404,0.6323777403035413,0.1526129591003937,0.2993421052631579,0.7103629647474503,2.815900717825757,0.1167844297858832,0.05768473720448143,0.47048903878583476,0.08244333396434132,0.20422149122807018,0.6848661679323653,2.636239592543309,18763.5,0.12369154833751381,593,-1,-0.005507142292282549,0.0
