dataset,seed,split_mode,graph_source,kernel,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff,kernel_build_s
ml-1m,0,random,rp3beta,inv_cosine,1.0,140.6861126422882,0.367879722696132,0.23368966839460545,0.8861517976031957,0.22722120097793486,0.2918618266978923,0.7625081636387192,2.3484466242432984,0.3689205703419887,0.20753297252508338,0.9374167776298269,0.3337366756654513,0.3779274004683841,0.7525619597314606,2.5174348580484005,0.367879722696132,0.23368966839460545,0.8861517976031957,0.22722120097793486,0.2918618266978923,0.7625081636387192,2.3484466242432984,2433939.5,1.0800621528914888e-22,6008,1,0.004523583627243438,0.0,4.36881422996521
ml-1m,0,random,rp3beta,inv_cosine,3.0,141.00395226478577,0.3694328634137581,0.235690246186197,0.8831557922769641,0.2264596797920459,0.26844262295081966,0.7688642333667797,2.294785494923527,0.3699455427206485,0.20879095227020553,0.9364181091877497,0.33362793143883335,0.352751756440281,0.75933136178042,2.463603527733441,0.3694328634137581,0.235690246186197,0.8831557922769641,0.2264596797920459,0.26844262295081966,0.7688642333667797,2.294785494923527,4140397.0,2.913615716753373e-15,6008,1,0.006076724344869435,0.0,4.36881422996521
ml-1m,0,random,rp3beta,inv_cosine,10.0,137.93651390075684,0.3658891453296056,0.23376775643833753,0.8778295605858855,0.22128904119089546,0.22833723653395785,0.7846223411519684,2.186827637196536,0.3650896234652488,0.20582127522844554,0.9320905459387483,0.3256199391924328,0.3009367681498829,0.7706041264047419,2.3538176730117017,0.3658891453296056,0.23376775643833753,0.8778295605858855,0.22128904119089546,0.22833723653395785,0.7846223411519684,2.186827637196536,5705662.5,0.033856792377377494,6008,1,0.0025330062607169597,0.0,4.36881422996521
ml-1m,1,random,-,EASE,0.0,140.95075249671936,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,,
ml-1m,1,random,rp3beta,laplacian,1.0,135.75397944450378,0.3657238896045218,0.23175690881827504,0.8782883782883782,0.22363280262482357,0.2968384074941452,0.7644340209428968,2.3527969815923804,0.3671190527763783,0.2060014151006694,0.935064935064935,0.3300184916819984,0.3855386416861827,0.7560587729152648,2.5209357777280017,0.3657238896045218,0.23175690881827504,0.8782883782883782,0.22363280262482357,0.2968384074941452,0.7644340209428968,2.3527969815923804,2435728.0,9.88800663525942e-15,6006,1,0.003375002113112289,0.0,0.00018787384033203125
ml-1m,1,random,rp3beta,laplacian,3.0,136.6408567428589,0.36726806181276583,0.233434386197283,0.8774558774558775,0.22363253669737013,0.2728337236533958,0.768500133628889,2.303015521616628,0.36766251673052736,0.2070100411317381,0.935064935064935,0.32929689777066723,0.3594847775175644,0.7598235369408008,2.4738816141798456,0.36726806181276583,0.233434386197283,0.8774558774558775,0.22363253669737013,0.2728337236533958,0.768500133628889,2.303015521616628,4176448.5,3.261262507001787e-12,6006,1,0.004919174321356371,0.0,0.00018787384033203125
ml-1m,1,random,rp3beta,laplacian,10.0,136.89729952812195,0.36242580763746857,0.23085283357463063,0.8706293706293706,0.21790349528739741,0.23682669789227168,0.7839448972947118,2.206252028691351,0.3612765475272222,0.2032154373480566,0.9275724275724275,0.3202340268422475,0.3091334894613583,0.767539546942956,2.3769314525430714,0.36242580763746857,0.23085283357463063,0.8706293706293706,0.21790349528739741,0.23682669789227168,0.7839448972947118,2.206252028691351,5845198.5,0.937879379012161,6006,1,7.692014605904973e-05,0.0,0.00018787384033203125
ml-1m,1,random,rp3beta,reg_laplacian,1.0,136.73985123634338,0.3657207075215743,0.23177828997344302,0.8779553779553779,0.2235973882889739,0.29420374707259955,0.7640633330185569,2.3487340283731992,0.3670723297085169,0.20592988324122338,0.9355644355644356,0.3300265047697822,0.38378220140515223,0.7565206469096628,2.5171879223495255,0.3657207075215743,0.23177828997344302,0.8779553779553779,0.2235973882889739,0.29420374707259955,0.7640633330185569,2.3487340283731992,2479320.5,7.89577489262329e-15,6006,1,0.00337182003016482,0.0,0.036669254302978516
ml-1m,1,random,rp3beta,reg_laplacian,3.0,137.57980704307556,0.36711103185740424,0.2333603052905774,0.8761238761238761,0.22332644719479527,0.2687353629976581,0.7693542840601664,2.2933257397661952,0.36746338233606185,0.2069489418844372,0.9345654345654346,0.32885031322424596,0.3553864168618267,0.761125859313668,2.4638701813580575,0.36711103185740424,0.2333603052905774,0.8761238761238761,0.22332644719479527,0.2687353629976581,0.7693542840601664,2.2933257397661952,4190123.0,1.2216178338806148e-11,6006,1,0.00476214436599474,0.0,0.036669254302978516
ml-1m,1,random,rp3beta,reg_laplacian,10.0,140.27168226242065,0.3624824582588261,0.23094500787173686,0.8697968697968698,0.21814801433043532,0.2303864168618267,0.7876904120868542,2.183389005678662,0.36060251862051057,0.20285653456213784,0.9264069264069265,0.3190216668489076,0.3044496487119438,0.7733027069084761,2.353521712070981,0.3624824582588261,0.23094500787173686,0.8697968697968698,0.21814801433043532,0.2303864168618267,0.7876904120868542,2.183389005678662,5875953.5,0.91239491495274,6006,1,0.00013357076741659336,0.0,0.036669254302978516
