graph_source,kernel,gamma,train_time_s_mean,train_time_s_std,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
-,EASE,0.0,141.71788277626038,2.4208162030897675,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,0.36221140741312974,0.0027321023063977146,0.20180867291377852,0.0019402606325770399,0.9332843525834955,0.005798369801854602,0.3277578853329016,0.0030004655386439115,0.3997072599531616,0.0022447645799392024,0.7512481236122811,0.001710510656808872,2.5519102378522995,0.002321282090163353,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,,,,,0.0,0.0,0.0,0.0,,,,
rp3beta,heat,1.0,142.2558304309845,7.426197299932837,0.3646233366354873,0.0026912465722813317,0.2310066239253588,0.0018644942038706113,0.8784512122405486,0.005607694832870509,0.22361872357581233,0.0028470687776343067,0.29262295081967216,0.0007909400518797666,0.7634084113483267,0.000471785930770967,2.346375554834276,0.0028069947944140976,0.36586733168400315,0.0026943599995766453,0.20522991387765135,0.0018181636699818266,0.9334174640772176,0.00551842906894655,0.3298137359266085,0.00305650376632846,0.38015222482435596,0.0025737827447696966,0.7550425830422062,0.0015906023468702877,2.514680845831136,0.0020760045466158166,0.3646233366354873,0.0026912465722813317,0.2310066239253588,0.0018644942038706113,0.8784512122405486,0.005607694832870509,0.22361872357581233,0.0028470687776343067,0.29262295081967216,0.0007909400518797666,0.7634084113483267,0.000471785930770967,2.346375554834276,0.0028069947944140976,2372357.0,97934.12715762055,1.961391056574455e-14,4.257681349149094e-14,6007.4,3.4351128074635104,1.0,0.0,0.004252944105507434,0.0007272400574638327,0.0,0.0
rp3beta,heat,3.0,141.3378059387207,6.8634447507792995,0.36667990488399554,0.002652759693984865,0.23350217597607906,0.0016943339585868712,0.877153275378489,0.005446948778225297,0.22337468535877222,0.002662794378056907,0.2682669789227166,0.0006413613085540666,0.7698722048279526,0.0012497435683877262,2.29090726954704,0.003379845020680829,0.36673556836436694,0.0027320115585848957,0.2066225092679855,0.0018529049251978442,0.9324181029306569,0.004444399421074242,0.32885053909794226,0.003268186884303044,0.3532201405152225,0.0030604988380995525,0.7605715801130681,0.0018151389848775415,2.461207129016752,0.0016141918243263728,0.36667990488399554,0.002652759693984865,0.23350217597607906,0.0016943339585868712,0.877153275378489,0.005446948778225297,0.22337468535877222,0.002662794378056907,0.2682669789227166,0.0006413613085540666,0.7698722048279526,0.0012497435683877262,2.29090726954704,0.003379845020680829,4087636.8,94751.79624854078,1.0731046684256061e-11,2.023904072285764e-11,6007.4,3.4351128074635104,1.0,0.0,0.006309512354015651,0.0012717846884845014,0.0,0.0
rp3beta,heat,10.0,139.07215256690978,5.606856411752656,0.3625073397082511,0.003262941579045318,0.23141782116277715,0.0018561248004442417,0.8704613085486512,0.0056819727772547445,0.21800196588670598,0.0030775182636173597,0.22845433255269323,0.0010266790349385357,0.7862490571225813,0.0017301106220404322,2.1827954197834214,0.0028530017134069147,0.3608003475620229,0.0032136115521628882,0.20306357687487955,0.002037498178653677,0.9276236843495818,0.004005020860526794,0.32035540645511,0.0033425728824392586,0.29830210772833726,0.0034822532943121496,0.7699074055626262,0.0024557782643030044,2.350869470191355,0.0016696936248625995,0.3625073397082511,0.003262941579045318,0.23141782116277715,0.0018561248004442417,0.8704613085486512,0.0056819727772547445,0.21800196588670598,0.0030775182636173597,0.22845433255269323,0.0010266790349385357,0.7862490571225813,0.0017301106220404322,2.1827954197834214,0.0028530017134069147,5745071.7,96661.01013180026,0.3386711556654159,0.44748727627021706,6007.4,3.4351128074635104,0.6,0.8944271909999159,0.0021369471782711944,0.0021090214982512952,0.0,0.0
rp3beta,inv_cosine,1.0,143.1126932144165,10.35928930331325,0.36464430892288713,0.0026682720088231967,0.23101944435454835,0.0018828589212747905,0.8783845457270878,0.00547162821231031,0.22367917365711124,0.002763891637187645,0.29285714285714287,0.0010055950841520937,0.7632922340464805,0.000733280007220001,2.3470583629119743,0.0027611060375877907,0.3659329896308899,0.0027253364181997614,0.20528488077520485,0.0018441171058183698,0.9334174529919869,0.005532373884705464,0.32987521632921135,0.0030889218840750208,0.38062060889929744,0.002478801303280617,0.7550270052042383,0.0015598778738610457,2.5153473376652653,0.0021114536219597655,0.36464430892288713,0.0026682720088231967,0.23101944435454835,0.0018828589212747905,0.8783845457270878,0.00547162821231031,0.22367917365711124,0.002763891637187645,0.29285714285714287,0.0010055950841520937,0.7632922340464805,0.000733280007220001,2.3470583629119743,0.0027611060375877907,2343701.4,93127.8824858592,3.761955484240756e-15,7.771438212564537e-15,6007.4,3.4351128074635104,1.0,0.0,0.0042739163929072285,0.0006837056400222989,0.0,0.0
rp3beta,inv_cosine,3.0,144.95835828781128,12.532417036321373,0.3666944246951108,0.0026560340664273973,0.23351371769074705,0.001692669167687881,0.877253175478389,0.00543555198096861,0.2234316596622914,0.002687359818037793,0.26920374707259953,0.0007050113922009452,0.7699067117121589,0.0012998458080019928,2.292407468968107,0.003341363871370611,0.3668453067639009,0.0027519421402773764,0.20669928914019325,0.0018709378153346106,0.9325180196187558,0.00457498391011834,0.32899672034348704,0.00335372843618739,0.3543325526932084,0.0029896771502779446,0.7606967585568237,0.0017664035995954043,2.4625836262079783,0.0016179115537755615,0.3666944246951108,0.0026560340664273973,0.23351371769074705,0.001692669167687881,0.877253175478389,0.00543555198096861,0.2234316596622914,0.002687359818037793,0.26920374707259953,0.0007050113922009452,0.7699067117121589,0.0012998458080019928,2.292407468968107,0.003341363871370611,4072050.1,98169.77275261469,1.4861456228353068e-11,2.7803873781452433e-11,6007.4,3.4351128074635104,1.0,0.0,0.006324032165130926,0.0013795068680068207,0.0,0.0
rp3beta,inv_cosine,10.0,144.1834068775177,15.413624371989362,0.3627444024647225,0.0033052000837371772,0.23160706970052666,0.0019063836770554523,0.8705943978866821,0.005644234099071144,0.2181574829759744,0.0030451019288910623,0.2299765807962529,0.0016637321122228174,0.7865169762391211,0.0021764676831977853,2.185015603932335,0.002839389268920433,0.3611165822158461,0.00324653764850758,0.2032952110215252,0.002049386153947268,0.9277237173432032,0.0042250217289629246,0.3207206593680255,0.0034249838893100192,0.3002927400468384,0.003052087006786477,0.7702955418933196,0.001982908630183381,2.353274150981906,0.001560404856913533,0.3627444024647225,0.0033052000837371772,0.23160706970052666,0.0019063836770554523,0.8705943978866821,0.005644234099071144,0.2181574829759744,0.0030451019288910623,0.2299765807962529,0.0016637321122228174,0.7865169762391211,0.0021764676831977853,2.185015603932335,0.002839389268920433,5710525.1,98348.08279168438,0.29952090736308556,0.3930921648247526,6007.4,3.4351128074635104,1.0,0.0,0.0023740099347426226,0.0021235541490068656,0.0,0.0
rp3beta,laplacian,1.0,137.259224319458,1.3211282679951994,0.3645565796315921,0.0028151809263337615,0.23096459722738177,0.0020218115689976703,0.8784179565629421,0.005569856193432353,0.22358694111958463,0.0028442519952884184,0.2948477751756441,0.0014695433721324432,0.7634062684947371,0.0009856790012715048,2.3505847473761605,0.0029525552233409125,0.36597266776568343,0.002758210398625463,0.2053193990473065,0.0019235645467770666,0.9333175252186571,0.005551611519569879,0.3299262166565545,0.00304479102185213,0.3822599531615925,0.0023180132195350384,0.7546872011265648,0.0013351742675902815,2.518790555484366,0.0020433769625503926,0.3645565796315921,0.0028151809263337615,0.23096459722738177,0.0020218115689976703,0.8784179565629421,0.005569856193432353,0.22358694111958463,0.0028442519952884184,0.2948477751756441,0.0014695433721324432,0.7634062684947371,0.0009856790012715048,2.3505847473761605,0.0029525552233409125,2361750.8,84743.37600411609,9.807414938675103e-14,2.1381577496854323e-13,6007.4,3.4351128074635104,1.0,0.0,0.004186187101612251,0.0007645789564000817,0.0,0.0
rp3beta,laplacian,3.0,138.2301833152771,2.1646324646393484,0.366499564460204,0.0027401764106703324,0.23334768751227913,0.0017671221526695973,0.8771866971981238,0.005604968911442402,0.22334727180775493,0.002730880086816702,0.27230679156908666,0.0004342036584950705,0.7688484710937612,0.0005930676676940622,2.3012014012314426,0.003213111216342108,0.36689459698550086,0.0027599047910542617,0.20668382484153686,0.0018952065240330136,0.9327179085299433,0.004515849228331258,0.32921748832043746,0.0031841753739771895,0.35743559718969553,0.0025936834231073424,0.7592994224454224,0.001465150834567708,2.4714336615800976,0.001597171232997729,0.366499564460204,0.0027401764106703324,0.23334768751227913,0.0017671221526695973,0.8771866971981238,0.005604968911442402,0.22334727180775493,0.002730880086816702,0.27230679156908666,0.0004342036584950705,0.7688484710937612,0.0005930676676940622,2.3012014012314426,0.003213111216342108,4097910.3,78740.80656305213,2.4598053574713255e-11,5.319536524390666e-11,6007.4,3.4351128074635104,1.0,0.0,0.006129171930224164,0.0011490504467477618,0.0,0.0
rp3beta,laplacian,10.0,137.11688108444213,1.6429766898308535,0.36255849452416966,0.0032149960471856923,0.23136382788917506,0.001886869185935299,0.8712268492777706,0.005790349168260802,0.21818897296567555,0.0029558862814039024,0.23495316159250587,0.0011450589704688485,0.7823782597877906,0.0015061228058865714,2.206530833374741,0.002586869162585047,0.36111167711855596,0.003292437184048824,0.20320682231928444,0.0020194084883031695,0.9280234785941814,0.004253438760660251,0.32094958858248107,0.0035335496189261733,0.30521077283372366,0.0024281547252140104,0.7651013187033822,0.0014275004398761604,2.376180149565885,0.0016383940922354463,0.36255849452416966,0.0032149960471856923,0.23136382788917506,0.001886869185935299,0.8712268492777706,0.005790349168260802,0.21818897296567555,0.0029558862814039024,0.23495316159250587,0.0011450589704688485,0.7823782597877906,0.0015061228058865714,2.206530833374741,0.002586869162585047,5700949.7,95792.22232950343,0.32385411996518687,0.439093157012007,6007.4,3.4351128074635104,1.0,0.0,0.002188101994189717,0.0020296114216144323,0.0,0.0
