model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,overall,593,0.12238345556903636,0.08859427753358276,0.4991568296795953,0.1362395559803271,0.15640971731837838,0.642495784148398
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q1,562,0.1402322655074227,0.13091409166466447,0.5249110320284698,0.1651917138476128,0.2224166151049192,0.6743772241992882
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0018795452129251608,0.005739795918367347,0.01020408163265306
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q3,303,0.0,0.0,0.0,0.0002451553561138861,0.0004714757190004715,0.0033003300330033004
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,overall,593,0.12289241681982292,0.08738713607896749,0.5025295109612141,0.1352844863088504,0.1525923452972055,0.6306913996627319
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q1,562,0.14057934560119426,0.12966992829076487,0.5284697508896797,0.16357979949782878,0.21723916862280498,0.6619217081850534
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0018822843900725512,0.005739795918367347,0.01020408163265306
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q3,303,0.0,0.0,0.0,0.00023827109251705386,0.0004714757190004715,0.0033003300330033004
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,overall,593,0.11980842382492861,0.08474891203946507,0.48903878583473864,0.13280946178052144,0.14527754507050067,0.6070826306913997
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q1,562,0.13701970226067833,0.12631622306295365,0.5160142348754448,0.1602537867178603,0.20809676143832992,0.6387900355871886
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q2,392,0.0,0.0,0.0,0.0010063817816821133,0.002551020408163265,0.00510204081632653
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q3,303,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,overall,593,0.11412827901589637,0.07734820393089362,0.47386172006745364,0.1281263261996673,0.14077966718426663,0.5902192242833052
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q1,562,0.12932696765553375,0.11489334558865436,0.5,0.1536085033220221,0.201058975963048,0.6209964412811388
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q2,392,0.0,0.0,0.0,0.00025490027173759024,0.0006377551020408163,0.002551020408163265
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q3,303,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
