family,NDCG@10,Coverage@10,Gini@10,Novelty@10,seeds
EASE,0.12229157207816574,0.16255482456140352,0.6810694755281546,2.376492954087128,1
RP3beta,0.11088514017068643,0.18311403508771928,0.7502615342670478,2.5813660545357395,1
Hybrid-Score,0.12193063434432207,0.1455592105263158,0.6958006624682818,2.2940777374259107,1
Hybrid-Matrix,0.1178700864914231,0.1825657894736842,0.7184550486405461,2.5327771115051063,1
Hybrid-GraphReg,0.1224277439282061,0.16255482456140352,0.6807600760986097,2.3775902726519362,1
Laplacian-EASE,0.12289241681982292,0.14912280701754385,0.6894188324570973,2.312768180924454,1
