family,kind,param,train_time_s_mean,train_time_s_std,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
EASE,-,0.0,154.76905179023743,1.3757069689030572,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,0.36221140741312974,0.0027321023063977146,0.20180867291377852,0.0019402606325770399,0.9332843525834955,0.005798369801854602,0.3277578853329016,0.0030004655386439115,0.3997072599531616,0.0022447645799392024,0.7512481236122811,0.001710510656808872,2.5519102378522995,0.002321282090163353,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,,,,,0.0,0.0,0.0,0.0,,,,
HeatGram,heat,0.5,155.67566118240356,2.034498654530072,0.34600879933691486,0.0024602062732151926,0.21875379936201003,0.001638254831322797,0.8551134429781614,0.005434479419325327,0.20495406219868206,0.00218799903630379,0.30474238875878223,0.002492591681195314,0.7850170123216689,0.0028367916457621286,2.3717818775987634,0.006343335926132921,0.34551008283734796,0.0029941740331837757,0.19137863489000667,0.0018582992904521741,0.9181368744738847,0.006599321902532965,0.3068669967532349,0.0040211121939495486,0.40134660421545665,0.0033184379533824854,0.7806261206271484,0.0033398858800163726,2.5210860450156476,0.0043040688710813185,0.34600879933691486,0.0024602062732151926,0.21875379936201003,0.001638254831322797,0.8551134429781614,0.005434479419325327,0.20495406219868206,0.00218799903630379,0.30474238875878223,0.002492591681195314,0.7850170123216689,0.0028367916457621286,2.3717818775987634,0.006343335926132921,5732815.4,220173.11734275141,2.0996775225442962e-11,4.3089723967349474e-11,6007.4,3.4351128074635104,-1.0,0.0,-0.014361593193064986,0.0020762628731232514,0.0,0.0
HeatGram,heat,1.0,155.98123588562012,1.9089624135768357,0.3395303201305926,0.00264519052690211,0.21384442228680803,0.0016466483788627065,0.8471566950879579,0.0061119242296443655,0.19885853792007624,0.0023828145884631693,0.24543325526932086,0.0025063061818505895,0.8017243412326177,0.00198111909033472,2.2148979306069037,0.0037648513068826548,0.3375265921674079,0.0029187884423949166,0.18593856537142678,0.0017553695895673603,0.9112777976328206,0.005467940226398585,0.29696669845350804,0.0034396510479940945,0.32459016393442625,0.0025721174047410645,0.7912060648601507,0.002480065600560328,2.369714097542102,0.002178484839516093,0.3395303201305926,0.00264519052690211,0.21384442228680803,0.0016466483788627065,0.8471566950879579,0.0061119242296443655,0.19885853792007624,0.0023828145884631693,0.24543325526932086,0.0025063061818505895,0.8017243412326177,0.00198111909033472,2.2148979306069037,0.0037648513068826548,5426343.7,212584.86951115544,1.6013618499943204e-22,3.5807539147405046e-22,6007.4,3.4351128074635104,-1.0,0.0,-0.020840072399387264,0.0021331987405664903,0.0,0.0
HeatGram,heat,2.0,155.67251467704773,1.6490988033798772,0.30732966922004323,0.0020968178749639333,0.18873194709575286,0.000995602794829531,0.8098360006429512,0.0061069633199485876,0.17486101041043386,0.0016003081042008092,0.1410421545667447,0.002336425051432662,0.8288609185521567,0.0023523669079585476,1.9185455185321245,0.0027026022459361847,0.30229735531768587,0.0022515291819569295,0.1611752327150468,0.0009783487160721059,0.8824131634329451,0.00617007279471769,0.25901225397251726,0.003000767046774016,0.19730679156908665,0.0006545866444671507,0.819328436190851,0.000918891460859252,2.067780644030003,0.0027582021679055453,0.30732966922004323,0.0020968178749639333,0.18873194709575286,0.000995602794829531,0.8098360006429512,0.0061069633199485876,0.17486101041043386,0.0016003081042008092,0.1410421545667447,0.002336425051432662,0.8288609185521567,0.0023523669079585476,1.9185455185321245,0.0027026022459361847,4246702.9,155013.91282413973,1.3171735886948504e-108,2.945289682489033e-108,6007.4,3.4351128074635104,-1.0,0.0,-0.05304072330993668,0.0022053668318508073,-0.02700762154324003,0.004182999835120412
HeatGram,ppr,0.3,155.25180606842042,2.5913034919980884,0.3663111168420918,0.0027658214791786307,0.23303143096743756,0.001957827133961988,0.8772862262626914,0.005579704156606118,0.22332102872731116,0.0027224188490291823,0.27581967213114755,0.0006346452982634284,0.7684742643666193,0.0007041996894463737,2.3065899705583464,0.0029340769266440942,0.3670410822832698,0.0030526039687376314,0.20667840829217865,0.0020578579149490416,0.9329843419156025,0.004984775794568816,0.32953834407763516,0.0034931317674661067,0.36258782201405154,0.002781800706839487,0.7594766994636137,0.0015730644501196556,2.4777405477053973,0.0012015123736781738,0.3663111168420918,0.0027658214791786307,0.23303143096743756,0.001957827133961988,0.8772862262626914,0.005579704156606118,0.22332102872731116,0.0027224188490291823,0.27581967213114755,0.0006346452982634284,0.7684742643666193,0.0007041996894463737,2.3065899705583464,0.0029340769266440942,3682872.0,96992.12915747339,7.763217279699267e-13,1.0977519335294036e-12,6007.4,3.4351128074635104,1.0,0.0,0.005940724312111919,0.0011158048546863236,0.0,0.0
HeatGram,ppr,0.5,152.91507024765014,1.6045789069191239,0.36583158231508073,0.0030534950576352428,0.23384733253447706,0.0018821191873222448,0.8738899328467495,0.005170074999873238,0.2209230238273565,0.002934853261013215,0.24601873536299762,0.0015845864874384555,0.7810236445571543,0.0018677154788617684,2.2259484218093393,0.0022362810032425682,0.36496353962408307,0.002995981495725007,0.20604530058211062,0.0018903151414834903,0.9299208052452206,0.003987180484868024,0.3252056082370304,0.0035245399574392908,0.3231850117096019,0.0021611274971067543,0.7670064428013446,0.0015452957137775994,2.3983233022981483,0.0010115927468071014,0.36583158231508073,0.0030534950576352428,0.23384733253447706,0.0018821191873222448,0.8738899328467495,0.005170074999873238,0.2209230238273565,0.002934853261013215,0.24601873536299762,0.0015845864874384555,0.7810236445571543,0.0018677154788617684,2.2259484218093393,0.0022362810032425682,5095711.5,141765.07675684802,0.0010232808391692255,0.0016693824107893876,6007.4,3.4351128074635104,1.0,0.0,0.005461189785100852,0.0017807423785260407,0.0,0.0
HeatGram,ppr,0.7,152.4690556526184,1.3630430557604252,0.35470829175377483,0.0030589576297003567,0.22570351530150107,0.0016261176902723944,0.861672192645816,0.006199363316599315,0.21093458476662325,0.003057792847357345,0.20005854800936768,0.0013824026877186908,0.7986950698472266,0.002162455741983641,2.0983198917084693,0.0028317638671820637,0.3519131416172862,0.00316544627055232,0.19684503138616316,0.001758674690839016,0.9214316776443015,0.004966371719533777,0.3097621303434658,0.0037119663101387915,0.26809133489461356,0.0026379110833884777,0.7837572143567876,0.0024712151809413285,2.2670186336969502,0.001453135653945685,0.35470829175377483,0.0030589576297003567,0.22570351530150107,0.0016261176902723944,0.861672192645816,0.006199363316599315,0.21093458476662325,0.003057792847357345,0.20005854800936768,0.0013824026877186908,0.7986950698472266,0.002162455741983641,2.0983198917084693,0.0028317638671820637,5858666.6,233342.6092440041,0.03113756307543105,0.06946463734346064,6007.4,3.4351128074635104,-1.0,0.0,-0.005662100776205033,0.0021993748931530043,0.0,0.0
