dataset,seed,family,kind,param,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,-,0.0,154.71609544754028,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
ml-1m,0,HeatGram,heat,0.5,158.55631160736084,0.3478162648240068,0.21976410006906053,0.8606857523302264,0.2062898472382748,0.30210772833723654,0.7825386564683781,2.3722334530319267,0.34798715800376145,0.19285124365946466,0.9192743009320905,0.31061325913730886,0.4025175644028103,0.7810971674131462,2.51956774705797,0.3478162648240068,0.21976410006906053,0.8606857523302264,0.2062898472382748,0.30210772833723654,0.7825386564683781,2.3722334530319267,5734842.0,3.042911192100256e-18,6008,-1,-0.015539874244881744,0.0
ml-1m,0,HeatGram,heat,1.0,157.54796862602234,0.34219767056221545,0.2151527779979428,0.8538615179760319,0.2012147374878036,0.24531615925058547,0.8012683963148579,2.215267357038123,0.3405842209586058,0.18749809114553773,0.9166111850865513,0.3008589449173674,0.321135831381733,0.7887108589337584,2.369391688215544,0.34219767056221545,0.2151527779979428,0.8538615179760319,0.2012147374878036,0.24531615925058547,0.8012683963148579,2.215267357038123,5491836.5,6.533581950410064e-31,6008,-1,-0.021158468506673144,0.0
ml-1m,0,HeatGram,heat,2.0,156.87316298484802,0.309865099500323,0.18956642880249697,0.8179094540612517,0.17719549366434872,0.14197892271662763,0.8302220407154721,1.9178437620558275,0.3047782086774653,0.162145954212844,0.8893142476697736,0.2622531321769152,0.19818501170960187,0.8197485086354579,2.0682380076554354,0.309865099500323,0.18956642880249697,0.8179094540612517,0.17719549366434872,0.14197892271662763,0.8302220407154721,1.9178437620558275,4233799.0,6.0241541193815976e-130,6008,-1,-0.053491039568565636,-0.026958472211173243
ml-1m,0,HeatGram,ppr,0.3,158.82643389701843,0.3698897044831694,0.23586887540808105,0.8841544607190412,0.22697808000536374,0.2766393442622951,0.7686643205884218,2.308584072625188,0.37066789058593513,0.2092318554335666,0.9374167776298269,0.3338686809557086,0.3597775175644028,0.7573776868162765,2.478655511079319,0.3698897044831694,0.23586887540808105,0.8841544607190412,0.22697808000536374,0.2766393442622951,0.7686643205884218,2.308584072625188,3720365.0,1.670643005202206e-20,6008,1,0.006533565414280748,0.0
ml-1m,0,HeatGram,ppr,0.5,155.14368081092834,0.36935145925691587,0.236364489076503,0.8808255659121171,0.22444206871328592,0.24443793911007025,0.7788863152523182,2.228021022215577,0.3687469012777321,0.2084235023340945,0.9337549933422103,0.33037358492729635,0.32201405152224827,0.766066411451398,2.3989359914139516,0.36935145925691587,0.236364489076503,0.8808255659121171,0.22444206871328592,0.24443793911007025,0.7788863152523182,2.228021022215577,5070870.5,2.1740605439154772e-08,6008,1,0.005995320188027208,0.0
ml-1m,0,HeatGram,ppr,0.7,154.32887482643127,0.35801652290639335,0.22742834195373665,0.8693408788282291,0.21464398544038998,0.20052693208430913,0.7985087037235026,2.1006399806938045,0.35571141253778943,0.1988701228679697,0.926930758988016,0.3146509119068695,0.26727166276346603,0.783208952502906,2.267296673282813,0.35801652290639335,0.22742834195373665,0.8693408788282291,0.21464398544038998,0.20052693208430913,0.7985087037235026,2.1006399806938045,5916037.5,0.0002312181174123482,6008,-1,-0.0053396161624952535,0.0
ml-1m,1,EASE,-,0.0,157.03859424591064,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
ml-1m,1,HeatGram,heat,0.5,155.62326836585999,0.345571943931401,0.217711690997547,0.8526473526473527,0.20594506351609893,0.3088407494145199,0.7874850899495451,2.3735895466063575,0.34591830802276213,0.19121407846446128,0.9199134199134199,0.30808110283666973,0.3975409836065574,0.7771944918115758,2.5250011636243563,0.345571943931401,0.217711690997547,0.8526473526473527,0.20594506351609893,0.3088407494145199,0.7874850899495451,2.3735895466063575,5597470.0,1.360139134620967e-21,6006,-1,-0.016776943560008396,0.0
ml-1m,1,HeatGram,heat,1.0,158.0989363193512,0.338689521367024,0.2126685400452407,0.8446553446553446,0.19981847334207145,0.24853629976580796,0.8047945380100856,2.2136230613626826,0.3376195799625834,0.18571376414270271,0.9125874125874126,0.2977695885247743,0.327576112412178,0.7926995405547685,2.370531807563053,0.338689521367024,0.2126685400452407,0.8446553446553446,0.19981847334207145,0.24853629976580796,0.8047945380100856,2.2136230613626826,5235732.5,6.887645057884123e-39,6006,-1,-0.02365936612438544,0.0
ml-1m,1,HeatGram,heat,2.0,157.16498017311096,0.3062577774144065,0.18761712189716725,0.808025308025308,0.17504227978349676,0.1411007025761124,0.8297479836898924,1.9147077485270418,0.30225576954484,0.16075735698319255,0.8844488844488845,0.26026719165265755,0.19759953161592506,0.8206922460255794,2.063240986501921,0.3062577774144065,0.18761712189716725,0.808025308025308,0.17504227978349676,0.1411007025761124,0.8297479836898924,1.9147077485270418,4105170.0,4.260369176559171e-137,6006,-1,-0.056091110077002966,-0.03166896446124319
