dataset,seed,graph_source,normalise,gamma,bucket_by,bucket,n_users,EASE_ndcg,Lap_ndcg,abs_gain,within_seed_wil_stat,within_seed_wil_p,within_seed_wil_n_pairs,within_seed_wil_sign,within_seed_wil_mean_diff,within_seed_wil_median_diff
ml-1m,1,rp3beta,sym,3.0,user_activity,q4,1200,0.2782285222884351,0.27881417756727456,0.0005856552788394698,132266.5,0.7919507828880261,1200,1,0.0005856552788395031,0.0
ml-1m,1,rp3beta,sym,3.0,user_activity,q5,1182,0.251805469980105,0.24842903026382127,-0.0033764397162837356,57444.5,0.24531255527265605,1182,-1,-0.00337643971628372,0.0
ml-1m,2,rp3beta,sym,3.0,user_activity,overall,6004,0.35886470515172914,0.36575618115099756,0.006891475999268426,4050245.5,1.930687865404915e-19,6004,1,0.006891475999268413,0.0
ml-1m,2,rp3beta,sym,3.0,user_activity,q1,1208,0.5527329556676359,0.5769328699639358,0.024199914296299863,197082.0,2.635303913968743e-27,1208,1,0.024199914296299908,0.012211363753826754
ml-1m,2,rp3beta,sym,3.0,user_activity,q2,1208,0.40876465298785325,0.41762491624207954,0.008860263254226286,226071.0,1.5001634221504063e-07,1208,1,0.008860263254226279,0.0
ml-1m,2,rp3beta,sym,3.0,user_activity,q3,1207,0.3121310500016688,0.31457861503971657,0.002447565038047772,207955.0,0.03426910213313373,1207,1,0.002447565038047799,0.0
ml-1m,2,rp3beta,sym,3.0,user_activity,q4,1201,0.2691415086933527,0.26975136073152295,0.0006098520381702666,136836.5,0.5852020583970186,1201,1,0.0006098520381702285,0.0
ml-1m,2,rp3beta,sym,3.0,user_activity,q5,1180,0.2484351264257798,0.24653096042561523,-0.0019041660001645755,62615.5,0.4030336302514963,1180,-1,-0.0019041660001645976,0.0
ml-1m,3,rp3beta,sym,3.0,user_activity,overall,6013,0.35706225986659396,0.36219828753000904,0.005136027663415088,4119006.5,1.1972331797343865e-10,6013,1,0.005136027663415149,0.0
ml-1m,3,rp3beta,sym,3.0,user_activity,q1,1208,0.5588385387232144,0.5796757620865239,0.02083722336330951,213677.5,2.3224136174366503e-21,1208,1,0.020837223363309405,0.009743133900408374
ml-1m,3,rp3beta,sym,3.0,user_activity,q2,1208,0.4074948033553383,0.41438224955553893,0.006887446200200653,230112.0,4.322614590635946e-05,1208,1,0.006887446200200638,0.0
ml-1m,3,rp3beta,sym,3.0,user_activity,q3,1208,0.302564322371444,0.30276796403534345,0.00020364166389946758,216922.0,0.9999027795472716,1208,1,0.00020364166389939047,0.0
ml-1m,3,rp3beta,sym,3.0,user_activity,q4,1200,0.2665921726206571,0.26505163796107406,-0.0015405346595830371,125321.5,0.3554949335531562,1200,-1,-0.001540534659583043,0.0
ml-1m,3,rp3beta,sym,3.0,user_activity,q5,1189,0.24749906036790983,0.24665311921475952,-0.0008459411531503147,58617.5,0.47359103825150584,1189,-1,-0.0008459411531502562,0.0
ml-1m,4,rp3beta,sym,3.0,user_activity,overall,6006,0.3602199710712781,0.36784793317944636,0.00762796210816824,3986588.5,6.1493348960296705e-21,6006,1,0.007627962108168192,0.0
ml-1m,4,rp3beta,sym,3.0,user_activity,q1,1208,0.5509367398705977,0.5780672782455768,0.02713053837497914,179657.5,8.039052874071914e-37,1208,1,0.027130538374979165,0.01582380708518233
ml-1m,4,rp3beta,sym,3.0,user_activity,q2,1208,0.4060724912728942,0.412206991724687,0.0061345004517928126,242223.0,0.0006146304878001825,1208,1,0.006134500451792831,0.0
ml-1m,4,rp3beta,sym,3.0,user_activity,q3,1208,0.3165693132666379,0.31800825317399306,0.0014389399073551634,200376.0,0.3560321922385752,1208,1,0.0014389399073551537,0.0
ml-1m,4,rp3beta,sym,3.0,user_activity,q4,1201,0.27724785402228147,0.28014015116469354,0.0028922971424120703,132683.5,0.15270713754387782,1201,1,0.0028922971424120442,0.0
ml-1m,4,rp3beta,sym,3.0,user_activity,q5,1181,0.24726807106342089,0.24762157253911585,0.0003535014756949617,69482.5,0.9814083326260884,1181,1,0.00035350147569491514,0.0
