dataset,graph_source,normalise,gamma,bucket_by,bucket,n_seeds,ease_ndcg_mean,ease_ndcg_std,lap_ndcg_mean,lap_ndcg_std,abs_gain_mean,abs_gain_std,pooled_wil_stat,pooled_wil_p,pooled_wil_n_pairs,pooled_wil_sign,pooled_wil_mean_diff,pooled_wil_median_diff
ml-1m,rp3beta,sym,3.0,user_activity,overall,5,0.3603703925299798,0.0025525765180416083,0.36649956446020404,0.0027401764106703193,0.006129171930224164,0.0011490504467477965,102424798.5,2.284638773836641e-70,30037,1,0.00612888586561224,0.0
ml-1m,rp3beta,sym,3.0,user_activity,q1,5,0.5550805888212299,0.00394447796835424,0.5773362900050969,0.0032736595313773813,0.022255701183866994,0.0033670126553745515,5136462.0,2.942792814213303e-116,6040,1,0.022255701183866963,0.012144045524286273
ml-1m,rp3beta,sym,3.0,user_activity,q2,5,0.4077506508166045,0.0010796878003672555,0.4152040165431333,0.0020915660933889563,0.00745336572652876,0.0010411362303796219,5837506.5,9.736033528872192e-22,6040,1,0.007453365726528758,0.0
ml-1m,rp3beta,sym,3.0,user_activity,q3,5,0.3118883557586912,0.005822021692352919,0.3131994552482326,0.006155765892189999,0.001311099489541423,0.0009888526827828085,5273035.0,0.016368697679276102,6039,1,0.0013109113018367443,0.0
ml-1m,rp3beta,sym,3.0,user_activity,q4,5,0.2730779601897573,0.005066836324496133,0.2738882797435657,0.00635955127800261,0.0008103195538084584,0.00161504296800278,3355992.0,0.29940869159355843,6007,1,0.0008112104397997879,0.0
ml-1m,rp3beta,sym,3.0,user_activity,q5,5,0.2512431982556626,0.005859269275277857,0.24986590089122904,0.005770100265027038,-0.0013772973644335163,0.0013803789973762272,1561411.5,0.16865242035432582,5911,-1,-0.001376916571995386,0.0
