dataset,model,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k
ml-1m,SLIM,0.0,,,509.8105342388153,0.11240422023519481,0.053336434656865,0.5076380728554641,0.08535750700984925,0.12672744463152888,0.05032801986726447,0.6839012925969448,0.14492615453284943,0.11240422023519481,0.053336434656865,0.5076380728554641,0.08535750700984925
ml-1m,EASE,0.0,,,133.13720726966858,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.12998526618389683,0.052330845697061174,0.6822225952660735,0.1536942111527436,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,103.81889247894287,0.11749134369234562,0.056895698038850945,0.5131777740473392,0.08814113617975908,0.13379027668069718,0.05429290411981411,0.6887695148564714,0.15378081967432713,0.11749134369234562,0.056895698038850945,0.5131777740473392,0.08814113617975908
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,104.98333811759949,0.11791348940485136,0.05725452982348132,0.5118348161826423,0.08822497341595295,0.13382242969713937,0.054423679690004514,0.6864193385932517,0.15351374645345867,0.11791348940485136,0.05725452982348132,0.5118348161826423,0.08822497341595295
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,120.40092277526855,0.11960135268695173,0.05817158022940336,0.5140171227127749,0.08885555950809419,0.13450592794354227,0.05487920441263214,0.6837334228638576,0.15287380690591373,0.11960135268695173,0.05817158022940336,0.5140171227127749,0.08885555950809419
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,169.69783735275269,0.12111361295491715,0.059095986329423186,0.515527950310559,0.08908195619647902,0.1344413341569526,0.055003473309778256,0.677522242739634,0.14942086771808138,0.12111361295491715,0.059095986329423186,0.515527950310559,0.08908195619647902
ml-1m,SLIM-Laplacian,75.0,rp3beta,sym,169.94910192489624,0.12146342435651337,0.059322597304703184,0.5103239885848582,0.0850352311540812,0.1334244837028584,0.054689852498547756,0.6652677522242739,0.14265933232930578,0.12146342435651337,0.059322597304703184,0.5103239885848582,0.0850352311540812
