dataset,model,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_SLIM_stat,wilcoxon_vs_SLIM_p,wilcoxon_vs_SLIM_n_pairs,wilcoxon_vs_SLIM_sign,wilcoxon_vs_SLIM_mean_diff,wilcoxon_vs_SLIM_median_diff,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,SLIM,0.0,,,419.34279346466064,0.11239220912856687,0.053336346471328726,0.507470203122377,0.08534763231966765,0.46207906295754025,0.7463148125571666,2.6155478678812663,0.12671605642887224,0.05032325866160414,0.6839012925969448,0.14491216538842552,0.575402635431918,0.747400013925072,2.7598411701754,0.11239220912856687,0.053336346471328726,0.507470203122377,0.08534763231966765,0.46207906295754025,0.7463148125571666,2.6155478678812663,,,0,0,,,,,0,0,,
ml-1m,EASE,0.0,,,116.34954881668091,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.34904831625183014,0.7395399130006659,2.4266168673941815,0.12998526618389683,0.052330845697061174,0.6822225952660735,0.1536942111527436,0.4401171303074671,0.7336875574574091,2.59966741197274,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.34904831625183014,0.7395399130006659,2.4266168673941815,2551750.0,0.4353520129677244,5957,1,0.0008915882808700001,0.0,,,0,0,,
ml-1m,SLIM-Laplacian,1.0,rp3beta,none,89.65869045257568,0.11761172702167244,0.05708520984012703,0.5113312069833809,0.08839937320306804,0.29224011713030745,0.7546679392022251,2.2991894978110663,0.1338072904032917,0.05441343527054739,0.6886016451233843,0.15381931910135868,0.3733528550512445,0.7475230261317218,2.4641679742307883,0.11761172702167244,0.05708520984012703,0.5113312069833809,0.08839937320306804,0.29224011713030745,0.7546679392022251,2.2991894978110663,2032307.0,6.08558316555342e-10,5957,1,0.005219517893105573,0.0,1993121.5,2.58405499300675e-06,5957,1,0.004327929612235573,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,none,89.7763283252716,0.11806380587828119,0.057323357735772705,0.5111633372502937,0.08877414861873367,0.2887262079062958,0.758313722993148,2.2799351316472265,0.13416766120993331,0.05452709408099532,0.6857478596609031,0.154841483692107,0.3666178623718887,0.7499210395480709,2.443606075999974,0.11806380587828119,0.057323357735772705,0.5111633372502937,0.08877414861873367,0.2887262079062958,0.758313722993148,2.2799351316472265,2118466.0,5.864422945121739e-10,5957,1,0.0056715967497143185,0.0,1943369.0,1.871140166139141e-07,5957,1,0.00478000846884432,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,none,89.88692426681519,0.11984954051994395,0.05847279841530802,0.5143528621789492,0.09038954072422738,0.26705710102489016,0.7656679153818742,2.214809781324789,0.13446903321185485,0.05503754806571203,0.6800402887359409,0.15335905616813061,0.3390922401171303,0.7556290142683475,2.3758481967580694,0.11984954051994395,0.05847279841530802,0.5143528621789492,0.09038954072422738,0.26705710102489016,0.7656679153818742,2.214809781324789,2267261.5,3.7770704939186634e-11,5957,1,0.007457331391377076,0.0,2024473.0,1.5009935810589732e-10,5957,1,0.0065657431105070755,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,none,89.9402391910553,0.12058995890526193,0.058976573385402124,0.5104918583179453,0.08872265184035032,0.220497803806735,0.775987271327649,2.090577381260026,0.1341289376512091,0.055052995526731444,0.6729897599462817,0.14906666352919953,0.2866764275256223,0.7675266889727077,2.247065880593097,0.12058995890526193,0.058976573385402124,0.5104918583179453,0.08872265184035032,0.220497803806735,0.775987271327649,2.090577381260026,2563013.5,1.021181034957299e-09,5957,1,0.008197749776695037,0.0,2300056.5,1.2132205896489909e-09,5957,1,0.007306161495825037,0.0
ml-1m,SLIM-Laplacian,75.0,rp3beta,none,92.04075145721436,0.12041648422346202,0.058725344132952835,0.5076380728554641,0.08433778803765365,0.16925329428989752,0.7883836468160224,1.9393736229184895,0.13276875870348132,0.05425707026857605,0.663924794359577,0.14320424125443282,0.22518301610541727,0.7800728148610774,2.0941892879414143,0.12041648422346202,0.058725344132952835,0.5076380728554641,0.08433778803765365,0.16925329428989752,0.7883836468160224,1.9393736229184895,2781759.0,2.8885975966472517e-08,5957,1,0.00802427509489515,0.0,2547863.5,1.2469186134840525e-08,5957,1,0.0071326868140251486,0.0
