family,config,train_time_s_mean,train_time_s_std,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
AddEASE,"alpha=0.3,lambdaT=1.0",132.3478014945984,1.3040291284614693,0.3002658737789638,0.0027583639492186826,0.17285953886363287,0.0019493688593215804,0.8515840981417064,0.005058813018998706,0.19645522117300263,0.003417494374973746,0.36065573770491804,0.0033950273725828917,0.7351556352818058,0.0022314073628607388,2.6847465120890273,0.002385436049613731,0.3022237424810294,0.0029142037700045425,0.15354086189248792,0.0021337301950564496,0.9170042241138618,0.0061661978104659565,0.28495855627095457,0.0033646293335829933,0.4668032786885246,0.001787872539180612,0.7240725612581577,0.0008827924591777689,2.9130890659645563,0.001778022439751988,0.3002658737789638,0.0027583639492186826,0.17285953886363287,0.0019493688593215804,0.8515840981417064,0.005058813018998706,0.19645522117300263,0.003417494374973746,0.36065573770491804,0.0033950273725828917,0.7351556352818058,0.0022314073628607388,2.6847465120890273,0.002385436049613731,2962915.3,104232.35262059951,1.708585111478324e-197,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.06010451875101604,0.000771365630680636,-0.01590522679228623,0.0007753092329036176
AddEASE,"alpha=0.3,lambdaT=10.0",131.8777475833893,1.2211188573000336,0.305158764550251,0.00294582270501922,0.17665563417264227,0.0021025000888110095,0.8557127764427056,0.00574049060956805,0.19884427929463971,0.0034602827572629705,0.3594847775175644,0.002978189395400443,0.7370670920661426,0.0026348811838068907,2.6525776737172695,0.0030313142860943425,0.3070565849834753,0.002998801319396772,0.15678431268927698,0.00221284540567629,0.9198007347286026,0.005617204438294162,0.2889876505494357,0.0033364759574137787,0.4657494145199063,0.002431681458699676,0.7260721212993477,0.0011502250405342202,2.876694804910266,0.002202370239631897,0.305158764550251,0.00294582270501922,0.17665563417264227,0.0021025000888110095,0.8557127764427056,0.00574049060956805,0.19884427929463971,0.0034602827572629705,0.3594847775175644,0.002978189395400443,0.7370670920661426,0.0026348811838068907,2.6525776737172695,0.0030313142860943425,3063631.0,117066.07495662443,5.345174884859892e-178,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.05521162797972888,0.0008527632590297848,-0.012384976629365949,0.0006619717758190069
AddEASE,"alpha=0.5,lambdaT=1.0",132.2639566898346,1.4396459703304472,0.34279715175988423,0.0031612385992606726,0.20921657210322206,0.0024508277987871237,0.8722921898486113,0.00515192455502707,0.21553081815414826,0.00297667452917409,0.3372365339578455,0.0032134804449795236,0.743345375927821,0.002772920914386697,2.5014287679298524,0.0020180567841007017,0.3442612883734354,0.003165192634464487,0.18546558561862564,0.0022712171702205792,0.9304880910517781,0.006286095065345394,0.31606017263056735,0.0035737121759217448,0.4385831381733021,0.0011599304892364888,0.7343564532208913,0.0013829533499297034,2.6941183676542204,0.002057237644443926,0.34279715175988423,0.0031612385992606726,0.20921657210322206,0.0024508277987871237,0.8722921898486113,0.00515192455502707,0.21553081815414826,0.00297667452917409,0.3372365339578455,0.0032134804449795236,0.743345375927821,0.002772920914386697,2.5014287679298524,0.0020180567841007017,3606274.6,112731.65330298766,2.2461804193398142e-38,5.022537356307584e-38,6007.4,3.4351128074635104,-1.0,0.0,-0.017573240770095644,0.001102398120514708,0.0,0.0
AddEASE,"alpha=0.5,lambdaT=10.0",132.11054944992065,0.8216814460003309,0.34440047460604883,0.003079357383775873,0.21066933560549161,0.0024689336454268144,0.8730580685750416,0.005303780482412626,0.21640323465373598,0.002874085095807319,0.3359484777517564,0.0023565119200817572,0.7450692473673822,0.001531584979213589,2.4879706741670122,0.0023461513096777226,0.3459502588820323,0.003101587218283143,0.1868092457914086,0.0022876365544393148,0.931087342097349,0.006208028758301637,0.317573145836083,0.003521789773668884,0.43723653395784545,0.0017998157083067158,0.7360993659258781,0.0015897352411799652,2.6792447213534283,0.0020474604415491797,0.34440047460604883,0.003079357383775873,0.21066933560549161,0.0024689336454268144,0.8730580685750416,0.005303780482412626,0.21640323465373598,0.002874085095807319,0.3359484777517564,0.0023565119200817572,0.7450692473673822,0.001531584979213589,2.4879706741670122,0.0023461513096777226,3591544.8,102709.62345771215,9.19741487498979e-34,2.0565581875431518e-33,6007.4,3.4351128074635104,-1.0,0.0,-0.01596991792393104,0.0010086984231804787,0.0,0.0
AddEASE,"alpha=0.7,lambdaT=1.0",132.00955085754396,0.9987039593718093,0.3568834193881273,0.002364463334399762,0.2228148810016112,0.0017956284891175837,0.8766196271912993,0.005029003552768036,0.2213737827652674,0.002270724747848494,0.3219555035128806,0.0016867517905020933,0.7509638837091642,0.001329552215617817,2.429374380241385,0.0024142501013923196,0.3590560955992147,0.002777336445865123,0.1983750727345909,0.0019032150937188402,0.9333177577430222,0.00605681688848513,0.3264521207010867,0.0031135907480074262,0.419672131147541,0.0018926498682956267,0.7440740842370568,0.0012513510073664871,2.606544050067712,0.002559223717058687,0.3568834193881273,0.002364463334399762,0.2228148810016112,0.0017956284891175837,0.8766196271912993,0.005029003552768036,0.2213737827652674,0.002270724747848494,0.3219555035128806,0.0016867517905020933,0.7509638837091642,0.001329552215617817,2.429374380241385,0.0024142501013923196,3022636.7,69210.88726638314,9.08637994779361e-05,0.000148444377396374,6007.4,3.4351128074635104,-1.0,0.0,-0.003486973141852571,0.0004303182765283518,0.0,0.0
AddEASE,"alpha=0.7,lambdaT=10.0",131.3398012161255,1.1288295243585937,0.3572616006947903,0.0025387012234399393,0.22320893731394306,0.0019242161703319951,0.8767527054367144,0.005040389873919776,0.22156094598018922,0.0023771634169646467,0.32072599531615925,0.0017019252756146097,0.7514061000791825,0.0013421622223701384,2.4245781231004746,0.001789852522391049,0.35930157820107034,0.0029352416291378593,0.19863718860051424,0.0020084987145988103,0.9334841305335395,0.005991661362352223,0.32656803227661124,0.003254612304423079,0.4192622950819672,0.00139474581376715,0.7452609357372537,0.0013040040400719036,2.6010981737069896,0.002471286127240927,0.3572616006947903,0.0025387012234399393,0.22320893731394306,0.0019242161703319951,0.8767527054367144,0.005040389873919776,0.22156094598018922,0.0023771634169646467,0.32072599531615925,0.0017019252756146097,0.7514061000791825,0.0013421622223701384,2.4245781231004746,0.001789852522391049,2960996.5,87956.48867195645,0.0009388751720779476,0.0016191803593079222,6007.4,3.4351128074635104,-1.0,0.0,-0.00310879183518963,0.00040886288789711506,0.0,0.0
CEASE,alpha_T=0.1,131.47259345054627,1.3116808959956436,0.36038456179372863,0.0025766800364314187,0.22665671577678773,0.0020396586077808,0.8776850178827841,0.005069274023163994,0.22234013819671294,0.0023077228027587526,0.3102459016393443,0.0021551712317688563,0.7587813100681122,0.0016967581979478695,2.385406732017901,0.0015329957372384208,0.3622266764925854,0.0027584274387598313,0.20182605615412874,0.001957981561215769,0.9332178134607879,0.005892508605535195,0.3277648068285871,0.003053352243226859,0.4001756440281031,0.0023419203747072665,0.751404845101628,0.0016412863355175023,2.552133578377719,0.0022861062034035804,0.36038456179372863,0.0025766800364314187,0.22665671577678773,0.0020396586077808,0.8776850178827841,0.005069274023163994,0.22234013819671294,0.0023077228027587526,0.3102459016393443,0.0021551712317688563,0.7587813100681122,0.0016967581979478695,2.385406732017901,0.0015329957372384208,4454.1,1192.2339011284657,0.4923683330140946,0.3325709161510855,6007.4,3.4351128074635104,0.2,1.0954451150103321,1.416926374875647e-05,6.787903218132978e-05,0.0,0.0
CEASE,alpha_T=1.0,131.29463572502135,1.2651820033777994,0.3605130212415807,0.0027025043952186704,0.2267991156211012,0.002057810170856788,0.8772523056609236,0.005049953343573874,0.2224109912343292,0.0024460374796214106,0.31241217798594845,0.0031351898677963227,0.7598022254975525,0.0021282196803749888,2.3864022892954955,0.0014781910125842626,0.3625255167327748,0.0029220138837542046,0.2020446716199372,0.0020305769569323603,0.9333178132780116,0.006133949003352985,0.3281476009036579,0.0032541796643391894,0.4043911007025761,0.002857778656174671,0.7530963630466608,0.0017616699174354304,2.5538728154795396,0.0023975554707440006,0.3605130212415807,0.0027025043952186704,0.2267991156211012,0.002057810170856788,0.8772523056609236,0.005049953343573874,0.2224109912343292,0.0024460374796214106,0.31241217798594845,0.0031351898677963227,0.7598022254975525,0.0021282196803749888,2.3864022892954955,0.0014781910125842626,162001.5,12799.416827535542,0.29714441804671876,0.38167121612014676,6007.4,3.4351128074635104,0.6,0.8944271909999159,0.00014262871160078335,0.00018295370649084168,0.0,0.0
CEASE,alpha_T=5.0,131.10059399604796,1.2752867839125,0.3610538765935464,0.0025996747000633213,0.22722508684948103,0.0018516048623642358,0.8776183456634549,0.004903601126133254,0.22275558093831943,0.0024183183797219826,0.3170374707259953,0.002276983194687351,0.7612544348956781,0.0015364701049448402,2.3900956940135227,0.0013964652797959557,0.36301397146042746,0.00273278099243477,0.2023348402296338,0.0018776850230737,0.9337506749596368,0.00618079892855697,0.3287961316985129,0.00313832582593532,0.4148126463700234,0.0028306615348088053,0.756636436482945,0.0017343048800295769,2.5596326823936613,0.002507882745847923,0.3610538765935464,0.0025996747000633213,0.22722508684948103,0.0018516048623642358,0.8776183456634549,0.004903601126133254,0.22275558093831943,0.0024183183797219826,0.3170374707259953,0.002276983194687351,0.7612544348956781,0.0015364701049448402,2.3900956940135227,0.0013964652797959557,663430.8,28398.392147707953,0.19872282494122756,0.3668407976157455,6007.4,3.4351128074635104,1.0,0.0,0.0006834840635665398,0.0004483446486613641,0.0,0.0
EASE,baseline,134.81878170967101,1.4300790895955668,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,0.36221140741312974,0.0027321023063977146,0.20180867291377852,0.0019402606325770399,0.9332843525834955,0.005798369801854602,0.3277578853329016,0.0030004655386439115,0.3997072599531616,0.0022447645799392024,0.7512481236122811,0.001710510656808872,2.5519102378522995,0.002321282090163353,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,,,,,0.0,0.0,0.0,0.0,,,,
