dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,3,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q2,4400,0.0060267668266935845,0.011602429676871789,0.022954545454545453,0.011048483766601155,0.027416771891365696,0.05545454545454546
ml-1m,3,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q3,2896,0.00041039362242388744,0.0009125887924230465,0.0020718232044198894,0.0010769878829260224,0.0031570639305445935,0.0055248618784530384
ml-1m,3,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q4,1678,0.00018800052251831273,0.0005959475566150178,0.0005959475566150178,0.00018800052251831273,0.0005959475566150178,0.0005959475566150178
ml-1m,3,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,overall,6013,0.3564332462243992,0.21172630279719767,0.8617994345584566,0.3544421808958589,0.31375291421205953,0.9208381839348079
ml-1m,3,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q1,5943,0.37991735679695066,0.27750981765046673,0.8692579505300353,0.3943555961992596,0.40810053529218765,0.9274777048628638
ml-1m,3,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q2,4400,0.005950689103854091,0.01158494715938927,0.022954545454545453,0.010791507230065353,0.026707589769140096,0.05409090909090909
ml-1m,3,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q3,2896,0.0003899600601386209,0.0009125887924230465,0.0020718232044198894,0.0010541847617802434,0.0031570639305445935,0.0055248618784530384
ml-1m,3,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q4,1678,0.00017226747694748979,0.0005959475566150178,0.0005959475566150178,0.00017226747694748979,0.0005959475566150178,0.0005959475566150178
ml-1m,3,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,overall,6013,0.35567299041336087,0.21138223386932287,0.8617994345584566,0.3534642541601705,0.3124425133852143,0.9201729585897223
ml-1m,3,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q1,5943,0.379209757342172,0.2771538293634135,0.8692579505300353,0.39334200804431163,0.4065676900789134,0.9268046441191318
ml-1m,3,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q2,4400,0.0057506241089338595,0.01140904506843502,0.022272727272727274,0.010487427399815051,0.026200374761925087,0.05272727272727273
ml-1m,3,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q3,2896,0.00034187815688697167,0.0008262628255722178,0.0017265193370165745,0.0009833710516429582,0.002984411996842936,0.0051795580110497235
ml-1m,3,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q4,1678,0.0,0.0,0.0,0.00016104776783511308,0.0005959475566150178,0.0005959475566150178
ml-1m,3,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,overall,6013,0.3529073822096521,0.20907020542199636,0.8589722268418427,0.3510919980520813,0.31011394978142837,0.9193414269083652
ml-1m,3,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q1,5943,0.37635133428571904,0.2742146802922101,0.8663974423691738,0.391020591162311,0.40421216931423165,0.9259633181894666
ml-1m,3,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q2,4400,0.0052450869871020715,0.010766859403223038,0.020681818181818183,0.009249558193574967,0.023080222892896782,0.04454545454545455
ml-1m,3,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q3,2896,0.0001611451644943796,0.00030830702446724546,0.0010359116022099447,0.0009166065611176817,0.002898086029992107,0.0051795580110497235
ml-1m,3,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q4,1678,0.0,0.0,0.0,0.0001402913667262445,0.0005959475566150178,0.0005959475566150178
ml-1m,3,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,overall,6013,0.3476594031466343,0.20562394079675145,0.8548145684350573,0.34455807035950764,0.30202103475932585,0.9123565607849659
ml-1m,3,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q1,5943,0.3710860363926425,0.2705413648977002,0.8632004038364463,0.3842297657372824,0.39510994512003605,0.9195692411240114
ml-1m,3,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q2,4400,0.003768050710633375,0.007376707888071524,0.016136363636363636,0.007284916682475081,0.01873422261550252,0.03409090909090909
ml-1m,3,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q3,2896,0.00010931546891838252,0.0002589779005524862,0.0006906077348066298,0.00042510429940600285,0.0013442186266771903,0.003107734806629834
ml-1m,3,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q4,1678,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,overall,6013,0.3328660797801974,0.19447934773242276,0.8360219524363878,0.32782929810933953,0.2844104624060891,0.89988358556461
ml-1m,3,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q1,5943,0.3549092103715204,0.25509512195406564,0.8450277637556789,0.3661110689845585,0.3746094272197394,0.9089685344102305
ml-1m,3,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q2,4400,0.0016856374140240234,0.0033133116883116882,0.007272727272727273,0.003503411710365691,0.009010267510267511,0.017272727272727273
ml-1m,3,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q3,2896,0.0,0.0,0.0,6.082265363645836e-05,0.000135655090765588,0.0006906077348066298
ml-1m,3,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q4,1678,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EASE,0.0,0.0,,,overall,6006,0.3602199710712781,0.22263170160415102,0.8736263736263736,0.36241559929929296,0.32716994336340544,0.9302364302364302
ml-1m,4,EASE,0.0,0.0,,,q1,5939,0.3802698067910618,0.28410241730312774,0.875736656002694,0.3974861059261437,0.4145021664985619,0.931133187405287
ml-1m,4,EASE,0.0,0.0,,,q2,4417,0.01313044221384553,0.025298925136798156,0.056146705908988,0.023172501832056325,0.05490141373994923,0.1353860086031243
ml-1m,4,EASE,0.0,0.0,,,q3,2931,0.002115727750993652,0.004821491885734164,0.007505970658478335,0.0038145550024703584,0.010397909667883778,0.018082565677243263
ml-1m,4,EASE,0.0,0.0,,,q4,1676,0.0006985399835327961,0.001392203659506762,0.0017899761336515514,0.0010587690582970083,0.002784407319013524,0.0029832935560859188
ml-1m,4,EASE,0.0,0.0,,,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EDLAE,0.75,0.0,,,overall,6006,0.36351148664012534,0.21898492094016486,0.8679653679653679,0.36061507805399606,0.31825611006359433,0.9254079254079254
ml-1m,4,EDLAE,0.75,0.0,,,q1,5939,0.38741063861089625,0.2847093411800738,0.873716113823876,0.4007138695270246,0.41082819355503797,0.9292810237413706
ml-1m,4,EDLAE,0.75,0.0,,,q2,4417,0.00552072954979853,0.011485492094502735,0.021734208738963097,0.010837384873742691,0.028592630951875343,0.05388272583201268
ml-1m,4,EDLAE,0.75,0.0,,,q3,2931,0.0006268364002551034,0.00127942681678608,0.0017059024223814397,0.0014417981634499489,0.004163214245097561,0.006141248720573183
ml-1m,4,EDLAE,0.75,0.0,,,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838
ml-1m,4,EDLAE,0.75,0.0,,,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,overall,6006,0.3635004909722907,0.21881110455258035,0.8679653679653679,0.360553205349046,0.3180932457526874,0.9254079254079254
ml-1m,4,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q1,5939,0.3874348255872474,0.2846087124178908,0.873716113823876,0.40064387207031504,0.4106033389836914,0.9292810237413706
ml-1m,4,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q2,4417,0.005518725767403758,0.011485492094502735,0.021734208738963097,0.010848000273842119,0.028620930702837534,0.05410912383971021
ml-1m,4,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q3,2931,0.0005266194812085733,0.0009382463323097919,0.001364721937905152,0.0014367511337419138,0.004163214245097561,0.006141248720573183
ml-1m,4,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838
ml-1m,4,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,overall,6006,0.3632613870325603,0.2186201937957081,0.8679653679653679,0.3602164415217414,0.317746671542992,0.9250749250749251
ml-1m,4,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q1,5939,0.3872424106316622,0.284502166087522,0.873716113823876,0.40037149496951646,0.4103870380270417,0.9291126452264691
ml-1m,4,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q2,4417,0.005388949443085703,0.011192203766349114,0.02128141272356803,0.010600292907418365,0.027917210228911037,0.052750735793525017
ml-1m,4,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q3,2931,0.0005266194812085733,0.0009382463323097919,0.001364721937905152,0.0014364637316396202,0.004163214245097561,0.006141248720573183
ml-1m,4,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838
ml-1m,4,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,overall,6006,0.362522362878286,0.21805980685523302,0.8671328671328671,0.35949094787816505,0.31698628676831686,0.9240759240759241
ml-1m,4,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q1,5939,0.38656125854754775,0.28394188272613985,0.8730425997642701,0.3996428097320259,0.4094647340124253,0.9281023741370601
ml-1m,4,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q2,4417,0.00517780264693382,0.010771382794248992,0.020375820692777904,0.01038616918870235,0.02755323377822415,0.05139234774733983
ml-1m,4,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q3,2931,0.0005266194812085733,0.0009382463323097919,0.001364721937905152,0.0013497844459592673,0.0038220337606212733,0.005800068236096895
ml-1m,4,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q4,1676,0.00010031475911164526,0.00014916467780429595,0.0005966587112171838,0.00010031475911164526,0.00014916467780429595,0.0005966587112171838
ml-1m,4,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,overall,6006,0.3602035729988455,0.21631482891151624,0.8658008658008658,0.3568873946396108,0.31374291018341444,0.921911421911422
ml-1m,4,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q1,5939,0.3843650386565587,0.2817940432980758,0.8722007071897626,0.39728801605174974,0.40624943749954906,0.9267553460178481
ml-1m,4,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q2,4417,0.004328544428503598,0.008797241924930402,0.01788544260810505,0.009139873538986164,0.024531954126834867,0.04505320353180892
ml-1m,4,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q3,2931,0.000405388964759213,0.0008529512111907199,0.0010235414534288639,0.0012131224845055833,0.003765170346541892,0.005458887751620608
ml-1m,4,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q4,1676,7.347923291787888e-05,0.00014916467780429595,0.0005966587112171838,7.347923291787888e-05,0.00014916467780429595,0.0005966587112171838
ml-1m,4,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,overall,6006,0.3542535888703278,0.21061338955231187,0.8583083583083583,0.350167493168481,0.305768209566678,0.9182484182484183
ml-1m,4,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q1,5939,0.3783957680636072,0.27534572410984187,0.8663074591682102,0.39056979017516724,0.39802810563509494,0.9247348038390302
ml-1m,4,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q2,4417,0.003084196099284234,0.006121163569658023,0.012904686438759338,0.006799480490559105,0.018416636064360763,0.03260131310844465
ml-1m,4,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q3,2931,0.00023658355633479045,0.0005117707267144319,0.000682360968952576,0.0007835909970064811,0.0023720167015970498,0.0034118048447628795
ml-1m,4,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q4,1676,0.0,0.0,0.0,5.48323051125624e-05,0.00014916467780429595,0.0005966587112171838
ml-1m,4,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,overall,6006,0.3384917387670799,0.19801290073308972,0.8421578421578422,0.3328185305455931,0.287722797260232,0.9065934065934066
ml-1m,4,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q1,5939,0.3613262000719893,0.25922081936204483,0.8509850143121738,0.3717482237837592,0.3769929037302987,0.9154739855194477
ml-1m,4,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q2,4417,0.001774656479126547,0.0035874961956012443,0.007244736246321032,0.0034333829698535573,0.008678009787360025,0.01697985057731492
ml-1m,4,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q3,2931,8.092723055929588e-05,0.000170590242238144,0.000341180484476288,0.0001414493928934893,0.0003330571396078049,0.0010235414534288639
ml-1m,4,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q4,1676,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
