dataset,seed,model,dropout,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,2,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.167468786239624,0.36035060191289126,0.22944749623329974,0.8689207195203198,0.2153811375566765,0.21457845433255268,0.7982516430610607,2.1264997294612495,0.35692777481319143,0.19943414683794813,0.9312125249833444,0.31533817314950185,0.2813231850117096,0.7832653361165398,2.2863245751279697,0.36035060191289126,0.22944749623329974,0.8689207195203198,0.2153811375566765,0.21457845433255268,0.7982516430610607,2.1264997294612495
ml-1m,2,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.1458497047424316,0.3540361031775489,0.2247545925910399,0.8622584943371085,0.20908093902242225,0.18940281030444964,0.7968957840574082,2.0797418261355416,0.3504392102705535,0.19471247908052017,0.9253830779480346,0.3080182560703251,0.25526932084309134,0.7855897100709619,2.237659408908056,0.3540361031775489,0.2247545925910399,0.8622584943371085,0.20908093902242225,0.18940281030444964,0.7968957840574082,2.0797418261355416
ml-1m,2,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.2263407707214355,0.33789266354254066,0.2116216551284195,0.8472684876748834,0.19605979894465664,0.15163934426229508,0.8069547586036592,1.9738026069054,0.3328534326738377,0.18180464772357016,0.9103930712858095,0.28931993860534955,0.20784543325526933,0.795634271987689,2.1277490480628485,0.33789266354254066,0.2116216551284195,0.8472684876748834,0.19605979894465664,0.15163934426229508,0.8069547586036592,1.9738026069054
ml-1m,3,EASE,0.0,0.0,,,134.50526118278503,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133
ml-1m,3,EDLAE,0.75,0.0,,,3.1183862686157227,0.35667746708109377,0.22840376620371156,0.8627972725760852,0.21214207951309347,0.23243559718969556,0.797810411614466,2.160678908321082,0.35493253666915686,0.19971610654906272,0.9210044902710793,0.31444110933292757,0.2988875878220141,0.7808103663088446,2.3203719983933615,0.35667746708109377,0.22840376620371156,0.8627972725760852,0.21214207951309347,0.23243559718969556,0.797810411614466,2.160678908321082
ml-1m,3,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,3.0950348377227783,0.3565459853032075,0.22825068848057728,0.8627972725760852,0.21213704753305665,0.23214285714285715,0.7977201141956194,2.160351940256928,0.3547930505905206,0.19958321882618066,0.9208381839348079,0.3143877309260711,0.2988875878220141,0.7810093149465742,2.319908388269648,0.3565459853032075,0.22825068848057728,0.8627972725760852,0.21213704753305665,0.23214285714285715,0.7977201141956194,2.160351940256928
ml-1m,3,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,3.1009390354156494,0.3564332462243992,0.2282515314303681,0.8617994345584566,0.21172630279719767,0.2306791569086651,0.797915514692785,2.1574614111677413,0.3544421808958589,0.19934490451809692,0.9208381839348079,0.31375291421205953,0.2962529274004684,0.7804934663959313,2.316858717962738,0.3564332462243992,0.2282515314303681,0.8617994345584566,0.21172630279719767,0.2306791569086651,0.797915514692785,2.1574614111677413
ml-1m,3,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,3.1355769634246826,0.35567299041336087,0.2275851768709159,0.8617994345584566,0.21138223386932287,0.226288056206089,0.7973995971212868,2.1509928399159586,0.3534642541601705,0.19867611448451286,0.9201729585897223,0.3124425133852143,0.2930327868852459,0.7811979638522129,2.31031767097308,0.35567299041336087,0.2275851768709159,0.8617994345584566,0.21138223386932287,0.226288056206089,0.7973995971212868,2.1509928399159586
ml-1m,3,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.169907331466675,0.3529073822096521,0.2255090060181608,0.8589722268418427,0.20907020542199636,0.21223653395784545,0.7943824701652167,2.130646317435926,0.3510919980520813,0.1969936885497402,0.9193414269083652,0.31011394978142837,0.28044496487119436,0.7817663850800649,2.2884429074350914,0.3529073822096521,0.2255090060181608,0.8589722268418427,0.20907020542199636,0.21223653395784545,0.7943824701652167,2.130646317435926
ml-1m,3,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.136657953262329,0.3476594031466343,0.22104249372014453,0.8548145684350573,0.20562394079675145,0.1914519906323185,0.7977219083423226,2.082938050170524,0.34455807035950764,0.19241041516836005,0.9123565607849659,0.30202103475932585,0.25966042154566743,0.7881386271121327,2.2401115549671897,0.3476594031466343,0.22104249372014453,0.8548145684350573,0.20562394079675145,0.1914519906323185,0.7977219083423226,2.082938050170524
ml-1m,3,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.2046778202056885,0.3328660797801974,0.20928840751920014,0.8360219524363878,0.19447934773242276,0.14754098360655737,0.8005620098252728,1.9779686774974825,0.32782929810933953,0.18016796046803185,0.89988358556461,0.2844104624060891,0.20843091334894615,0.7950266463860138,2.13043807435239,0.3328660797801974,0.20928840751920014,0.8360219524363878,0.19447934773242276,0.14754098360655737,0.8005620098252728,1.9779686774974825
ml-1m,4,EASE,0.0,0.0,,,134.01239848136902,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544,0.3984192037470726,0.7506592966181505,2.5499964162059165,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783
ml-1m,4,EDLAE,0.75,0.0,,,3.123943328857422,0.36351148664012534,0.23263525361952234,0.8679653679653679,0.21898492094016486,0.22892271662763466,0.7966072290880475,2.155040081187414,0.36061507805399606,0.20400632298027307,0.9254079254079254,0.31825611006359433,0.2994730679156909,0.7831114470410658,2.315556737240598,0.36351148664012534,0.23263525361952234,0.8679653679653679,0.21898492094016486,0.22892271662763466,0.7966072290880475,2.155040081187414
ml-1m,4,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,3.181180000305176,0.3635004909722907,0.2326328355601315,0.8679653679653679,0.21881110455258035,0.22804449648711944,0.7959876665910042,2.1547732419308554,0.360553205349046,0.2039665609182791,0.9254079254079254,0.3180932457526874,0.29918032786885246,0.7830966000731168,2.315136307896016,0.3635004909722907,0.2326328355601315,0.8679653679653679,0.21881110455258035,0.22804449648711944,0.7959876665910042,2.1547732419308554
ml-1m,4,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,5.21132755279541,0.3632613870325603,0.23244357958431086,0.8679653679653679,0.2186201937957081,0.22716627634660422,0.7967181443985567,2.1517617971433767,0.3602164415217414,0.20372857045405945,0.9250749250749251,0.317746671542992,0.29713114754098363,0.7830784978568228,2.311934161194738,0.3632613870325603,0.23244357958431086,0.8679653679653679,0.2186201937957081,0.22716627634660422,0.7967181443985567,2.1517617971433767
ml-1m,4,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,5.027843236923218,0.362522362878286,0.23189025984094008,0.8671328671328671,0.21805980685523302,0.22336065573770492,0.7961652153002088,2.145946845758239,0.35949094787816505,0.20319317736377163,0.9240759240759241,0.31698628676831686,0.2933255269320843,0.7833226321250275,2.3053749461654762,0.362522362878286,0.23189025984094008,0.8671328671328671,0.21805980685523302,0.22336065573770492,0.7961652153002088,2.145946845758239
ml-1m,4,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,4.74883508682251,0.3602035729988455,0.2300633598628213,0.8658008658008658,0.21631482891151624,0.21223653395784545,0.7965177351384247,2.124741873613042,0.3568873946396108,0.2013156406345119,0.921911421911422,0.31374291018341444,0.28366510538641687,0.785714457541083,2.284831807382244,0.3602035729988455,0.2300633598628213,0.8658008658008658,0.21631482891151624,0.21223653395784545,0.7965177351384247,2.124741873613042
ml-1m,4,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,4.870803117752075,0.3542535888703278,0.22568796453504505,0.8583083583083583,0.21061338955231187,0.19057377049180327,0.7992715425895149,2.0761834159934036,0.350167493168481,0.196511743854778,0.9182484182484183,0.305768209566678,0.25878220140515223,0.7887079926107075,2.236727173499754,0.3542535888703278,0.22568796453504505,0.8583083583083583,0.21061338955231187,0.19057377049180327,0.7992715425895149,2.0761834159934036
ml-1m,4,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.2945520877838135,0.3384917387670799,0.2129974244911887,0.8421578421578422,0.19801290073308972,0.14959016393442623,0.805976541397285,1.9710845444086889,0.3328185305455931,0.18363850789535774,0.9065934065934066,0.287722797260232,0.20521077283372366,0.7937442015901361,2.1262420171286927,0.3384917387670799,0.2129974244911887,0.8421578421578422,0.19801290073308972,0.14959016393442623,0.805976541397285,1.9710845444086889
