dataset,seed,model,dropout,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,0,EASE,0.0,0.0,,,117.1494345664978,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389
ml-1m,0,EDLAE,0.5,0.0,,,2.4129369258880615,0.3715230757141289,0.23780132117452196,0.8856524633821571,0.2281588309551492,0.2701990632318501,0.7777180083471227,2.2756832801416293,0.37147555991432196,0.21042520085038535,0.9369174434087882,0.3340838846165259,0.3521662763466042,0.7672432876973125,2.440216790606677,0.3715230757141289,0.23780132117452196,0.8856524633821571,0.2281588309551492,0.2701990632318501,0.7777180083471227,2.2756832801416293
ml-1m,0,EDLAE-Laplacian,0.5,50.0,rp3beta,none,2.4629342555999756,0.3095058146155289,0.18956763030056673,0.8177430093209055,0.17724285497931497,0.10655737704918032,0.8149640223292021,1.8378659015635854,0.3038332564081303,0.1619243411407257,0.8876498002663116,0.25972640824276577,0.15134660421545668,0.809907164399756,1.9734208842282328,0.3095058146155289,0.18956763030056673,0.8177430093209055,0.17724285497931497,0.10655737704918032,0.8149640223292021,1.8378659015635854
ml-1m,1,EASE,0.0,0.0,,,117.03803181648254,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466
ml-1m,1,EDLAE,0.5,0.0,,,2.4250495433807373,0.36788618803895395,0.23463459519085936,0.8754578754578755,0.22337210818837339,0.2687353629976581,0.7771099996590192,2.273442009849779,0.3681395005182426,0.20792144500601403,0.9337329337329338,0.3289189463487728,0.3553864168618267,0.7694135628237768,2.440573345615151,0.36788618803895395,0.23463459519085936,0.8754578754578755,0.22337210818837339,0.2687353629976581,0.7771099996590192,2.273442009849779
ml-1m,1,EDLAE-Laplacian,0.5,50.0,rp3beta,none,2.446303606033325,0.3049038249141251,0.18703869912841,0.8051948051948052,0.17233048986632424,0.10333723653395785,0.8129825792715313,1.8277867082752115,0.3002443258655274,0.15952766759451872,0.8849483849483849,0.2572468485770809,0.1484192037470726,0.8087754126215665,1.9662294244422658,0.3049038249141251,0.18703869912841,0.8051948051948052,0.17233048986632424,0.10333723653395785,0.8129825792715313,1.8277867082752115
ml-1m,2,EASE,0.0,0.0,,,116.07110738754272,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414
ml-1m,2,EDLAE,0.5,0.0,,,2.531925916671753,0.36923515380574473,0.23521944081874366,0.8824117255163224,0.2249727788448523,0.26756440281030447,0.7763923613287713,2.2728048595640553,0.36803244791435624,0.2071493376648323,0.9363757495003331,0.3298069609260314,0.34894613583138173,0.7662089367714588,2.4377724651453456,0.36923515380574473,0.23521944081874366,0.8824117255163224,0.2249727788448523,0.26756440281030447,0.7763923613287713,2.2728048595640553
ml-1m,2,EDLAE-Laplacian,0.5,50.0,rp3beta,none,2.5545976161956787,0.3081368070956151,0.18891440140099763,0.8157894736842105,0.1745540216988467,0.10597189695550352,0.8145654278363228,1.8323874570570746,0.30100809955298996,0.1595662700145677,0.8854097268487675,0.2567078802107241,0.1490046838407494,0.8073473938134237,1.9694035343725607,0.3081368070956151,0.18891440140099763,0.8157894736842105,0.1745540216988467,0.10597189695550352,0.8145654278363228,1.8323874570570746
ml-1m,3,EASE,0.0,0.0,,,116.50371789932251,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133
