dataset,model,dropout,gamma,graph_source,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count
ml-1m,EASE,0.0,0.0,,0.3603703925299798,0.0025525765180416013,5,0.22665307731728462,0.0020495652277835842,5,0.8776849569462767,0.005220623753779892,5,0.22233609029995124,0.0022356066082815547,5,0.3100702576112412,0.0018790171587682928,5,0.7587277347955784,0.0016148456014131228,5,2.385208158669514,0.0016143006190546159,5,0.36221140741312974,0.0027321023063977146,5,0.20180867291377852,0.0019402606325770399,5,0.9332843525834955,0.005798369801854602,5,0.3277578853329016,0.0030004655386439115,5,0.3997072599531616,0.0022447645799392024,5,0.7512481236122811,0.001710510656808872,5,2.5519102378522995,0.002321282090163353,5
ml-1m,EDLAE,0.75,0.0,,0.36243219974276875,0.003448718446136622,5,0.2314839909978681,0.0019243435919641789,5,0.8699616693554958,0.005622802507037461,5,0.2179938590717753,0.0036581782167698063,5,0.22903981264637002,0.002055443756620842,5,0.7959691949058787,0.00165539166480358,5,2.1578070662249176,0.0026864276688580106,5,0.3601143709043263,0.003305340810797708,5,0.2028040021003233,0.002089122088950471,5,0.9279572829643679,0.004892041018643508,5,0.3188598357660458,0.003280555562623197,5,0.30035128805620614,0.003132455292598464,5,0.7827051406101697,0.0022394212108686035,5,2.3179627105186618,0.0017583278838729363,5
ml-1m,EDLAE-Laplacian,0.75,0.01,rp3beta,0.3623900740240928,0.0034971017457007063,5,0.23143865104840816,0.0019838535449568256,5,0.8698950914593573,0.005504616076522908,5,0.21794481060709728,0.0036405068033680925,5,0.22868852459016392,0.0020111901683041796,5,0.7958193809011929,0.0015174944497898409,5,2.157516457846854,0.0026713416130115667,5,0.36005023313868867,0.0033421066097229675,5,0.20275640873553974,0.002122068045646339,5,0.9278907105711974,0.004905824839924965,5,0.31877481258007956,0.0032757542378960705,5,0.30023419203747076,0.003032368656341561,5,0.7828043437376684,0.0021595123379964474,5,2.317564106175757,0.001738845771116393,5
ml-1m,EDLAE-Laplacian,0.75,0.1,rp3beta,0.36212341380371726,0.0034016793308478755,5,0.2312613513807304,0.0018819942097877927,5,0.8695956570190091,0.005755627279113923,5,0.2176476045324725,0.003686076089590584,5,0.22722482435597188,0.002242854954259714,5,0.7959935357132062,0.0019522772652407056,5,2.1545449239904633,0.002816092944189378,5,0.359718878639968,0.003343759514873309,5,0.20252068580682744,0.002122538581891864,5,0.9278240550562877,0.004888920042912457,5,0.3183481359846282,0.003378372090211418,5,0.29841920374707265,0.003367146869908794,5,0.7829154278253176,0.00243811936526256,5,2.3145018878508496,0.0017872097174928608,5
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,0.3614186984233614,0.003445921732267976,5,0.23070377763655897,0.0019377766824803272,5,0.8691960344267914,0.005731031879492252,5,0.2170631145415478,0.0035759680586510568,5,0.22353629976580797,0.0018468161938627072,5,0.7959013395509267,0.0016359984985490226,5,2.1480931812610873,0.0026811827957220137,5,0.35885060673160313,0.003371402726536011,5,0.20191276580373216,0.002121679775669508,5,0.9270249871138821,0.004912255871104609,5,0.31724862097557854,0.0034563822475045624,5,0.2947306791569087,0.0029882435960596645,5,0.7832743522301915,0.0021548996454443287,5,2.307934946959726,0.0018298198948881034,5
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,0.35903841468578745,0.003662511821488564,5,0.2289194733366479,0.0020387947657402724,5,0.8670320470441325,0.006327001549866623,5,0.2150256611557709,0.0038697557682650656,5,0.21311475409836067,0.0010140812690684158,5,0.796644177441592,0.0017054588695088442,5,2.1273139585905367,0.0030197389941150313,5,0.3562180718725905,0.0031919662871028984,5,0.20002024163362622,0.0020117425796847394,5,0.9255267791831457,0.004892221980123617,5,0.3143154609874562,0.0032520482076006953,5,0.2827868852459016,0.0034013319785194023,5,0.7842764095323361,0.0027318945431583645,5,2.286553330073741,0.0014384736697133998,5
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,0.35310312273531663,0.0034181727486712974,5,0.224268304887619,0.002082225763622135,5,0.8610390431615536,0.0053392911093274285,5,0.20977096110703258,0.0029583453696705848,5,0.19156908665105385,0.001676559843474985,5,0.799453151669888,0.0022329798568016227,5,2.0793766797940454,0.0031194363246653148,5,0.3496342509491946,0.0032214249402588,5,0.19518418274544608,0.0019210767091387537,5,0.9207995806653635,0.005725507027142093,5,0.3068632481847941,0.0034840018588757856,5,0.25831381733021075,0.0018116801459912896,5,0.7879832953266636,0.0013880101177018399,5,2.2378166857288013,0.0017912695476327242,5
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,0.3371009232352378,0.002892151951311854,5,0.21148281743764102,0.0017143268198719784,5,0.8444600397323285,0.006545475075470359,5,0.19728323153836141,0.0024313089768405803,5,0.15052693208430915,0.0019789746816341446,5,0.8061399491792219,0.0033144148802414118,5,1.974165259644564,0.003291717169863152,5,0.332042679370236,0.0028286254977733295,5,0.18232638395427872,0.0017127153573428596,5,0.90784861930718,0.005177930182402602,5,0.2880371161207099,0.002738098253403355,5,0.207903981264637,0.001635156913790282,5,0.7959730428970468,0.0018873503873029034,5,2.12734467782632,0.0023069342767090446,5
