model,lambda,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
EASE,100,2.323392391204834,0.10692106992139593,0.04980092035881744,0.5019305019305019,0.08641180715099708,0.4149341142020498,0.7275095133092739,2.5647849278091432,0.12256389134469238,0.04835692486773045,0.6750041967433271,0.14512138342310452,0.4986822840409956,0.7184290803607098,2.72628890056658,0.10692106992139593,0.04980092035881744,0.5019305019305019,0.08641180715099708,0.4149341142020498,0.7275095133092739,2.5647849278091432,,,0,0,,
EASE,200,2.3144538402557373,0.10958102936037213,0.051690390056258154,0.5032734597951989,0.0878229728910814,0.38857979502196194,0.7305928356942413,2.5159290998131536,0.12583872147676903,0.05004283967944304,0.6770186335403726,0.14941370480721639,0.47642752562225477,0.7226772818392497,2.68222184891229,0.10958102936037213,0.051690390056258154,0.5032734597951989,0.0878229728910814,0.38857979502196194,0.7305928356942413,2.5159290998131536,,,0,0,,
EASE,500,4.430367946624756,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.34904831625183014,0.7395399130006659,2.4266168673941815,0.12998526618389683,0.052330845697061174,0.6822225952660735,0.1536942111527436,0.4401171303074671,0.7336875574574091,2.59966741197274,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.34904831625183014,0.7395399130006659,2.4266168673941815,,,0,0,,
EASE,1000,4.579941272735596,0.11593558574324843,0.05561788758272787,0.5128420345811651,0.09031534844714288,0.3095168374816984,0.7448081798458173,2.342725519666128,0.13208107722021212,0.053245873712869075,0.6839012925969448,0.1548718089686952,0.40029282576866765,0.7410003095827338,2.5183771840087483,0.11593558574324843,0.05561788758272787,0.5128420345811651,0.09031534844714288,0.3095168374816984,0.7448081798458173,2.342725519666128,,,0,0,,
